County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
DeKalb County  6,332,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,390.6 
Cherokee County  6,144,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,382.9 
Lee County  6,413,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,373.5 
Hale County  6,35,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,363.5 
Coosa County  6,41,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,338.1 
Chilton County  6,4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,498.4 
Coffee County  6,5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,338.8 
Shelby County  6,16,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,298.2 
Dale County  6,4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,270.9 
Limestone County  6,5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,263.6 
Morgan County  6,8,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,262.3 
DeKalb County  6,9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,258.8 
Montgomery County  6,7,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,234.7 
Madison County  6,17,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,217.0 
Jefferson County  6,22,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,213.6 
Baldwin County  6,9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,188.7 
Franklin County  6,3,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,181.8 
Marshall County  6,9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,181.4 
Blount County  6,5,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,168.4 
Calhoun County  6,4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,153.1 
Tuscaloosa County  6,4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,147.8 
Mobile County  6,9,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,115.2 
Lowndes County  6,30,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,694.0 
Crenshaw County  6,80,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,565.3 
Greene County  6,15,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,553.2 
Chambers County  6,157,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,523.6 
Walker County  6,416,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,511.1 
Lawrence County  6,185,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,508.3 
Macon County  6,26,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,507.5 
Lamar County  6,91,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,505.6 
Dallas County  6,95,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,505.1 
Elmore County  6,390,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,503.0 
Sumter County  6,23,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,494.4 
