placeDcid,placeName,Median_Income_Person
geoId/17181,"Union County, IL",29519
geoId/17183,"Vermilion County, IL",27880
geoId/17185,"Wabash County, IL",27639
geoId/17187,"Warren County, IL",27616
geoId/17189,"Washington County, IL",36405
geoId/17191,"Wayne County, IL",29619
geoId/17193,"White County, IL",25257
geoId/17195,"Whiteside County, IL",30354
geoId/17197,"Will County, IL",39027
geoId/17199,"Williamson County, IL",29919
geoId/17201,"Winnebago County, IL",29277
geoId/17203,"Woodford County, IL",36173
geoId/18001,"Adams County, IN",29571
geoId/18003,"Allen County, IN",31134
geoId/18005,"Bartholomew County, IN",32010
geoId/18007,"Benton County, IN",27123
geoId/18009,"Blackford County, IN",25684
geoId/18011,"Boone County, IN",43998
geoId/18013,"Brown County, IN",30218
geoId/18015,"Carroll County, IN",29986
geoId/18017,"Cass County, IN",28995
geoId/18019,"Clark County, IN",31273
geoId/18021,"Clay County, IN",31716
geoId/18023,"Clinton County, IN",28956
geoId/18025,"Crawford County, IN",25362
geoId/18027,"Daviess County, IN",27304
geoId/18029,"Dearborn County, IN",32036
geoId/18031,"Decatur County, IN",31460
geoId/18033,"DeKalb County, IN",31348
geoId/18035,"Delaware County, IN",24093
geoId/18037,"Dubois County, IN",32462
geoId/18039,"Elkhart County, IN",30035
geoId/18041,"Fayette County, IN",26119
geoId/18043,"Floyd County, IN",33434
geoId/18045,"Fountain County, IN",27431
geoId/18047,"Franklin County, IN",32002
geoId/18049,"Fulton County, IN",27969
geoId/18051,"Gibson County, IN",30480
geoId/18053,"Grant County, IN",24592
geoId/18055,"Greene County, IN",25992
geoId/18057,"Hamilton County, IN",47374
geoId/18059,"Hancock County, IN",40082
geoId/18061,"Harrison County, IN",31036
geoId/18063,"Hendricks County, IN",40010
geoId/18065,"Henry County, IN",26616
geoId/18067,"Howard County, IN",31329
geoId/18069,"Huntington County, IN",28113
geoId/18071,"Jackson County, IN",30254
geoId/18073,"Jasper County, IN",30553
geoId/18075,"Jay County, IN",26796
geoId/18077,"Jefferson County, IN",26080
geoId/18079,"Jennings County, IN",30665
geoId/18081,"Johnson County, IN",35437
geoId/18083,"Knox County, IN",27723
geoId/18085,"Kosciusko County, IN",31290
geoId/18087,"LaGrange County, IN",32272
geoId/18089,"Lake County, IN",30660
geoId/18091,"LaPorte County, IN",29512
geoId/18093,"Lawrence County, IN",29443
geoId/18095,"Madison County, IN",27229
geoId/18097,"Marion County, IN",30980
geoId/18099,"Marshall County, IN",30269
geoId/18101,"Martin County, IN",30499
geoId/18103,"Miami County, IN",28271
geoId/18105,"Monroe County, IN",24409
geoId/18107,"Montgomery County, IN",30960
geoId/18109,"Morgan County, IN",32539
geoId/18111,"Newton County, IN",31419
geoId/18113,"Noble County, IN",31145
geoId/18115,"Ohio County, IN",31823
geoId/18117,"Orange County, IN",27215
geoId/18119,"Owen County, IN",28489
geoId/18121,"Parke County, IN",27282
geoId/18123,"Perry County, IN",29861
geoId/18125,"Pike County, IN",30324
geoId/18127,"Porter County, IN",34391
geoId/18129,"Posey County, IN",32001
geoId/18131,"Pulaski County, IN",27890
geoId/18133,"Putnam County, IN",27152
geoId/18135,"Randolph County, IN",28122
geoId/18137,"Ripley County, IN",30973
geoId/18139,"Rush County, IN",31708
geoId/18141,"St. Joseph County, IN",28584
geoId/18143,"Scott County, IN",24825
geoId/18145,"Shelby County, IN",31532
geoId/18147,"Spencer County, IN",31386
geoId/18149,"Starke County, IN",25060
geoId/18151,"Steuben County, IN",30009
geoId/18153,"Sullivan County, IN",26414
geoId/18155,"Switzerland County, IN",28779
geoId/18157,"Tippecanoe County, IN",24796
geoId/18159,"Tipton County, IN",36078
geoId/18161,"Union County, IN",31676
geoId/18163,"Vanderburgh County, IN",28286
geoId/18165,"Vermillion County, IN",30935
geoId/18167,"Vigo County, IN",25377
geoId/18169,"Wabash County, IN",27992
geoId/18171,"Warren County, IN",33361
geoId/18173,"Warrick County, IN",37540
geoId/18175,"Washington County, IN",28749
geoId/18177,"Wayne County, IN",26526
geoId/18179,"Wells County, IN",31808
geoId/18181,"White County, IN",29382
geoId/18183,"Whitley County, IN",33285
geoId/19001,"Adair County, IA",33335
geoId/19003,"Adams County, IA",30286
geoId/19005,"Allamakee County, IA",31675
geoId/19007,"Appanoose County, IA",24510
geoId/19009,"Audubon County, IA",29640
geoId/19011,"Benton County, IA",35665
geoId/19013,"Black Hawk County, IA",28926
geoId/19015,"Boone County, IA",34435
geoId/19017,"Bremer County, IA",35202
geoId/19019,"Buchanan County, IA",32405
geoId/19021,"Buena Vista County, IA",28448
geoId/19023,"Butler County, IA",31346
geoId/19025,"Calhoun County, IA",28525
geoId/19027,"Carroll County, IA",31930
geoId/19029,"Cass County, IA",29864
geoId/19031,"Cedar County, IA",34629
geoId/19033,"Cerro Gordo County, IA",31479
geoId/19035,"Cherokee County, IA",31584
geoId/19037,"Chickasaw County, IA",33024
geoId/19039,"Clarke County, IA",29507
geoId/19041,"Clay County, IA",29359
geoId/19043,"Clayton County, IA",29890
geoId/19045,"Clinton County, IA",30027
geoId/19047,"Crawford County, IA",30450
geoId/19049,"Dallas County, IA",47228
geoId/19051,"Davis County, IA",32169
geoId/19053,"Decatur County, IA",24381
geoId/19055,"Delaware County, IA",32782
geoId/19057,"Des Moines County, IA",30230
geoId/19059,"Dickinson County, IA",34114
geoId/19061,"Dubuque County, IA",33128
geoId/19063,"Emmet County, IA",28787
geoId/19065,"Fayette County, IA",26844
geoId/19067,"Floyd County, IA",30145
geoId/19069,"Franklin County, IA",31116
geoId/19071,"Fremont County, IA",31702
geoId/19073,"Greene County, IA",30465
geoId/19075,"Grundy County, IA",36959
geoId/19077,"Guthrie County, IA",32879
geoId/19079,"Hamilton County, IA",34196
geoId/19081,"Hancock County, IA",34308
geoId/19083,"Hardin County, IA",30565
geoId/19085,"Harrison County, IA",34683
geoId/19087,"Henry County, IA",28291
geoId/19089,"Howard County, IA",31167
geoId/19091,"Humboldt County, IA",32069
geoId/19093,"Ida County, IA",32944
geoId/19095,"Iowa County, IA",34630
geoId/19097,"Jackson County, IA",32074
geoId/19099,"Jasper County, IA",32414
geoId/19101,"Jefferson County, IA",26739
geoId/19103,"Johnson County, IA",30666
geoId/19105,"Jones County, IA",32365
geoId/19107,"Keokuk County, IA",29924
geoId/19109,"Kossuth County, IA",32915
geoId/19111,"Lee County, IA",27877
geoId/19113,"Linn County, IA",35625
geoId/19115,"Louisa County, IA",31221
geoId/19117,"Lucas County, IA",31060
geoId/19119,"Lyon County, IA",34368
geoId/19121,"Madison County, IA",39247
geoId/19123,"Mahaska County, IA",27317
geoId/19125,"Marion County, IA",33768
geoId/19127,"Marshall County, IA",31370
geoId/19129,"Mills County, IA",36862
geoId/19131,"Mitchell County, IA",31704
geoId/19133,"Monona County, IA",29830
geoId/19135,"Monroe County, IA",34683
geoId/19137,"Montgomery County, IA",31071
geoId/19139,"Muscatine County, IA",32864
geoId/19141,"O'Brien County, IA",31135
geoId/19143,"Osceola County, IA",33462
geoId/19145,"Page County, IA",28403
geoId/19147,"Palo Alto County, IA",31108
geoId/19149,"Plymouth County, IA",36754
geoId/19151,"Pocahontas County, IA",31945
geoId/19153,"Polk County, IA",37225
geoId/19155,"Pottawattamie County, IA",32099
geoId/19157,"Poweshiek County, IA",30637
geoId/19159,"Ringgold County, IA",28097
geoId/19161,"Sac County, IA",32765
geoId/19163,"Scott County, IA",34929
geoId/19165,"Shelby County, IA",33226
geoId/19167,"Sioux County, IA",31003
geoId/19169,"Story County, IA",25190
geoId/19171,"Tama County, IA",30458
geoId/19173,"Taylor County, IA",30394
geoId/19175,"Union County, IA",27606
geoId/19177,"Van Buren County, IA",27413
geoId/19179,"Wapello County, IA",27820
geoId/19181,"Warren County, IA",39858
geoId/19183,"Washington County, IA",33791
geoId/19185,"Wayne County, IA",30461
geoId/19187,"Webster County, IA",28169
geoId/19189,"Winnebago County, IA",30590
geoId/19191,"Winneshiek County, IA",31163
geoId/19193,"Woodbury County, IA",31552
geoId/19195,"Worth County, IA",32488
geoId/19197,"Wright County, IA",30309
geoId/20001,"Allen County, KS",25528
geoId/20003,"Anderson County, KS",26516
geoId/20005,"Atchison County, KS",23508
geoId/20007,"Barber County, KS",29351
geoId/20009,"Barton County, KS",27442
geoId/20011,"Bourbon County, KS",25318
geoId/20013,"Brown County, KS",25684
geoId/20015,"Butler County, KS",32922
geoId/20017,"Chase County, KS",26204
geoId/20019,"Chautauqua County, KS",21857
geoId/20021,"Cherokee County, KS",25254
geoId/20023,"Cheyenne County, KS",28233
geoId/20025,"Clark County, KS",30286
geoId/20027,"Clay County, KS",29810
geoId/20029,"Cloud County, KS",28663
geoId/20031,"Coffey County, KS",31463
geoId/20033,"Comanche County, KS",29447
geoId/20035,"Cowley County, KS",28338
geoId/20037,"Crawford County, KS",24365
geoId/20039,"Decatur County, KS",28239
geoId/20041,"Dickinson County, KS",29338
geoId/20043,"Doniphan County, KS",25320
geoId/20045,"Douglas County, KS",27283
geoId/20047,"Edwards County, KS",30038
geoId/20049,"Elk County, KS",23410
geoId/20051,"Ellis County, KS",27720
geoId/20053,"Ellsworth County, KS",28942
geoId/20055,"Finney County, KS",31825
geoId/20057,"Ford County, KS",30133
geoId/20059,"Franklin County, KS",30936
geoId/20061,"Geary County, KS",30821
geoId/20063,"Gove County, KS",30850
geoId/20065,"Graham County, KS",29098
geoId/20067,"Grant County, KS",35992
geoId/20069,"Gray County, KS",34106
geoId/20071,"Greeley County, KS",30066
geoId/20073,"Greenwood County, KS",27431
geoId/20075,"Hamilton County, KS",35179
geoId/20077,"Harper County, KS",28037
geoId/20079,"Harvey County, KS",30840
geoId/20081,"Haskell County, KS",30232
geoId/20083,"Hodgeman County, KS",31335
geoId/20085,"Jackson County, KS",31510
geoId/20087,"Jefferson County, KS",36641
geoId/20089,"Jewell County, KS",23629
geoId/20091,"Johnson County, KS",45092
geoId/20093,"Kearny County, KS",28801
geoId/20095,"Kingman County, KS",30592
geoId/20097,"Kiowa County, KS",26978
geoId/20099,"Labette County, KS",26760
geoId/20101,"Lane County, KS",31344
geoId/20103,"Leavenworth County, KS",33885
geoId/20105,"Lincoln County, KS",28266
geoId/20107,"Linn County, KS",27054
geoId/20109,"Logan County, KS",26239
geoId/20111,"Lyon County, KS",26671
geoId/20113,"McPherson County, KS",30603
geoId/20115,"Marion County, KS",25948
geoId/20117,"Marshall County, KS",30723
geoId/20119,"Meade County, KS",33184
geoId/20121,"Miami County, KS",37143
geoId/20123,"Mitchell County, KS",29908
geoId/20125,"Montgomery County, KS",25125
geoId/20127,"Morris County, KS",30787
geoId/20129,"Morton County, KS",28354
geoId/20131,"Nemaha County, KS",29505
geoId/20133,"Neosho County, KS",27291
geoId/20135,"Ness County, KS",30585
geoId/20137,"Norton County, KS",24459
geoId/20139,"Osage County, KS",30558
geoId/20141,"Osborne County, KS",30123
geoId/20143,"Ottawa County, KS",31891
geoId/20145,"Pawnee County, KS",25654
geoId/20147,"Phillips County, KS",29707
geoId/20149,"Pottawatomie County, KS",36304
geoId/20151,"Pratt County, KS",26836
geoId/20153,"Rawlins County, KS",30242
geoId/20155,"Reno County, KS",27535
geoId/20157,"Republic County, KS",29635
geoId/20159,"Rice County, KS",26372
geoId/20161,"Riley County, KS",23679
geoId/20163,"Rooks County, KS",28503
geoId/20165,"Rush County, KS",28207
geoId/20167,"Russell County, KS",25595
geoId/20169,"Saline County, KS",29239
geoId/20171,"Scott County, KS",28350
geoId/20173,"Sedgwick County, KS",31071
geoId/20175,"Seward County, KS",29024
geoId/20177,"Shawnee County, KS",33261
geoId/20179,"Sheridan County, KS",35785
geoId/20181,"Sherman County, KS",31116
geoId/20183,"Smith County, KS",25601
geoId/20185,"Stafford County, KS",28666
geoId/20187,"Stanton County, KS",31049
geoId/20189,"Stevens County, KS",26152
geoId/20191,"Sumner County, KS",30056
geoId/20193,"Thomas County, KS",32140
geoId/20195,"Trego County, KS",32185
geoId/20197,"Wabaunsee County, KS",32231
geoId/20199,"Wallace County, KS",31210
geoId/20201,"Washington County, KS",29331
geoId/20203,"Wichita County, KS",31452
geoId/20205,"Wilson County, KS",26897
geoId/20207,"Woodson County, KS",27743
geoId/20209,"Wyandotte County, KS",27558
geoId/21001,"Adair County, KY",21415
geoId/21003,"Allen County, KY",23611
geoId/21005,"Anderson County, KY",31561
geoId/21007,"Ballard County, KY",25877
geoId/21009,"Barren County, KY",22816
geoId/21011,"Bath County, KY",24104
geoId/21013,"Bell County, KY",16507
geoId/21015,"Boone County, KY",37773
geoId/21017,"Bourbon County, KY",26072
geoId/21019,"Boyd County, KY",26186
geoId/21021,"Boyle County, KY",25222
geoId/21023,"Bracken County, KY",26021
geoId/21025,"Breathitt County, KY",17752
geoId/21027,"Breckinridge County, KY",24279
geoId/21029,"Bullitt County, KY",32295
geoId/21031,"Butler County, KY",24539
geoId/21033,"Caldwell County, KY",28373
geoId/21035,"Calloway County, KY",21334
geoId/21037,"Campbell County, KY",33019
geoId/21039,"Carlisle County, KY",25793
geoId/21041,"Carroll County, KY",23706
geoId/21043,"Carter County, KY",19835
geoId/21045,"Casey County, KY",17900
geoId/21047,"Christian County, KY",27099
geoId/21049,"Clark County, KY",27835
geoId/21051,"Clay County, KY",17199
geoId/21053,"Clinton County, KY",20965
geoId/21055,"Crittenden County, KY",23335
geoId/21057,"Cumberland County, KY",19615
geoId/21059,"Daviess County, KY",28938
geoId/21061,"Edmonson County, KY",22718
geoId/21063,"Elliott County, KY",18621
geoId/21065,"Estill County, KY",18976
geoId/21067,"Fayette County, KY",30974
geoId/21069,"Fleming County, KY",24017
geoId/21071,"Floyd County, KY",19745
geoId/21073,"Franklin County, KY",32657
geoId/21075,"Fulton County, KY",20914
geoId/21077,"Gallatin County, KY",25706
geoId/21079,"Garrard County, KY",26491
geoId/21081,"Grant County, KY",30564
geoId/21083,"Graves County, KY",24536
geoId/21085,"Grayson County, KY",23464
geoId/21087,"Green County, KY",20106
geoId/21089,"Greenup County, KY",26273
geoId/21091,"Hancock County, KY",30737
geoId/21093,"Hardin County, KY",31473
geoId/21095,"Harlan County, KY",18441
geoId/21097,"Harrison County, KY",25553
geoId/21099,"Hart County, KY",22334
geoId/21101,"Henderson County, KY",27985
geoId/21103,"Henry County, KY",26073
geoId/21105,"Hickman County, KY",23553
geoId/21107,"Hopkins County, KY",26395
geoId/21109,"Jackson County, KY",17713
geoId/21111,"Jefferson County, KY",32123
geoId/21113,"Jessamine County, KY",29115
geoId/21115,"Johnson County, KY",21161
geoId/21117,"Kenton County, KY",33895
geoId/21119,"Knott County, KY",17882
geoId/21121,"Knox County, KY",17324
geoId/21123,"LaRue County, KY",25644
geoId/21125,"Laurel County, KY",23667
geoId/21127,"Lawrence County, KY",20573
geoId/21129,"Lee County, KY",14883
geoId/21131,"Leslie County, KY",20951
geoId/21133,"Letcher County, KY",20683
geoId/21135,"Lewis County, KY",20097
geoId/21137,"Lincoln County, KY",22616
geoId/21139,"Livingston County, KY",25642
geoId/21141,"Logan County, KY",26348
geoId/21143,"Lyon County, KY",24155
geoId/21145,"McCracken County, KY",25820
geoId/21147,"McCreary County, KY",17367
geoId/21149,"McLean County, KY",28612
geoId/21151,"Madison County, KY",24250
geoId/21153,"Magoffin County, KY",16560
geoId/21155,"Marion County, KY",24011
geoId/21157,"Marshall County, KY",29653
geoId/21159,"Martin County, KY",23129
geoId/21161,"Mason County, KY",25269
geoId/21163,"Meade County, KY",31050
geoId/21165,"Menifee County, KY",22151
geoId/21167,"Mercer County, KY",28659
geoId/21169,"Metcalfe County, KY",21399
geoId/21171,"Monroe County, KY",21824
geoId/21173,"Montgomery County, KY",25002
geoId/21175,"Morgan County, KY",21160
geoId/21177,"Muhlenberg County, KY",21822
geoId/21179,"Nelson County, KY",31062
geoId/21181,"Nicholas County, KY",22074
geoId/21183,"Ohio County, KY",23096
geoId/21185,"Oldham County, KY",42322
geoId/21187,"Owen County, KY",26516
geoId/21189,"Owsley County, KY",16008
geoId/21191,"Pendleton County, KY",28004
geoId/21193,"Perry County, KY",22727
geoId/21195,"Pike County, KY",20899
geoId/21197,"Powell County, KY",23373
geoId/21199,"Pulaski County, KY",22087
geoId/21201,"Robertson County, KY",27195
geoId/21203,"Rockcastle County, KY",20631
geoId/21205,"Rowan County, KY",20135
geoId/21207,"Russell County, KY",23120
geoId/21209,"Scott County, KY",35673
geoId/21211,"Shelby County, KY",31811
geoId/21213,"Simpson County, KY",28986
geoId/21215,"Spencer County, KY",38139
geoId/21217,"Taylor County, KY",24265
geoId/21219,"Todd County, KY",27925
geoId/21221,"Trigg County, KY",27148
geoId/21223,"Trimble County, KY",27327
geoId/21225,"Union County, KY",26631
geoId/21227,"Warren County, KY",26104
geoId/21229,"Washington County, KY",27442
geoId/21231,"Wayne County, KY",21169
geoId/21233,"Webster County, KY",24905
geoId/21235,"Whitley County, KY",18444
geoId/21237,"Wolfe County, KY",12917
geoId/21239,"Woodford County, KY",33727
geoId/22001,"Acadia Parish, LA",24529
geoId/22003,"Allen Parish, LA",23450
geoId/22005,"Ascension Parish, LA",40902
geoId/22007,"Assumption Parish, LA",24498
geoId/22009,"Avoyelles Parish, LA",22870
geoId/22011,"Beauregard Parish, LA",26372
geoId/22013,"Bienville Parish, LA",21096
geoId/22015,"Bossier Parish, LA",30308
geoId/22017,"Caddo Parish, LA",24675
geoId/22019,"Calcasieu Parish, LA",28237
geoId/22021,"Caldwell Parish, LA",24440
geoId/22023,"Cameron Parish, LA",32073
geoId/22025,"Catahoula Parish, LA",24592
geoId/22027,"Claiborne Parish, LA",16467
geoId/22029,"Concordia Parish, LA",21623
geoId/22031,"DeSoto Parish, LA",24685
geoId/22033,"East Baton Rouge Parish, LA",30438
geoId/22035,"East Carroll Parish, LA",16796
geoId/22037,"East Feliciana Parish, LA",28392
geoId/22039,"Evangeline Parish, LA",19264
geoId/22041,"Franklin Parish, LA",23192
geoId/22043,"Grant Parish, LA",23105
geoId/22045,"Iberia Parish, LA",26131
geoId/22047,"Iberville Parish, LA",25854
geoId/22049,"Jackson Parish, LA",22853
geoId/22051,"Jefferson Parish, LA",30904
geoId/22053,"Jefferson Davis Parish, LA",24260
geoId/22055,"Lafayette Parish, LA",31110
geoId/22057,"Lafourche Parish, LA",25996
geoId/22059,"La Salle Parish, LA",25830
geoId/22061,"Lincoln Parish, LA",20235
geoId/22063,"Livingston Parish, LA",33269
geoId/22065,"Madison Parish, LA",20168
geoId/22067,"Morehouse Parish, LA",22162
geoId/22069,"Natchitoches Parish, LA",18888
geoId/22071,"Orleans Parish, LA",26607
geoId/22073,"Ouachita Parish, LA",26304
geoId/22075,"Plaquemines Parish, LA",30397
geoId/22077,"Pointe Coupee Parish, LA",25828
geoId/22079,"Rapides Parish, LA",26174
geoId/22081,"Red River Parish, LA",20236
geoId/22083,"Richland Parish, LA",21942
geoId/22085,"Sabine Parish, LA",22936
geoId/22087,"St. Bernard Parish, LA",26049
geoId/22089,"St. Charles Parish, LA",38012
geoId/22091,"St. Helena Parish, LA",23479
geoId/22093,"St. James Parish, LA",28177
geoId/22095,"St. John the Baptist Parish, LA",28304
geoId/22097,"St. Landry Parish, LA",21981
geoId/22099,"St. Martin Parish, LA",26485
geoId/22101,"St. Mary Parish, LA",25445
geoId/22103,"St. Tammany Parish, LA",34040
geoId/22105,"Tangipahoa Parish, LA",25418
geoId/22107,"Tensas Parish, LA",21122
geoId/22109,"Terrebonne Parish, LA",26454
geoId/22111,"Union Parish, LA",23954
geoId/22113,"Vermilion Parish, LA",26627
geoId/22115,"Vernon Parish, LA",27120
geoId/22117,"Washington Parish, LA",21446
geoId/22119,"Webster Parish, LA",17810
geoId/22121,"West Baton Rouge Parish, LA",36223
geoId/22123,"West Carroll Parish, LA",23337
geoId/22125,"West Feliciana Parish, LA",30623
geoId/22127,"Winn Parish, LA",23083
geoId/23001,"Androscoggin County, ME",30302
geoId/23003,"Aroostook County, ME",24147
geoId/23005,"Cumberland County, ME",37226
geoId/23007,"Franklin County, ME",26677
geoId/23009,"Hancock County, ME",30926
geoId/23011,"Kennebec County, ME",30013
geoId/23013,"Knox County, ME",30489
geoId/23015,"Lincoln County, ME",31872
geoId/23017,"Oxford County, ME",25421
geoId/23019,"Penobscot County, ME",27164
geoId/23021,"Piscataquis County, ME",23252
geoId/23023,"Sagadahoc County, ME",36486
geoId/23025,"Somerset County, ME",24098
geoId/23027,"Waldo County, ME",29742
geoId/23029,"Washington County, ME",24537
geoId/23031,"York County, ME",33945
geoId/24001,"Allegany County, MD",23749
geoId/24003,"Anne Arundel County, MD",48003
geoId/24005,"Baltimore County, MD",40461
geoId/24009,"Calvert County, MD",49961
geoId/24011,"Caroline County, MD",29425
geoId/24013,"Carroll County, MD",43291
geoId/24015,"Cecil County, MD",36824
geoId/24017,"Charles County, MD",49671
geoId/24019,"Dorchester County, MD",28821
geoId/24021,"Frederick County, MD",45373
geoId/24023,"Garrett County, MD",29967
geoId/24025,"Harford County, MD",43528
geoId/24027,"Howard County, MD",58164
geoId/24029,"Kent County, MD",31691
geoId/24031,"Montgomery County, MD",50040
geoId/24033,"Prince George's County, MD",41402
geoId/24035,"Queen Anne's County, MD",42662
geoId/24037,"St. Mary's County, MD",43851
geoId/24039,"Somerset County, MD",21725
geoId/24041,"Talbot County, MD",38561
geoId/24043,"Washington County, MD",30729
geoId/24045,"Wicomico County, MD",28380
geoId/24047,"Worcester County, MD",32814
geoId/24510,"Baltimore, MD",31089
geoId/25001,"Barnstable County, MA",38200
geoId/25003,"Berkshire County, MA",31911
geoId/25005,"Bristol County, MA",34629
geoId/25007,"Dukes County, MA",40064
geoId/25009,"Essex County, MA",37335
geoId/25011,"Franklin County, MA",32540
geoId/25013,"Hampden County, MA",30381
geoId/25015,"Hampshire County, MA",28763
geoId/25017,"Middlesex County, MA",48230
geoId/25019,"Nantucket County, MA",48785
geoId/25021,"Norfolk County, MA",48912
geoId/25023,"Plymouth County, MA",41029
geoId/25025,"Suffolk County, MA",36591
geoId/25027,"Worcester County, MA",36595
geoId/26001,"Alcona County, MI",25154
geoId/26003,"Alger County, MI",23482
geoId/26005,"Allegan County, MI",31471
geoId/26007,"Alpena County, MI",24409
geoId/26009,"Antrim County, MI",29130
geoId/26011,"Arenac County, MI",26119
geoId/26013,"Baraga County, MI",26870
geoId/26015,"Barry County, MI",32950
geoId/26017,"Bay County, MI",27907
geoId/26019,"Benzie County, MI",29965
geoId/26021,"Berrien County, MI",27347
geoId/26023,"Branch County, MI",28620
geoId/26025,"Calhoun County, MI",27567
geoId/26027,"Cass County, MI",30520
geoId/26029,"Charlevoix County, MI",31026
geoId/26031,"Cheboygan County, MI",26099
geoId/26033,"Chippewa County, MI",25252
geoId/26035,"Clare County, MI",21574
geoId/26037,"Clinton County, MI",35936
geoId/26039,"Crawford County, MI",24958
geoId/26041,"Delta County, MI",26078
geoId/26043,"Dickinson County, MI",31510
geoId/26045,"Eaton County, MI",35489
geoId/26047,"Emmet County, MI",30075
geoId/26049,"Genesee County, MI",27604
geoId/26051,"Gladwin County, MI",25023
geoId/26053,"Gogebic County, MI",24474
geoId/26055,"Grand Traverse County, MI",32148
geoId/26057,"Gratiot County, MI",26386
geoId/26059,"Hillsdale County, MI",27211
geoId/26061,"Houghton County, MI",21988
geoId/26063,"Huron County, MI",27415
geoId/26065,"Ingham County, MI",27065
geoId/26067,"Ionia County, MI",30988
geoId/26069,"Iosco County, MI",24139
geoId/26071,"Iron County, MI",26235
geoId/26073,"Isabella County, MI",19326
geoId/26075,"Jackson County, MI",29056
geoId/26077,"Kalamazoo County, MI",29413
geoId/26079,"Kalkaska County, MI",25694
geoId/26081,"Kent County, MI",32002
geoId/26083,"Keweenaw County, MI",30288
geoId/26085,"Lake County, MI",20455
geoId/26087,"Lapeer County, MI",31276
geoId/26089,"Leelanau County, MI",33345
geoId/26091,"Lenawee County, MI",29355
geoId/26093,"Livingston County, MI",39501
geoId/26095,"Luce County, MI",25434
geoId/26097,"Mackinac County, MI",25329
geoId/26099,"Macomb County, MI",32374
geoId/26101,"Manistee County, MI",25986
geoId/26103,"Marquette County, MI",27352
geoId/26105,"Mason County, MI",26263
geoId/26107,"Mecosta County, MI",21357
geoId/26109,"Menominee County, MI",26804
geoId/26111,"Midland County, MI",32326
geoId/26113,"Missaukee County, MI",25757
geoId/26115,"Monroe County, MI",32467
geoId/26117,"Montcalm County, MI",26908
geoId/26119,"Montmorency County, MI",25310
geoId/26121,"Muskegon County, MI",27543
geoId/26123,"Newaygo County, MI",26756
geoId/26125,"Oakland County, MI",40638
geoId/26127,"Oceana County, MI",25306
geoId/26129,"Ogemaw County, MI",23284
geoId/26131,"Ontonagon County, MI",23756
geoId/26133,"Osceola County, MI",25175
geoId/26135,"Oscoda County, MI",25182
geoId/26137,"Otsego County, MI",27431
geoId/26139,"Ottawa County, MI",31994
geoId/26141,"Presque Isle County, MI",25963
geoId/26143,"Roscommon County, MI",24276
geoId/26145,"Saginaw County, MI",27005
geoId/26147,"St. Clair County, MI",30097
geoId/26149,"St. Joseph County, MI",29110
geoId/26151,"Sanilac County, MI",27444
geoId/26153,"Schoolcraft County, MI",24686
geoId/26155,"Shiawassee County, MI",29989
geoId/26157,"Tuscola County, MI",27205
geoId/26159,"Van Buren County, MI",27929
geoId/26161,"Washtenaw County, MI",35419
geoId/26163,"Wayne County, MI",27902
geoId/26165,"Wexford County, MI",25952
geoId/27001,"Aitkin County, MN",27660
geoId/27003,"Anoka County, MN",40331
geoId/27005,"Becker County, MN",31616
geoId/27007,"Beltrami County, MN",27284
geoId/27009,"Benton County, MN",34718
geoId/27011,"Big Stone County, MN",29036
geoId/27013,"Blue Earth County, MN",28303
geoId/27015,"Brown County, MN",32983
geoId/27017,"Carlton County, MN",33388
geoId/27019,"Carver County, MN",47669
geoId/27021,"Cass County, MN",30133
geoId/27023,"Chippewa County, MN",32208
geoId/27025,"Chisago County, MN",40144
geoId/27027,"Clay County, MN",34403
geoId/27029,"Clearwater County, MN",27683
geoId/27031,"Cook County, MN",34099
geoId/27033,"Cottonwood County, MN",30255
geoId/27035,"Crow Wing County, MN",31330
geoId/27037,"Dakota County, MN",43111
geoId/27039,"Dodge County, MN",40729
geoId/27041,"Douglas County, MN",35355
geoId/27043,"Faribault County, MN",31318
geoId/27045,"Fillmore County, MN",34236
geoId/27047,"Freeborn County, MN",31118
geoId/27049,"Goodhue County, MN",37463
geoId/27051,"Grant County, MN",30760
geoId/27053,"Hennepin County, MN",41989
geoId/27055,"Houston County, MN",35591
geoId/27057,"Hubbard County, MN",29709
geoId/27059,"Isanti County, MN",37061
geoId/27061,"Itasca County, MN",28990
geoId/27063,"Jackson County, MN",34558
geoId/27065,"Kanabec County, MN",30094
geoId/27067,"Kandiyohi County, MN",32091
geoId/27069,"Kittson County, MN",32075
geoId/27071,"Koochiching County, MN",32178
geoId/27073,"Lac qui Parle County, MN",30471
geoId/27075,"Lake County, MN",35134
geoId/27077,"Lake of the Woods County, MN",25883
geoId/27079,"Le Sueur County, MN",37509
geoId/27081,"Lincoln County, MN",30541
geoId/27083,"Lyon County, MN",31096
geoId/27085,"McLeod County, MN",35477
geoId/27087,"Mahnomen County, MN",25587
geoId/27089,"Marshall County, MN",35537
geoId/27091,"Martin County, MN",32253
geoId/27093,"Meeker County, MN",32367
geoId/27095,"Mille Lacs County, MN",29704
geoId/27097,"Morrison County, MN",31143
geoId/27099,"Mower County, MN",31967
geoId/27101,"Murray County, MN",31772
geoId/27103,"Nicollet County, MN",34043
geoId/27105,"Nobles County, MN",30456
geoId/27107,"Norman County, MN",31957
geoId/27109,"Olmsted County, MN",41410
geoId/27111,"Otter Tail County, MN",32705
geoId/27113,"Pennington County, MN",35092
