placeDcid,placeName,Median_Income_Person
geoId/05079,"Lincoln County, AR",22201
geoId/05081,"Little River County, AR",26289
geoId/05083,"Logan County, AR",22401
geoId/05085,"Lonoke County, AR",31434
geoId/05087,"Madison County, AR",22083
geoId/05089,"Marion County, AR",20213
geoId/05091,"Miller County, AR",24142
geoId/05093,"Mississippi County, AR",24789
geoId/05095,"Monroe County, AR",24032
geoId/05097,"Montgomery County, AR",22221
geoId/05099,"Nevada County, AR",22471
geoId/05101,"Newton County, AR",20681
geoId/05103,"Ouachita County, AR",21690
geoId/05105,"Perry County, AR",22142
geoId/05107,"Phillips County, AR",22430
geoId/05109,"Pike County, AR",22135
geoId/05111,"Poinsett County, AR",22237
geoId/05113,"Polk County, AR",22047
geoId/05115,"Pope County, AR",22100
geoId/05117,"Prairie County, AR",27083
geoId/05119,"Pulaski County, AR",31436
geoId/05121,"Randolph County, AR",22237
geoId/05123,"St. Francis County, AR",20724
geoId/05125,"Saline County, AR",32961
geoId/05127,"Scott County, AR",22762
geoId/05129,"Searcy County, AR",18598
geoId/05131,"Sebastian County, AR",26269
geoId/05133,"Sevier County, AR",23875
geoId/05135,"Sharp County, AR",19569
geoId/05137,"Stone County, AR",17672
geoId/05139,"Union County, AR",25496
geoId/05141,"Van Buren County, AR",20937
geoId/05143,"Washington County, AR",29201
geoId/05145,"White County, AR",23405
geoId/05147,"Woodruff County, AR",24537
geoId/05149,"Yell County, AR",24810
geoId/06001,"Alameda County, CA",45882
geoId/06003,"Alpine County, CA",32660
geoId/06005,"Amador County, CA",32480
geoId/06007,"Butte County, CA",25467
geoId/06009,"Calaveras County, CA",29944
geoId/06011,"Colusa County, CA",28629
geoId/06013,"Contra Costa County, CA",43768
geoId/06015,"Del Norte County, CA",24773
geoId/06017,"El Dorado County, CA",37774
geoId/06019,"Fresno County, CA",26633
geoId/06021,"Glenn County, CA",25849
geoId/06023,"Humboldt County, CA",25316
geoId/06025,"Imperial County, CA",18955
geoId/06027,"Inyo County, CA",32401
geoId/06029,"Kern County, CA",25526
geoId/06031,"Kings County, CA",28075
geoId/06033,"Lake County, CA",25726
geoId/06035,"Lassen County, CA",31642
geoId/06037,"Los Angeles County, CA",31048
geoId/06039,"Madera County, CA",24564
geoId/06041,"Marin County, CA",55546
geoId/06043,"Mariposa County, CA",28157
geoId/06045,"Mendocino County, CA",27297
geoId/06047,"Merced County, CA",25856
geoId/06049,"Modoc County, CA",26590
geoId/06051,"Mono County, CA",36903
geoId/06053,"Monterey County, CA",30484
geoId/06055,"Napa County, CA",38721
geoId/06057,"Nevada County, CA",33273
geoId/06059,"Orange County, CA",37499
geoId/06061,"Placer County, CA",42751
geoId/06063,"Plumas County, CA",33100
geoId/06065,"Riverside County, CA",30279
geoId/06067,"Sacramento County, CA",34013
geoId/06069,"San Benito County, CA",34783
geoId/06071,"San Bernardino County, CA",28611
geoId/06073,"San Diego County, CA",36028
geoId/06075,"San Francisco County, CA",54549
geoId/06077,"San Joaquin County, CA",30974
geoId/06079,"San Luis Obispo County, CA",33765
geoId/06081,"San Mateo County, CA",51281
geoId/06083,"Santa Barbara County, CA",31556
geoId/06085,"Santa Clara County, CA",50030
geoId/06087,"Santa Cruz County, CA",34883
geoId/06089,"Shasta County, CA",28442
geoId/06091,"Sierra County, CA",27843
geoId/06093,"Siskiyou County, CA",25959
geoId/06095,"Solano County, CA",37621
geoId/06097,"Sonoma County, CA",38515
geoId/06099,"Stanislaus County, CA",29085
geoId/06101,"Sutter County, CA",28722
geoId/06103,"Tehama County, CA",24849
geoId/06105,"Trinity County, CA",24047
geoId/06107,"Tulare County, CA",24683
geoId/06109,"Tuolumne County, CA",31055
geoId/06111,"Ventura County, CA",35064
geoId/06113,"Yolo County, CA",31781
geoId/06115,"Yuba County, CA",27679
geoId/08001,"Adams County, CO",35405
geoId/08003,"Alamosa County, CO",23667
geoId/08005,"Arapahoe County, CO",39611
geoId/08007,"Archuleta County, CO",26769
geoId/08009,"Baca County, CO",22930
geoId/08011,"Bent County, CO",24022
geoId/08013,"Boulder County, CO",38758
geoId/08014,"Broomfield, CO",49286
geoId/08015,"Chaffee County, CO",30964
geoId/08017,"Cheyenne County, CO",38615
geoId/08019,"Clear Creek County, CO",38694
geoId/08021,"Conejos County, CO",23201
geoId/08023,"Costilla County, CO",18945
geoId/08025,"Crowley County, CO",21982
geoId/08027,"Custer County, CO",29293
geoId/08029,"Delta County, CO",26444
geoId/08031,"Denver, CO",40997
geoId/08033,"Dolores County, CO",31420
geoId/08035,"Douglas County, CO",52391
geoId/08037,"Eagle County, CO",40036
geoId/08039,"Elbert County, CO",41293
geoId/08041,"El Paso County, CO",34407
geoId/08043,"Fremont County, CO",28287
geoId/08045,"Garfield County, CO",36027
geoId/08047,"Gilpin County, CO",52523
geoId/08049,"Grand County, CO",37111
geoId/08051,"Gunnison County, CO",31094
geoId/08053,"Hinsdale County, CO",31061
geoId/08055,"Huerfano County, CO",23972
geoId/08057,"Jackson County, CO",26460
geoId/08059,"Jefferson County, CO",42400
geoId/08061,"Kiowa County, CO",26375
geoId/08063,"Kit Carson County, CO",31077
geoId/08065,"Lake County, CO",35894
geoId/08067,"La Plata County, CO",34431
geoId/08069,"Larimer County, CO",33757
geoId/08071,"Las Animas County, CO",25712
geoId/08073,"Lincoln County, CO",27157
geoId/08075,"Logan County, CO",26259
geoId/08077,"Mesa County, CO",29411
geoId/08079,"Mineral County, CO",24897
geoId/08081,"Moffat County, CO",31392
geoId/08083,"Montezuma County, CO",26557
geoId/08085,"Montrose County, CO",28310
geoId/08087,"Morgan County, CO",26985
geoId/08089,"Otero County, CO",24328
geoId/08091,"Ouray County, CO",35124
geoId/08093,"Park County, CO",36444
geoId/08095,"Phillips County, CO",35522
geoId/08097,"Pitkin County, CO",48186
geoId/08099,"Prowers County, CO",26736
geoId/08101,"Pueblo County, CO",26741
geoId/08103,"Rio Blanco County, CO",32094
geoId/08105,"Rio Grande County, CO",24314
geoId/08107,"Routt County, CO",39851
geoId/08109,"Saguache County, CO",24415
geoId/08111,"San Juan County, CO",38859
geoId/08113,"San Miguel County, CO",35949
geoId/08115,"Sedgwick County, CO",27422
geoId/08117,"Summit County, CO",39090
geoId/08119,"Teller County, CO",34008
geoId/08121,"Washington County, CO",27413
geoId/08123,"Weld County, CO",33377
geoId/08125,"Yuma County, CO",33172
geoId/09001,"Fairfield County, CT",41747
geoId/09003,"Hartford County, CT",38717
geoId/09005,"Litchfield County, CT",39349
geoId/09007,"Middlesex County, CT",43449
geoId/09009,"New Haven County, CT",36670
geoId/09011,"New London County, CT",37317
geoId/09013,"Tolland County, CT",37981
geoId/09015,"Windham County, CT",32593
geoId/10001,"Kent County, DE",31120
geoId/10003,"New Castle County, DE",36961
geoId/10005,"Sussex County, DE",32660
geoId/11001,"Washington, D.C., DC",52328
geoId/12001,"Alachua County, FL",26526
geoId/12003,"Baker County, FL",30176
geoId/12005,"Bay County, FL",29769
geoId/12007,"Bradford County, FL",25122
geoId/12009,"Brevard County, FL",29652
geoId/12011,"Broward County, FL",31010
geoId/12013,"Calhoun County, FL",23162
geoId/12015,"Charlotte County, FL",26947
geoId/12017,"Citrus County, FL",25559
geoId/12019,"Clay County, FL",32871
geoId/12021,"Collier County, FL",32201
geoId/12023,"Columbia County, FL",25919
geoId/12027,"DeSoto County, FL",21518
geoId/12029,"Dixie County, FL",23446
geoId/12031,"Duval County, FL",31453
geoId/12033,"Escambia County, FL",27315
geoId/12035,"Flagler County, FL",28000
geoId/12037,"Franklin County, FL",25076
geoId/12039,"Gadsden County, FL",25421
geoId/12041,"Gilchrist County, FL",23568
geoId/12043,"Glades County, FL",22679
geoId/12045,"Gulf County, FL",29336
geoId/12047,"Hamilton County, FL",21218
geoId/12049,"Hardee County, FL",23234
geoId/12051,"Hendry County, FL",22669
geoId/12053,"Hernando County, FL",25692
geoId/12055,"Highlands County, FL",23333
geoId/12057,"Hillsborough County, FL",31269
geoId/12059,"Holmes County, FL",21991
geoId/12061,"Indian River County, FL",28770
geoId/12063,"Jackson County, FL",23870
geoId/12065,"Jefferson County, FL",28199
geoId/12067,"Lafayette County, FL",22398
geoId/12069,"Lake County, FL",27396
geoId/12071,"Lee County, FL",29562
geoId/12073,"Leon County, FL",29023
geoId/12075,"Levy County, FL",21609
geoId/12077,"Liberty County, FL",23799
geoId/12079,"Madison County, FL",20576
geoId/12081,"Manatee County, FL",29953
geoId/12083,"Marion County, FL",25344
geoId/12085,"Martin County, FL",31854
geoId/12086,"Miami-Dade County, FL",25724
geoId/12087,"Monroe County, FL",37618
geoId/12089,"Nassau County, FL",33028
geoId/12091,"Okaloosa County, FL",31430
geoId/12093,"Okeechobee County, FL",24258
geoId/12095,"Orange County, FL",29380
geoId/12097,"Osceola County, FL",25032
geoId/12099,"Palm Beach County, FL",31481
geoId/12101,"Pasco County, FL",27754
geoId/12103,"Pinellas County, FL",31038
geoId/12105,"Polk County, FL",26385
geoId/12107,"Putnam County, FL",22898
geoId/12109,"St. Johns County, FL",37043
geoId/12111,"St. Lucie County, FL",27164
geoId/12113,"Santa Rosa County, FL",31833
geoId/12115,"Sarasota County, FL",32535
geoId/12117,"Seminole County, FL",34447
geoId/12119,"Sumter County, FL",28416
geoId/12121,"Suwannee County, FL",23287
geoId/12123,"Taylor County, FL",23621
geoId/12125,"Union County, FL",26850
geoId/12127,"Volusia County, FL",27849
geoId/12129,"Wakulla County, FL",33876
geoId/12131,"Walton County, FL",31042
geoId/12133,"Washington County, FL",22392
