Primary_State_Name,County_State,Index_of_Medical_Underservice_Score
Missouri,"Crawford County, MO",50.0
Missouri,"Ray County, MO",0.0
Missouri,"Dade County, MO",50.0
Missouri,"Dallas County, MO",41.0
Missouri,"Montgomery County, MO",57.0
Missouri,"DeKalb County, MO",46.0
Missouri,"Douglas County, MO",40.0
Missouri,"Dunklin County, MO",54.0
Missouri,"Polk County, MO",53.5
Missouri,"Laclede County, MO",56.0
Missouri,"Gentry County, MO",56.0
Missouri,"Miller County, MO",56.0
Missouri,"Barton County, MO",58.0
Missouri,"Greene County, MO",58.0
Missouri,"Grundy County, MO",47.0
Missouri,"Harrison County, MO",42.0
Missouri,"Wright County, MO",58.0
Missouri,"Hickory County, MO",59.0
Missouri,"Holt County, MO",57.0
Missouri,"Howard County, MO",44.0
Missouri,"Bates County, MO",56.0
Missouri,"Howell County, MO",61.0
Missouri,"Carroll County, MO",57.0
Missouri,"Iron County, MO",49.0
Missouri,"Jackson County, MO",59.0
Missouri,"Daviess County, MO",60.5
Missouri,"Jefferson County, MO",61.0
Missouri,"Lewis County, MO",60.0
Missouri,"Lawrence County, MO",56.0
Missouri,"Clark County, MO",57.0
Missouri,"Morgan County, MO",52.0
Missouri,"Taney County, MO",59.0
Missouri,"Madison County, MO",60.0
Missouri,"Johnson County, MO",60.0
Missouri,"Maries County, MO",54.0
Missouri,"Marion County, MO",61.0
Missouri,"McDonald County, MO",42.0
Missouri,"Mercer County, MO",30.0
Missouri,"Mississippi County, MO",48.0
Missouri,"Monroe County, MO",59.0
Missouri,"Randolph County, MO",58.0
Missouri,"Scott County, MO",53.0
Missouri,"New Madrid County, MO",44.0
Missouri,"Newton County, MO",61.0
Missouri,"Oregon County, MO",35.0
Missouri,"Ozark County, MO",49.0
Missouri,"Pemiscot County, MO",31.0
Missouri,"Pike County, MO",62.0
Missouri,"Jasper County, MO",57.0
Missouri,"Pulaski County, MO",58.0
Missouri,"Putnam County, MO",38.0
Missouri,"Ralls County, MO",59.0
Missouri,"Reynolds County, MO",45.0
Missouri,"Ripley County, MO",28.0
Missouri,"St. Louis City, MO",57.90909091
Missouri,"St. Louis County, MO",57.75
Missouri,"Audrain County, MO",55.0
Missouri,"Schuyler County, MO",58.0
Missouri,"Scotland County, MO",60.0
Missouri,"Shannon County, MO",52.0
Missouri,"Shelby County, MO",56.0
Missouri,"St. Clair County, MO",57.0
Missouri,"Perry County, MO",51.0
Missouri,"Stoddard County, MO",55.0
Missouri,"Stone County, MO",49.0
Missouri,"Sullivan County, MO",44.0
Missouri,"Texas County, MO",49.0
Missouri,"Washington County, MO",58.0
Missouri,"Wayne County, MO",53.0
Missouri,"Webster County, MO",54.0
Missouri,"Worth County, MO",48.0
Missouri,"Boone County, MO",44.0
Missouri,"Dent County, MO",53.0
Missouri,"Lafayette County, MO",60.0
Missouri,"Phelps County, MO",61.0
Missouri,"St. Charles County, MO",0.0
Montana,"Carter County, MT",58.0
Montana,"Fallon County, MT",58.0
Montana,"Wibaux County, MT",58.0
Montana,"Lake County, MT",0.0
Montana,"Beaverhead County, MT",56.0
Montana,"Big Horn County, MT",45.0
Montana,"Blaine County, MT",48.0
Montana,"Broadwater County, MT",61.0
Montana,"Carbon County, MT",58.0
Montana,"Cascade County, MT",53.5
Montana,"Lewis and Clark County, MT",55.75
Montana,"Teton County, MT",57.5
Montana,"Chouteau County, MT",55.0
Montana,"Pondera County, MT",59.0
Montana,"Daniels County, MT",33.0
Montana,"Flathead County, MT",59.5
Montana,"Glacier County, MT",43.0
Montana,"Golden Valley County, MT",59.0
Montana,"Granite County, MT",61.0
Montana,"Ravalli County, MT",48.0
Montana,"Judith Basin County, MT",60.0
Montana,"Liberty County, MT",53.0
Montana,"Lincoln County, MT",59.0
Montana,"McCone County, MT",52.0
Montana,"Meagher County, MT",45.0
Montana,"Custer County, MT",62.0
Montana,"Garfield County, MT",62.0
Montana,"Powder River County, MT",62.0
Montana,"Prairie County, MT",62.0
Montana,"Mineral County, MT",59.0
Montana,"Musselshell County, MT",57.0
Montana,"Park County, MT",62.0
Montana,"Petroleum County, MT",56.0
Montana,"Phillips County, MT",59.0
Montana,"Powell County, MT",58.0
Montana,"Roosevelt County, MT",44.0
Montana,"Rosebud County, MT",57.0
Montana,"Sanders County, MT",61.0
Montana,"Sheridan County, MT",54.0
Montana,"Madison County, MT",53.0
Montana,"Silver Bow County, MT",60.0
Montana,"Sweet Grass County, MT",49.0
Montana,"Treasure County, MT",48.0
Montana,"Valley County, MT",54.0
Montana,"Hill County, MT",0.0
Montana,"Yellowstone County, MT",72.0
Montana,"Missoula County, MT",0.0
Montana,"Toole County, MT",0.0
Montana,"Fergus County, MT",52.0
Montana,"Gallatin County, MT",54.0
Montana,"Deer Lodge County, MT",52.0
Montana,"Wheatland County, MT",52.0
Nebraska,"Colfax County, NE",54.5
Nebraska,"Harlan County, NE",54.0
Nebraska,"Antelope County, NE",55.0
Nebraska,"Custer County, NE",0.0
Nebraska,"Arthur County, NE",57.0
Nebraska,"Nemaha County, NE",60.0
Nebraska,"Cass County, NE",56.0
Nebraska,"Banner County, NE",58.0
Nebraska,"Blaine County, NE",50.0
Nebraska,"Boone County, NE",61.0
Nebraska,"Boyd County, NE",51.0
Nebraska,"Brown County, NE",50.0
Nebraska,"Thayer County, NE",58.0
Nebraska,"Cedar County, NE",46.0
Nebraska,"Wayne County, NE",55.0
Nebraska,"Chase County, NE",59.0
Nebraska,"Saunders County, NE",53.66666667
Nebraska,"Merrick County, NE",58.5
Nebraska,"Clay County, NE",44.0
Nebraska,"Dakota County, NE",59.0
Nebraska,"Butler County, NE",47.0
Nebraska,"Burt County, NE",59.0
Nebraska,"Deuel County, NE",60.0
Nebraska,"Dixon County, NE",56.0
Nebraska,"Douglas County, NE",53.33333333
Nebraska,"Dundy County, NE",57.0
Nebraska,"Jefferson County, NE",53.5
Nebraska,"Fillmore County, NE",56.0
Nebraska,"Franklin County, NE",51.0
Nebraska,"Frontier County, NE",58.0
Nebraska,"Furnas County, NE",58.0
Nebraska,"Garfield County, NE",51.0
Nebraska,"Nance County, NE",58.0
Nebraska,"Gosper County, NE",53.0
Nebraska,"Grant County, NE",57.0
Nebraska,"Greeley County, NE",54.0
Nebraska,"Hayes County, NE",56.0
Nebraska,"Madison County, NE",60.0
Nebraska,"Hitchcock County, NE",36.0
Nebraska,"Holt County, NE",52.0
Nebraska,"Hooker County, NE",57.0
Nebraska,"Keya Paha County, NE",50.0
Nebraska,"Knox County, NE",56.0
Nebraska,"Lancaster County, NE",60.0
Nebraska,"Logan County, NE",57.0
Nebraska,"Loup County, NE",32.0
Nebraska,"Hall County, NE",67.0
Nebraska,"McPherson County, NE",57.0
Nebraska,"Valley County, NE",0.0
Nebraska,"Nuckolls County, NE",52.0
Nebraska,"Pawnee County, NE",59.0
Nebraska,"Polk County, NE",59.0
Nebraska,"Buffalo County, NE",47.0
Nebraska,"Richardson County, NE",50.0
Nebraska,"Rock County, NE",42.0
Nebraska,"Howard County, NE",60.0
Nebraska,"Saline County, NE",61.0
Nebraska,"Sarpy County, NE",62.0
Nebraska,"Sherman County, NE",41.0
Nebraska,"Sioux County, NE",51.0
Nebraska,"Johnson County, NE",56.5
Nebraska,"Platte County, NE",58.0
Nebraska,"Stanton County, NE",57.0
Nebraska,"Thomas County, NE",57.0
Nebraska,"Thurston County, NE",55.0
Nebraska,"Wheeler County, NE",56.0
Nebraska,"Cuming County, NE",58.0
Nebraska,"Scotts Bluff County, NE",0.0
Nebraska,"Adams County, NE",0.0
Nebraska,"Dodge County, NE",62.0
Nevada,"Clark County, NV",59.22222222
Nevada,"Esmeralda County, NV",40.0
Nevada,"Eureka County, NV",54.0
Nevada,"Elko County, NV",35.33333333
Nevada,"Lander County, NV",50.0
Nevada,"Lincoln County, NV",51.0
Nevada,"Lyon County, NV",52.0
Nevada,"Pershing County, NV",58.0
Nevada,"Nye County, NV",61.0
Nevada,"Storey County, NV",47.0
Nevada,"Carson City, NV",0.0
Nevada,"Mineral County, NV",55.0
Nevada,"Washoe County, NV",48.0
New Hampshire,"Rockingham County, NH",55.0
New Hampshire,"Carroll County, NH",48.0
New Hampshire,"Hillsborough County, NH",56.5
New Hampshire,"Strafford County, NH",50.0
New Hampshire,"Grafton County, NH",20.4
New Hampshire,"Coos County, NH",0.0
New Hampshire,"Cheshire County, NH",0.0
New Hampshire,"Sullivan County, NH",17.0
New Hampshire,"Windham County, NH",18.33333333
Vermont,"Windham County, VT",18.33333333
New Hampshire,"Belknap County, NH",58.0
New Hampshire,"Merrimack County, NH",48.0
New Jersey,"Atlantic County, NJ",57.5
New Jersey,"Camden County, NJ",48.0
New Jersey,"Middlesex County, NJ",27.0
New Jersey,"Cumberland County, NJ",39.66666667
New Jersey,"Union County, NJ",57.0
New Jersey,"Essex County, NJ",36.25
New Jersey,"Bergen County, NJ",62.0
New Jersey,"Hudson County, NJ",57.0
New Jersey,"Ocean County, NJ",59.0
New Jersey,"Sussex County, NJ",61.0
New Jersey,"Mercer County, NJ",43.0
New Jersey,"Monmouth County, NJ",52.0
New Jersey,"Passaic County, NJ",57.5
New Jersey,"Warren County, NJ",62.0
New Jersey,"Salem County, NJ",57.0
New Jersey,"Gloucester County, NJ",59.0
New Jersey,"Morris County, NJ",61.5
New Jersey,"Cape May County, NJ",57.0
New Jersey,"Burlington County, NJ",0.0
New Mexico,"Bernalillo County, NM",59.0
New Mexico,"Catron County, NM",44.0
New Mexico,"Chaves County, NM",61.0
New Mexico,"Cibola County, NM",51.0
New Mexico,"Colfax County, NM",54.0
New Mexico,"Curry County, NM",61.0
New Mexico,"Eddy County, NM",54.0
New Mexico,"Grant County, NM",57.0
New Mexico,"Guadalupe County, NM",59.0
New Mexico,"Harding County, NM",24.0
New Mexico,"Hidalgo County, NM",52.0
New Mexico,"Lea County, NM",57.0
New Mexico,"Lincoln County, NM",57.0
New Mexico,"Luna County, NM",49.0
New Mexico,"McKinley County, NM",37.0
New Mexico,"Mora County, NM",47.0
New Mexico,"Santa Fe County, NM",38.66666667
New Mexico,"Otero County, NM",53.5
New Mexico,"Taos County, NM",59.33333333
New Mexico,"Quay County, NM",55.0
New Mexico,"Rio Arriba County, NM",61.0
New Mexico,"Roosevelt County, NM",59.0
New Mexico,"San Juan County, NM",48.0
New Mexico,"San Miguel County, NM",59.0
New Mexico,"Sandoval County, NM",34.0
New Mexico,"Sierra County, NM",18.0
New Mexico,"Socorro County, NM",50.0
New Mexico,"Torrance County, NM",46.0
New Mexico,"Union County, NM",42.0
New Mexico,"Valencia County, NM",61.0
New Mexico,"De Baca County, NM",0.0
New Mexico,"Dona Ana County, NM",0.0
New York,"Jefferson County, NY",56.5
New York,"Albany County, NY",53.0
New York,"Allegany County, NY",61.0
New York,"Wyoming County, NY",61.0
New York,"Bronx County, NY",54.66666667
New York,"Columbia County, NY",61.0
New York,"Kings County, NY",54.6
New York,"St. Lawrence County, NY",60.0
New York,"Broome County, NY",49.0
New York,"Cayuga County, NY",56.66666667
New York,"Cattaraugus County, NY",58.5
New York,"Chautauqua County, NY",61.0
New York,"Chemung County, NY",60.0
New York,"Cortland County, NY",57.5
New York,"Montgomery County, NY",57.0
New York,"New York County, NY",55.5
New York,"Delaware County, NY",57.33333333
New York,"Erie County, NY",56.0
New York,"Hamilton County, NY",57.0
New York,"Herkimer County, NY",57.0
New York,"Livingston County, NY",56.0
New York,"Essex County, NY",18.0
New York,"Warren County, NY",27.0
New York,"Monroe County, NY",54.0
New York,"Suffolk County, NY",56.0
New York,"Otsego County, NY",38.66666667
New York,"Franklin County, NY",59.0
New York,"Queens County, NY",56.42857143
New York,"Oneida County, NY",56.66666667
New York,"Onondaga County, NY",55.0
New York,"Fulton County, NY",60.0
New York,"Orange County, NY",54.5
New York,"Orleans County, NY",60.0
New York,"Oswego County, NY",55.0
New York,"Seneca County, NY",61.0
New York,"Ulster County, NY",59.5
New York,"Rensselaer County, NY",59.33333333
New York,"Richmond County, NY",58.5
New York,"Schuyler County, NY",61.0
New York,"Steuben County, NY",59.0
New York,"Rockland County, NY",53.0
New York,"Lewis County, NY",61.0
New York,"Westchester County, NY",35.66666667
New York,"Schenectady County, NY",68.0
New York,"Dutchess County, NY",34.33333333
New York,"Nassau County, NY",0.0
New York,"Washington County, NY",29.0
New York,"Sullivan County, NY",60.33333333
New York,"Tompkins County, NY",50.0
New York,"Niagara County, NY",56.0
New York,"Ontario County, NY",44.0
New York,"Wayne County, NY",44.0
New York,"Greene County, NY",61.0
North Carolina,"Alamance County, NC",53.0
North Carolina,"Alexander County, NC",52.0
North Carolina,"Alleghany County, NC",50.0
North Carolina,"Stanly County, NC",59.5
North Carolina,"Anson County, NC",59.0
North Carolina,"Ashe County, NC",57.0
North Carolina,"Avery County, NC",61.0
North Carolina,"Jackson County, NC",51.5
North Carolina,"Beaufort County, NC",46.0
North Carolina,"Bertie County, NC",36.0
North Carolina,"Bladen County, NC",37.0
North Carolina,"Brunswick County, NC",52.0
North Carolina,"Buncombe County, NC",50.5
North Carolina,"Cabarrus County, NC",60.0
North Carolina,"Caldwell County, NC",56.0
North Carolina,"Camden County, NC",45.0
North Carolina,"Carteret County, NC",59.0
North Carolina,"Caswell County, NC",43.0
North Carolina,"Chatham County, NC",57.0
North Carolina,"Cherokee County, NC",52.0
North Carolina,"Clay County, NC",30.0
North Carolina,"Cleveland County, NC",57.0
North Carolina,"Columbus County, NC",41.0
North Carolina,"Craven County, NC",61.0
North Carolina,"Cumberland County, NC",52.25
North Carolina,"Currituck County, NC",58.0
North Carolina,"Dare County, NC",57.0
North Carolina,"Davidson County, NC",44.0
North Carolina,"Davie County, NC",61.0
North Carolina,"Surry County, NC",54.0
North Carolina,"Duplin County, NC",45.0
North Carolina,"Durham County, NC",55.0
North Carolina,"Iredell County, NC",50.0
North Carolina,"Edgecombe County, NC",46.0
North Carolina,"Forsyth County, NC",55.0
North Carolina,"Franklin County, NC",41.0
North Carolina,"Gaston County, NC",61.5
North Carolina,"Gates County, NC",35.0
North Carolina,"Transylvania County, NC",0.0
North Carolina,"Graham County, NC",56.0
North Carolina,"Granville County, NC",41.0
North Carolina,"Greene County, NC",24.0
North Carolina,"Guilford County, NC",53.5
North Carolina,"Halifax County, NC",34.0
North Carolina,"Harnett County, NC",47.0
North Carolina,"Hertford County, NC",46.0
North Carolina,"Hoke County, NC",42.0
North Carolina,"Lincoln County, NC",61.0
North Carolina,"Hyde County, NC",24.0
North Carolina,"Johnston County, NC",46.0
North Carolina,"Jones County, NC",38.0
North Carolina,"Lenoir County, NC",53.0
North Carolina,"Macon County, NC",52.0
North Carolina,"Madison County, NC",39.0
North Carolina,"Martin County, NC",58.0
North Carolina,"McDowell County, NC",60.0
North Carolina,"Mecklenburg County, NC",51.0
North Carolina,"Mitchell County, NC",41.0
North Carolina,"Montgomery County, NC",49.0
North Carolina,"Nash County, NC",42.0
North Carolina,"New Hanover County, NC",50.0
North Carolina,"Watauga County, NC",20.33333333
North Carolina,"Northampton County, NC",37.0
North Carolina,"Onslow County, NC",53.0
North Carolina,"Orange County, NC",58.0
North Carolina,"Pamlico County, NC",47.0
North Carolina,"Pender County, NC",50.0
North Carolina,"Perquimans County, NC",40.0
North Carolina,"Person County, NC",46.0
North Carolina,"Pitt County, NC",51.0
North Carolina,"Polk County, NC",54.0
North Carolina,"Randolph County, NC",61.0
North Carolina,"Richmond County, NC",46.0
North Carolina,"Robeson County, NC",43.0
North Carolina,"Rockingham County, NC",58.0
North Carolina,"Rutherford County, NC",58.0
North Carolina,"Sampson County, NC",49.0
North Carolina,"Scotland County, NC",48.0
North Carolina,"Rowan County, NC",53.0
North Carolina,"Stokes County, NC",57.0
North Carolina,"Swain County, NC",55.0
North Carolina,"Moore County, NC",24.5
North Carolina,"Tyrrell County, NC",31.0
North Carolina,"Union County, NC",54.0
North Carolina,"Vance County, NC",46.0
North Carolina,"Wake County, NC",56.33333333
North Carolina,"Warren County, NC",30.0
North Carolina,"Washington County, NC",37.0
North Carolina,"Wayne County, NC",54.0
North Carolina,"Catawba County, NC",57.0
North Carolina,"Wilkes County, NC",47.0
North Carolina,"Wilson County, NC",53.0
North Carolina,"Yadkin County, NC",58.0
North Carolina,"Yancey County, NC",46.0
North Carolina,"Henderson County, NC",0.0
North Carolina,"Chowan County, NC",49.0
North Carolina,"Haywood County, NC",53.0
North Dakota,"Adams County, ND",55.0
North Dakota,"Bottineau County, ND",55.33333333
North Dakota,"Mountrail County, ND",56.5
North Dakota,"Benson County, ND",33.0
North Dakota,"Billings County, ND",48.0
North Dakota,"Barnes County, ND",60.0
North Dakota,"Burleigh County, ND",62.0
North Dakota,"Bowman County, ND",58.0
North Dakota,"Burke County, ND",48.0
North Dakota,"Towner County, ND",61.0
North Dakota,"Cass County, ND",55.0
North Dakota,"Cavalier County, ND",61.0
North Dakota,"Dickey County, ND",56.0
North Dakota,"Divide County, ND",54.0
North Dakota,"Dunn County, ND",55.0
North Dakota,"Morton County, ND",53.0
North Dakota,"Stark County, ND",58.5
North Dakota,"Eddy County, ND",56.0
North Dakota,"Emmons County, ND",49.0
North Dakota,"Foster County, ND",58.0
North Dakota,"Golden Valley County, ND",57.0
North Dakota,"Grand Forks County, ND",60.0
North Dakota,"Grant County, ND",58.0
North Dakota,"Griggs County, ND",55.0
North Dakota,"Richland County, ND",46.0
North Dakota,"Hettinger County, ND",54.0
North Dakota,"Stutsman County, ND",56.0
North Dakota,"Kidder County, ND",49.0
North Dakota,"LaMoure County, ND",48.0
North Dakota,"Logan County, ND",54.0
North Dakota,"McHenry County, ND",52.0
North Dakota,"McIntosh County, ND",55.0
North Dakota,"McLean County, ND",60.0
North Dakota,"Ward County, ND",58.0
North Dakota,"Nelson County, ND",56.0
North Dakota,"Oliver County, ND",61.0
North Dakota,"Walsh County, ND",58.0
North Dakota,"Pierce County, ND",56.0
North Dakota,"Ransom County, ND",58.0
North Dakota,"Renville County, ND",60.0
North Dakota,"Rolette County, ND",47.0
North Dakota,"Sargent County, ND",61.0
North Dakota,"Sheridan County, ND",24.0
North Dakota,"Sioux County, ND",39.0
North Dakota,"Slope County, ND",58.0
North Dakota,"Steele County, ND",55.0
North Dakota,"Traill County, ND",60.0
North Dakota,"Pembina County, ND",50.0
North Dakota,"Wells County, ND",57.0
North Dakota,"Mercer County, ND",58.0
North Dakota,"McKenzie County, ND",49.0
North Dakota,"Williams County, ND",49.0
Ohio,"Adams County, OH",47.0
Ohio,"Coshocton County, OH",56.0
Ohio,"Washington County, OH",54.0
Ohio,"Belmont County, OH",56.5
Ohio,"Brown County, OH",60.0
Ohio,"Highland County, OH",59.0
Ohio,"Butler County, OH",55.66666667
Ohio,"Clark County, OH",56.5
Ohio,"Clermont County, OH",60.0
Ohio,"Ross County, OH",58.33333333
Ohio,"Cuyahoga County, OH",50.45
Ohio,"Darke County, OH",56.0
Ohio,"Hamilton County, OH",53.83333333
Ohio,"Stark County, OH",54.25
Ohio,"Franklin County, OH",56.4
Ohio,"Carroll County, OH",56.0
Ohio,"Paulding County, OH",59.0
Ohio,"Fayette County, OH",62.0
Ohio,"Morrow County, OH",60.0
Ohio,"Greene County, OH",57.0
Ohio,"Hardin County, OH",58.0
Ohio,"Harrison County, OH",61.0
Ohio,"Defiance County, OH",58.0
Ohio,"Jackson County, OH",58.0
Ohio,"Jefferson County, OH",49.5
Ohio,"Hocking County, OH",61.0
Ohio,"Lawrence County, OH",59.0
Ohio,"Athens County, OH",59.0
Ohio,"Guernsey County, OH",54.0
Ohio,"Lorain County, OH",58.0
Ohio,"Lucas County, OH",53.55555556
Ohio,"Mahoning County, OH",54.0
Ohio,"Noble County, OH",60.0
Ohio,"Holmes County, OH",58.0
Ohio,"Meigs County, OH",60.0
Ohio,"Tuscarawas County, OH",60.0
Ohio,"Monroe County, OH",61.0
Ohio,"Montgomery County, OH",54.5
Ohio,"Morgan County, OH",59.0
Ohio,"Marion County, OH",58.0
Ohio,"Allen County, OH",52.0
Ohio,"Perry County, OH",61.0
Ohio,"Pike County, OH",54.0
Ohio,"Ottawa County, OH",58.0
Ohio,"Putnam County, OH",61.0
Ohio,"Sandusky County, OH",58.0
Ohio,"Scioto County, OH",59.0
Ohio,"Summit County, OH",44.0
Ohio,"Trumbull County, OH",60.0
Ohio,"Vinton County, OH",50.0
Ohio,"Warren County, OH",60.5
Ohio,"Clinton County, OH",55.0
Ohio,"Wood County, OH",61.0
Ohio,"Fairfield County, OH",0.0
Ohio,"Muskingum County, OH",65.0
Ohio,"Van Wert County, OH",72.0
Ohio,"Columbiana County, OH",0.0
Ohio,"Pickaway County, OH",78.0
Ohio,"Ashtabula County, OH",58.0
Ohio,"Medina County, OH",57.0
Ohio,"Portage County, OH",55.0
Ohio,"Richland County, OH",57.0
Ohio,"Lake County, OH",57.0
Ohio,"Miami County, OH",61.0
Ohio,"Erie County, OH",60.0
Ohio,"Knox County, OH",62.0
Ohio,"Union County, OH",82.0
Ohio,"Madison County, OH",72.0
Ohio,"Huron County, OH",66.0
Ohio,"Logan County, OH",73.0
Oklahoma,"Alfalfa County, OK",52.0
Oklahoma,"Atoka County, OK",50.0
Oklahoma,"Caddo County, OK",59.0
Oklahoma,"Canadian County, OK",56.0
Oklahoma,"Oklahoma County, OK",47.625
Oklahoma,"Rogers County, OK",59.0
Oklahoma,"Choctaw County, OK",34.0
Oklahoma,"Cimarron County, OK",60.0
Oklahoma,"Cleveland County, OK",58.5
Oklahoma,"Coal County, OK",48.0
Oklahoma,"Comanche County, OK",52.0
Oklahoma,"Cotton County, OK",60.0
Oklahoma,"Delaware County, OK",33.0
Oklahoma,"Dewey County, OK",60.0
Oklahoma,"Osage County, OK",53.5
Oklahoma,"Garvin County, OK",60.0
Oklahoma,"Grant County, OK",61.0
Oklahoma,"Greer County, OK",56.0
Oklahoma,"Harmon County, OK",44.0
Oklahoma,"Harper County, OK",57.0
Oklahoma,"Haskell County, OK",52.0
Oklahoma,"Hughes County, OK",47.0
Oklahoma,"Jefferson County, OK",42.0
Oklahoma,"Johnston County, OK",28.0
Oklahoma,"Kiowa County, OK",47.0
Oklahoma,"Latimer County, OK",42.0
Oklahoma,"Le Flore County, OK",55.0
Oklahoma,"Lincoln County, OK",62.0
Oklahoma,"Logan County, OK",61.0
Oklahoma,"Love County, OK",61.0
Oklahoma,"Murray County, OK",59.0
Oklahoma,"Muskogee County, OK",61.0
Oklahoma,"Sequoyah County, OK",60.0
Oklahoma,"Marshall County, OK",61.0
Oklahoma,"Mayes County, OK",61.0
Oklahoma,"McClain County, OK",58.0
Oklahoma,"McCurtain County, OK",50.0
Oklahoma,"McIntosh County, OK",56.0
Oklahoma,"Adair County, OK",58.0
Oklahoma,"Garfield County, OK",55.0
Oklahoma,"Kay County, OK",58.25
Oklahoma,"Tulsa County, OK",56.0
Oklahoma,"Cherokee County, OK",57.5
Oklahoma,"Creek County, OK",60.5
Oklahoma,"Nowata County, OK",60.0
Oklahoma,"Blaine County, OK",49.5
Oklahoma,"Okfuskee County, OK",43.0
Oklahoma,"Okmulgee County, OK",48.0
Oklahoma,"Ottawa County, OK",56.0
Oklahoma,"Pawnee County, OK",39.0
Oklahoma,"Pontotoc County, OK",58.0
Oklahoma,"Pottawatomie County, OK",55.0
Oklahoma,"Pushmataha County, OK",51.0
Oklahoma,"Roger Mills County, OK",57.0
Oklahoma,"Seminole County, OK",56.0
Oklahoma,"Wagoner County, OK",56.0
Oklahoma,"Stephens County, OK",59.0
Oklahoma,"Tillman County, OK",46.0
Oklahoma,"Washita County, OK",61.0
Oklahoma,"Woods County, OK",46.0
Oklahoma,"Bryan County, OK",57.0
Oklahoma,"Ellis County, OK",53.0
Oklahoma,"Carter County, OK",57.5
Oklahoma,"Craig County, OK",55.0
Oklahoma,"Jackson County, OK",61.0
Oklahoma,"Washington County, OK",57.0
Oklahoma,"Payne County, OK",60.0
Oklahoma,"Pittsburg County, OK",54.0
Oklahoma,"Noble County, OK",59.0
Oklahoma,"Texas County, OK",61.0
Oregon,"Morrow County, OR",58.5
Oregon,"Josephine County, OR",54.0
Oregon,"Clackamas County, OR",55.5
Oregon,"Coos County, OR",56.5
Oregon,"Benton County, OR",51.0
Oregon,"Union County, OR",58.5
Oregon,"Curry County, OR",61.0
Oregon,"Baker County, OR",52.5
Oregon,"Gilliam County, OR",55.0
Oregon,"Washington County, OR",56.75
Oregon,"Grant County, OR",37.5
Oregon,"Malheur County, OR",57.0
Oregon,"Lane County, OR",56.66666667
Oregon,"Douglas County, OR",61.0
Oregon,"Marion County, OR",52.0
Oregon,"Wasco County, OR",59.0
Oregon,"Multnomah County, OR",57.0
Oregon,"Umatilla County, OR",61.0
Oregon,"Polk County, OR",53.33333333
Oregon,"Clatsop County, OR",58.33333333
Oregon,"Sherman County, OR",50.0
Oregon,"Lake County, OR",36.0
Oregon,"Deschutes County, OR",52.33333333
Oregon,"Crook County, OR",57.0
Oregon,"Tillamook County, OR",61.0
Oregon,"Wheeler County, OR",55.0
Oregon,"Yamhill County, OR",60.0
Oregon,"Lincoln County, OR",56.66666667
Oregon,"Columbia County, OR",65.0
Oregon,"Hood River County, OR",0.0
Oregon,"Jackson County, OR",0.0
Oregon,"Jefferson County, OR",0.0
Oregon,"Klamath County, OR",0.0
Oregon,"Linn County, OR",58.5
Oregon,"Wallowa County, OR",57.0
Pennsylvania,"Greene County, PA",40.75
Pennsylvania,"Beaver County, PA",54.33333333
Pennsylvania,"Allegheny County, PA",53.72727273
Pennsylvania,"Butler County, PA",60.0
Pennsylvania,"Lehigh County, PA",51.0
Pennsylvania,"McKean County, PA",56.0
Pennsylvania,"Armstrong County, PA",60.0
Pennsylvania,"Indiana County, PA",57.75
Pennsylvania,"Potter County, PA",61.0
Pennsylvania,"Jefferson County, PA",59.0
Pennsylvania,"Clearfield County, PA",33.66666667
Pennsylvania,"Bedford County, PA",56.8
Pennsylvania,"Crawford County, PA",56.5
Pennsylvania,"Centre County, PA",58.4
Pennsylvania,"Huntingdon County, PA",56.5
Pennsylvania,"Juniata County, PA",61.0
Pennsylvania,"Mifflin County, PA",59.0
Pennsylvania,"Cambria County, PA",55.0
Pennsylvania,"Cameron County, PA",59.0
Pennsylvania,"Cumberland County, PA",53.0
Pennsylvania,"Columbia County, PA",57.0
Pennsylvania,"Snyder County, PA",51.0
Pennsylvania,"Berks County, PA",58.0
Pennsylvania,"Venango County, PA",59.66666667
Pennsylvania,"Carbon County, PA",57.0
Pennsylvania,"Schuylkill County, PA",57.0
Pennsylvania,"Chester County, PA",57.5
Pennsylvania,"Mercer County, PA",58.5
Pennsylvania,"Lycoming County, PA",55.66666667
Pennsylvania,"Wayne County, PA",46.0
Pennsylvania,"Dauphin County, PA",59.5
Pennsylvania,"Tioga County, PA",56.33333333
Pennsylvania,"Delaware County, PA",55.0
Pennsylvania,"Clarion County, PA",61.0
Pennsylvania,"Somerset County, PA",57.66666667
Pennsylvania,"Philadelphia County, PA",53.28571429
Pennsylvania,"Wyoming County, PA",55.0
Pennsylvania,"Erie County, PA",56.66666667
Pennsylvania,"Franklin County, PA",54.0
Pennsylvania,"Fayette County, PA",54.5
Pennsylvania,"Forest County, PA",51.0
Pennsylvania,"Fulton County, PA",49.0
Pennsylvania,"Pike County, PA",61.0
Pennsylvania,"Clinton County, PA",58.5
Pennsylvania,"Lackawanna County, PA",61.0
Pennsylvania,"Lancaster County, PA",56.0
Pennsylvania,"Luzerne County, PA",59.2
Pennsylvania,"Adams County, PA",44.0
Pennsylvania,"Lawrence County, PA",61.0
Pennsylvania,"Lebanon County, PA",60.0
Pennsylvania,"Montgomery County, PA",59.5
Pennsylvania,"Bradford County, PA",60.0
Pennsylvania,"Northumberland County, PA",57.0
Pennsylvania,"Northampton County, PA",56.5
