average_annual_count,recent_trend,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,five_year_trend_rates,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
46,rising,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,304.5 ,2.0 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,AL,36520,38358,39796,40936,42686
56,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,863.7 ",0.2 ,"Lamar County, AL",58.0,13927,13928,13882,13882,13805,AL,36520,38358,39796,40936,42686
12,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.7 ,3.7 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,AL,37085,38403,39394,39254,44212
92,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,266.8 ",-0.1 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,AL,37085,38403,39394,39254,44212
43,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,245.9 ,1.3 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,AL,37085,38403,39394,39254,44212
61,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"1,804.6 ",-0.1 ,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,AL,37085,38403,39394,39254,44212
29,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<50,130.4 ,1.9 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
254,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,50+,"1,417.1 ",0.5 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
116,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,<65,260.3 ,0.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
168,stable,Alabama,All Cancer Sites,All Races (includes Hispanic),All Sexes,65+,"2,041.8 ",0.6 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
