Primary_State_Name,County_State,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
Arizona,"Gila County, AZ",52978,53356,53578,53801,54018
Arizona,"Graham County, AZ",37860,37807,37481,37995,38837
Arizona,"Greenlee County, AZ",9577,9643,9443,9448,9498
Arizona,"La Paz County, AZ",20466,20648,20706,21039,21108
Arizona,"Maricopa County, AZ",4172905,4256143,4327184,4402403,4485414
Arizona,"Mohave County, AZ",204574,205412,207017,209292,212181
Arizona,"Navajo County, AZ",107638,108467,109079,110242,110924
Arizona,"Pima County, AZ",1009103,1016707,1026391,1036554,1047279
Arizona,"Pinal County, AZ",405614,417193,431564,446806,462789
Arizona,"Santa Cruz County, AZ",46542,46400,46566,46395,46498
Arizona,"Yavapai County, AZ",220805,224575,228082,231772,235099
Arizona,"Yuma County, AZ",205186,207247,209507,211612,213787
Arkansas,"Arkansas County, AR",18330,18154,17872,17726,17486
Arkansas,"Ashley County, AR",20838,20530,20311,20012,19657
Arkansas,"Baxter County, AR",41138,41131,41308,41624,41932
Arkansas,"Benton County, AR",251591,259212,266585,272266,279141
Arkansas,"Boone County, AR",37119,37259,37459,37385,37432
Arkansas,"Bradley County, AR",10999,10959,10813,10838,10763
Arkansas,"Calhoun County, AR",5200,5143,5201,5227,5189
Arkansas,"Carroll County, AR",27755,27728,27865,28097,28380
Arkansas,"Chicot County, AR",10970,10899,10647,10442,10118
Arkansas,"Clark County, AR",22513,22602,22184,22313,22320
Arkansas,"Clay County, AR",15206,15060,14865,14763,14551
Arkansas,"Cleburne County, AR",25355,25173,25059,24994,24919
Arkansas,"Cleveland County, AR",8284,8245,8162,7995,7956
Arkansas,"Columbia County, AR",24115,24026,23695,23586,23457
Arkansas,"Conway County, AR",20936,20874,20810,20825,20846
Arkansas,"Craighead County, AR",104457,105932,107188,108816,110332
Arkansas,"Crawford County, AR",61904,62263,62894,63379,63257
Arkansas,"Crittenden County, AR",49019,49306,48716,48363,47955
Arkansas,"Cross County, AR",17255,17025,16792,16630,16419
Arkansas,"Dallas County, AR",7530,7399,7307,7152,7009
Arkansas,"Desha County, AR",12029,11905,11743,11507,11361
Arkansas,"Drew County, AR",18613,18553,18370,18328,18219
Arkansas,"Faulkner County, AR",121241,122206,123530,125138,126007
Arkansas,"Franklin County, AR",17749,17655,17809,17764,17715
Arkansas,"Fulton County, AR",12138,12099,12131,12308,12477
Arkansas,"Garland County, AR",97814,98282,98327,98966,99386
Arkansas,"Grant County, AR",18016,18064,18103,18180,18265
Arkansas,"Greene County, AR",44300,44730,44993,45339,45325
Arkansas,"Hempstead County, AR",22085,22032,21876,21685,21532
Arkansas,"Hot Spring County, AR",33497,33438,33606,33672,33771
Arkansas,"Howard County, AR",13336,13350,13365,13302,13202
Arkansas,"Independence County, AR",37035,37117,37391,37768,37825
Arkansas,"Izard County, AR",13487,13488,13666,13582,13629
Arkansas,"Jackson County, AR",17365,17282,17017,16753,16719
Arkansas,"Jefferson County, AR",71872,70407,69238,68067,66824
Arkansas,"Johnson County, AR",26094,26127,26401,26659,26578
Arkansas,"Lafayette County, AR",7010,6888,6797,6679,6624
Arkansas,"Lawrence County, AR",16696,16639,16571,16432,16406
Arkansas,"Lee County, AR",9672,9337,9127,8976,8857
Arkansas,"Lincoln County, AR",13866,13728,13475,13184,13024
Arkansas,"Little River County, AR",12402,12406,12373,12297,12259
Arkansas,"Logan County, AR",21729,21732,21739,21673,21466
Arkansas,"Lonoke County, AR",71359,71803,72778,73391,73309
Arkansas,"Madison County, AR",15705,16112,16299,16362,16576
Arkansas,"Marion County, AR",16215,16376,16429,16665,16694
Arkansas,"Miller County, AR",43792,43713,43736,43362,43257
Arkansas,"Mississippi County, AR",43729,42900,42112,41236,40651
Arkansas,"Monroe County, AR",7452,7205,7013,6880,6701
Arkansas,"Montgomery County, AR",9027,8936,8890,8910,8986
Arkansas,"Nevada County, AR",8508,8378,8309,8308,8252
Arkansas,"Newton County, AR",7846,7848,7815,7800,7753
Arkansas,"Ouachita County, AR",24316,24013,23817,23620,23382
Arkansas,"Perry County, AR",10307,10286,10346,10380,10455
Arkansas,"Phillips County, AR",19546,19050,18599,18054,17782
Arkansas,"Pike County, AR",10837,10826,10735,10666,10718
Arkansas,"Poinsett County, AR",24002,23974,24071,23903,23528
Arkansas,"Polk County, AR",20194,20145,20147,20019,19964
Arkansas,"Pope County, AR",63608,63897,63634,63594,64072
Arkansas,"Prairie County, AR",8299,8252,8248,8082,8062
Arkansas,"Pulaski County, AR",393576,394151,393280,391918,391911
Arkansas,"Randolph County, AR",17437,17444,17665,17970,17958
Arkansas,"St. Francis County, AR",26651,26347,25997,25509,24994
Arkansas,"Saline County, AR",116390,117656,119520,121074,122437
Arkansas,"Scott County, AR",10561,10332,10369,10339,10281
Arkansas,"Searcy County, AR",7835,7968,7927,7930,7881
Arkansas,"Sebastian County, AR",127385,127385,127786,127570,127827
Arkansas,"Sevier County, AR",17262,16971,17103,17061,17007
Arkansas,"Sharp County, AR",16808,17007,17147,17290,17442
Arkansas,"Stone County, AR",12386,12509,12520,12454,12506
Arkansas,"Union County, AR",40086,39879,39460,39139,38682
Arkansas,"Van Buren County, AR",16808,16669,16552,16635,16545
Arkansas,"Washington County, AR",224434,228482,232732,236611,239187
Arkansas,"White County, AR",78915,78917,78844,78381,78753
Arkansas,"Woodruff County, AR",6706,6600,6575,6466,6320
Arkansas,"Yell County, AR",21506,21502,21509,21462,21341
California,"Alameda County, CA",1634538,1650950,1660196,1666756,1671329
California,"Alpine County, CA",1077,1047,1111,1089,1129
California,"Amador County, CA",37031,37429,38529,39405,39752
California,"Butte County, CA",224631,226231,228696,230339,219186
California,"Calaveras County, CA",44965,45322,45681,45698,45905
California,"Colusa County, CA",21231,21496,21579,21418,21547
California,"Contra Costa County, CA",1124405,1137268,1145535,1150519,1153526
California,"Del Norte County, CA",27190,27382,27351,27740,27812
California,"El Dorado County, CA",184569,185976,188679,190746,192843
California,"Fresno County, CA",969488,976830,985238,991950,999101
California,"Glenn County, CA",27753,27840,27926,27967,28393
California,"Humboldt County, CA",135102,136290,136507,136244,135558
California,"Imperial County, CA",178937,180179,181649,181523,181215
California,"Inyo County, CA",18108,17922,17868,17946,18039
California,"Kern County, CA",876031,880856,887356,893758,900202
California,"Kings County, CA",150085,149382,149665,151382,152940
California,"Lake County, CA",64260,63903,64111,64317,64386
California,"Lassen County, CA",31256,30721,30920,30618,30573
California,"Los Angeles County, CA",10085416,10105708,10103711,10073906,10039107
California,"Madera County, CA",153576,153956,155423,156882,157327
California,"Marin County, CA",260916,260562,259749,259662,258826
California,"Mariposa County, CA",17622,17456,17414,17405,17203
California,"Mendocino County, CA",87107,87285,87576,87401,86749
California,"Merced County, CA",266353,267628,271096,274151,277680
California,"Modoc County, CA",9056,8961,8876,8800,8841
California,"Mono County, CA",14077,14273,14354,14403,14444
California,"Monterey County, CA",430552,433953,434534,433950,434061
California,"Napa County, CA",140862,140840,139878,138789,137744
