average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
841,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.1,"Duval County, FL",55.8,910578,926010,937933,948652,957755,49565,51948,52105,55733,58339
325,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.1,"Citrus County, FL",47.0,140287,142804,145415,147682,149657,39982,40009,43147,41556,49762
249,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.8,"Citrus County, FL",47.0,140287,142804,145415,147682,149657,39982,40009,43147,41556,49762
246,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,202.3,"Alachua County, FL",58.0,259052,263959,266309,268851,269043,47023,45294,45230,51026,49880
204,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,133.3,"Alachua County, FL",58.0,259052,263959,266309,268851,269043,47023,45294,45230,51026,49880
333,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,201.5,"Hernando County, FL",47.0,177900,182459,186704,190582,193920,43103,46225,44710,45884,50705
271,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4,"Hernando County, FL",47.0,177900,182459,186704,190582,193920,43103,46225,44710,45884,50705
837,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.2,"Volusia County, FL",52.0,516730,528453,537868,546101,553284,42334,45356,46911,50285,53554
702,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.4,"Volusia County, FL",52.0,516730,528453,537868,546101,553284,42334,45356,46911,50285,53554
617,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.0,"Marion County, FL",50.0,342182,347469,353339,359062,365579,40053,39629,43772,44517,49079
469,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,133.1,"Marion County, FL",50.0,342182,347469,353339,359062,365579,40053,39629,43772,44517,49079
912,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.8,"Brevard County, FL",0.0,565746,576874,587769,595203,601942,50352,51214,52596,57612,57582
741,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4,"Brevard County, FL",0.0,565746,576874,587769,595203,601942,50352,51214,52596,57612,57582
758,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.7,"Pasco County, FL",,494895,509937,525141,539090,553947,46080,46326,51247,53788,55745
622,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.0,"Pasco County, FL",,494895,509937,525141,539090,553947,46080,46326,51247,53788,55745
90,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.4,"Walton County, FL",60.0,63066,65421,68021,70732,74071,47875,54686,52922,60973,62600
64,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.3,"Walton County, FL",60.0,63066,65421,68021,70732,74071,47875,54686,52922,60973,62600
21,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0,"Jefferson County, FL",51.0,14115,13960,14165,14321,14246,42210,43453,48163,46332,47192
16,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.2,"Jefferson County, FL",51.0,14115,13960,14165,14321,14246,42210,43453,48163,46332,47192
214,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.8,"Clay County, FL",56.0,202392,207246,212228,215908,219252,59244,57476,65375,62835,75776
200,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.3,"Clay County, FL",56.0,202392,207246,212228,215908,219252,59244,57476,65375,62835,75776
29,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,190.0,"Taylor County, FL",61.0,22355,22099,21781,21545,21569,39116,40180,41557,42307,42987
25,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,156.9,"Taylor County, FL",61.0,22355,22099,21781,21545,21569,39116,40180,41557,42307,42987
296,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,187.1,"Osceola County, FL",50.0,323736,338209,353623,368456,375751,45127,50716,49284,50473,52270
237,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.5,"Osceola County, FL",50.0,323736,338209,353623,368456,375751,45127,50716,49284,50473,52270
182,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.5,"Santa Rosa County, FL",56.5,166226,169894,174049,179295,184313,59289,62668,65434,69541,66139
142,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.5,"Santa Rosa County, FL",56.5,166226,169894,174049,179295,184313,59289,62668,65434,69541,66139
548,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.1,"Lake County, FL",50.0,325154,334913,345432,356720,367118,49711,50125,51429,52447,57660
440,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.7,"Lake County, FL",50.0,325154,334913,345432,356720,367118,49711,50125,51429,52447,57660
208,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,186.1,"Okaloosa County, FL",55.0,197748,200071,203478,206934,210738,55391,58009,60798,62779,63520
194,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.8,"Okaloosa County, FL",55.0,197748,200071,203478,206934,210738,55391,58009,60798,62779,63520
286,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,185.5,"Indian River County, FL",56.0,147434,151159,154241,157187,159923,49887,49813,51797,58228,61173
231,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.3,"Indian River County, FL",56.0,147434,151159,154241,157187,159923,49887,49813,51797,58228,61173
1257,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,183.7,"Hillsborough County, FL",56.8,1364073,1396693,1426736,1451919,1471968,51710,54509,54741,58361,61133
1091,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.5,"Hillsborough County, FL",56.8,1364073,1396693,1426736,1451919,1471968,51710,54509,54741,58361,61133
21,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,182.9,"Gulf County, FL",59.0,15929,16062,16105,16146,13639,41320,38381,44135,45426,53228
16,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,138.5,"Gulf County, FL",59.0,15929,16062,16105,16146,13639,41320,38381,44135,45426,53228
993,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,177.7,"Orange County, FL",33.42857143,1291301,1326516,1355921,1381540,1393452,50593,51312,54021,58037,63133
873,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.9,"Orange County, FL",33.42857143,1291301,1326516,1355921,1381540,1393452,50593,51312,54021,58037,63133
179,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,176.5,"Flagler County, FL",52.0,104436,107406,109999,112085,115081,50347,50863,52713,58975,62831
147,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,129.0,"Flagler County, FL",52.0,104436,107406,109999,112085,115081,50347,50863,52713,58975,62831
195,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,175.7,"Bay County, FL",31.0,181488,183634,184736,186240,174705,47745,48843,51633,51777,58376
156,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.3,"Bay County, FL",31.0,181488,183634,184736,186240,174705,47745,48843,51633,51777,58376
412,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,175.6,"Seminole County, FL",49.0,448318,455945,462801,468122,471826,57357,61253,63865,67187,69954
402,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.2,"Seminole County, FL",49.0,448318,455945,462801,468122,471826,57357,61253,63865,67187,69954
50,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,174.0,"DeSoto County, FL",48.0,35648,36255,37241,37368,38001,34380,34146,37342,37233,41673
39,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.3,"DeSoto County, FL",48.0,35648,36255,37241,37368,38001,34380,34146,37342,37233,41673
1345,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,173.0,"Pinellas County, FL",56.71428571,947060,959874,968341,973058,974996,47591,49974,51488,52226,56708
1199,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,128.5,"Pinellas County, FL",56.71428571,947060,959874,968341,973058,974996,47591,49974,51488,52226,56708
208,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,171.6,"Leon County, FL",59.0,285904,286744,290965,291657,293582,46405,51041,51716,51046,55081
195,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.6,"Leon County, FL",59.0,285904,286744,290965,291657,293582,46405,51041,51716,51046,55081
790,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,170.7,"Polk County, FL",56.0,648523,665823,685368,706597,724777,44024,46289,48328,51354,51817
690,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,134.3,"Polk County, FL",56.0,648523,665823,685368,706597,724777,44024,46289,48328,51354,51817
425,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,169.6,"St. Lucie County, FL",53.0,297282,305566,313163,320425,328297,45918,45509,49995,53377,57292
360,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,131.5,"St. Lucie County, FL",53.0,297282,305566,313163,320425,328297,45918,45509,49995,53377,57292
36,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,167.1,"Hendry County, FL",59.0,39248,40037,41018,41336,42022,39320,39911,38361,44391,45107
26,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,124.3,"Hendry County, FL",59.0,39248,40037,41018,41336,42022,39320,39911,38361,44391,45107
270,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,166.5,"St. Johns County, FL",61.0,226362,234828,243693,253814,264672,71896,78544,77022,81925,90839
224,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.0,"St. Johns County, FL",61.0,226362,234828,243693,253814,264672,71896,78544,77022,81925,90839
8,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,164.6,"Liberty County, FL",61.0,8409,8300,8236,8427,8354,39623,38900,41308,40814,44236
8,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,171.1,"Liberty County, FL",61.0,8409,8300,8236,8427,8354,39623,38900,41308,40814,44236
105,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,162.8,"Monroe County, FL",45.0,76648,76872,76483,74757,74228,58332,63892,63009,67094,67528
69,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,119.5,"Monroe County, FL",45.0,76648,76872,76483,74757,74228,58332,63892,63009,67094,67528
363,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,161.3,"Charlotte County, FL",47.0,172382,177671,181522,184849,188910,45495,44935,51583,52724,54756
276,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.2,"Charlotte County, FL",47.0,172382,177671,181522,184849,188910,45495,44935,51583,52724,54756
2302,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,160.9,"Miami-Dade County, FL",52.4375,2659839,2692213,2713295,2714854,2716940,43687,45886,49758,52043,54991
2067,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.1,"Miami-Dade County, FL",52.4375,2659839,2692213,2713295,2714854,2716940,43687,45886,49758,52043,54991
182,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,160.9,"Highlands County, FL",47.0,100137,102041,103852,104933,106221,34691,36864,37445,39994,45723
160,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,134.8,"Highlands County, FL",47.0,100137,102041,103852,104933,106221,34691,36864,37445,39994,45723
1757,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,160.7,"Broward County, FL",50.2,1885040,1912583,1934516,1946107,1952778,53624,54055,56702,57200,61429
1686,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,122.5,"Broward County, FL",50.2,1885040,1912583,1934516,1946107,1952778,53624,54055,56702,57200,61429
748,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,158.6,"Sarasota County, FL",52.0,404761,412968,419680,426329,433742,55882,55088,58423,61652,66258
613,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,114.3,"Sarasota County, FL",52.0,404761,412968,419680,426329,433742,55882,55088,58423,61652,66258
296,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.9,"Sumter County, FL",46.0,117076,122009,124995,128719,132420,54592,56568,57931,55324,63464
190,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.7,"Sumter County, FL",46.0,117076,122009,124995,128719,132420,54592,56568,57931,55324,63464
259,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,157.1,"Martin County, FL",60.0,155559,158325,159701,160742,161000,53459,55917,58344,61592,70806
199,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,106.8,"Martin County, FL",60.0,155559,158325,159701,160742,161000,53459,55917,58344,61592,70806
25,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,154.6,"Hardee County, FL",61.0,27177,27219,27154,27168,26937,35850,37612,40056,39169,41430
20,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,125.8,"Hardee County, FL",61.0,27177,27219,27154,27168,26937,35850,37612,40056,39169,41430
492,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,145.6,"Manatee County, FL",50.0,362548,375373,385506,394387,403253,50728,51770,55189,59587,64151
417,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.5,"Manatee County, FL",50.0,362548,375373,385506,394387,403253,50728,51770,55189,59587,64151
1700,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.2,"Palm Beach County, FL",54.625,1424256,1450890,1470344,1482876,1496770,56638,57607,60059,61735,66621
1586,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,112.5,"Palm Beach County, FL",54.625,1424256,1450890,1470344,1482876,1496770,56638,57607,60059,61735,66621
972,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,144.2,"Lee County, FL",53.0,699644,722649,740000,754470,770577,50713,52989,54198,56343,62364
792,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,111.8,"Lee County, FL",53.0,699644,722649,740000,754470,770577,50713,52989,54198,56343,62364
17,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,133.6,"Glades County, FL",57.0,13099,13406,13580,13686,13811,40215,39607,42865,38680,45412
15,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.8,"Glades County, FL",57.0,13099,13406,13580,13686,13811,40215,39607,42865,38680,45412
462,Florida,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,118.6,"Collier County, FL",57.0,356041,365445,372678,378201,384902,62385,62397,66709,70649,76415
381,Florida,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,92.2,"Collier County, FL",57.0,356041,365445,372678,378201,384902,62385,62397,66709,70649,76415
12,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,338.4,"Warren County, GA",50.0,5374,5345,5265,5247,5254,32350,36789,34680,38352,37313
7,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.1,"Warren County, GA",50.0,5374,5345,5265,5247,5254,32350,36789,34680,38352,37313
4,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,320.3,"Taliaferro County, GA",49.0,1642,1611,1613,1612,1537,28952,30133,30586,34090,37046
14,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,312.4,"Turner County, GA",57.0,7982,7944,7895,7908,7985,35117,31969,33310,33261,35400
10,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,170.5,"Turner County, GA",57.0,7982,7944,7895,7908,7985,35117,31969,33310,33261,35400
26,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,288.7,"Jefferson County, GA",49.0,15917,15755,15630,15424,15362,32023,33680,35201,38274,35379
20,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,164.8,"Jefferson County, GA",49.0,15917,15755,15630,15424,15362,32023,33680,35201,38274,35379
34,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,288.2,"Emanuel County, GA",55.0,22471,22406,22533,22607,22646,31772,32495,33551,37574,38529
25,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,170.8,"Emanuel County, GA",55.0,22471,22406,22533,22607,22646,31772,32495,33551,37574,38529
6,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,288.0,"Quitman County, GA",27.0,2275,2320,2333,2260,2299,29921,30483,31151,33908,35522
4,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,182.7,"Quitman County, GA",27.0,2275,2320,2333,2260,2299,29921,30483,31151,33908,35522
73,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,282.7,"Laurens County, GA",43.0,47486,47279,47376,47336,47546,36960,39037,38078,42114,42018
45,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,133.8,"Laurens County, GA",43.0,47486,47279,47376,47336,47546,36960,39037,38078,42114,42018
31,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,281.1,"Washington County, GA",40.0,20736,20347,20311,20410,20374,36499,35542,37464,39444,41674
18,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,115.3,"Washington County, GA",40.0,20736,20347,20311,20410,20374,36499,35542,37464,39444,41674
38,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,278.9,"Toombs County, GA",50.0,27150,27121,26859,26902,26830,34953,36765,35226,37148,41442
29,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.4,"Toombs County, GA",50.0,27150,27121,26859,26902,26830,34953,36765,35226,37148,41442
13,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,277.0,"Montgomery County, GA",58.0,8942,8985,9024,9168,9172,36821,39074,41858,41834,43657
8,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.4,"Montgomery County, GA",58.0,8942,8985,9024,9168,9172,36821,39074,41858,41834,43657
17,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,270.5,"Early County, GA",56.0,10462,10306,10317,10286,10190,31935,26934,32490,34984,40011
10,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,117.1,"Early County, GA",56.0,10462,10306,10317,10286,10190,31935,26934,32490,34984,40011
5,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,269.9,"Glascock County, GA",56.0,3020,2978,3032,2977,2971,40732,41412,43529,42820,49350
3,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.4,"Glascock County, GA",56.0,3020,2978,3032,2977,2971,40732,41412,43529,42820,49350
13,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,268.7,"Terrell County, GA",57.0,9013,8861,8695,8587,8531,32342,34018,33939,35290,37122
11,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.1,"Terrell County, GA",57.0,9013,8861,8695,8587,8531,32342,34018,33939,35290,37122
15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,266.9,"Twiggs County, GA",54.0,8347,8249,8253,8174,8120,36086,38507,39639,42054,44079
8,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.1,"Twiggs County, GA",54.0,8347,8249,8253,8174,8120,36086,38507,39639,42054,44079
38,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,266.1,"Peach County, GA",53.0,26970,26885,26961,27363,27546,41725,44330,46608,46525,49815
28,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.4,"Peach County, GA",53.0,26970,26885,26961,27363,27546,41725,44330,46608,46525,49815
42,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.9,"Sumter County, GA",49.0,30696,30403,29901,29796,29524,33802,35764,36611,37562,40250
32,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.1,"Sumter County, GA",49.0,30696,30403,29901,29796,29524,33802,35764,36611,37562,40250
16,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,263.7,"Seminole County, GA",58.0,8565,8427,8253,8270,8090,31615,34986,35527,36869,38618
13,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,175.1,"Seminole County, GA",58.0,8565,8427,8253,8270,8090,31615,34986,35527,36869,38618
58,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,261.4,"Polk County, GA",57.0,41207,41555,41818,42346,42613,39402,42470,43488,43679,47896
47,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,172.5,"Polk County, GA",57.0,41207,41555,41818,42346,42613,39402,42470,43488,43679,47896
15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,258.8,"Lincoln County, GA",59.0,7722,7855,7856,7925,7921,39089,41494,44819,46967,45299
7,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,109.3,"Lincoln County, GA",59.0,7722,7855,7856,7925,7921,39089,41494,44819,46967,45299
24,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,256.8,"Ben Hill County, GA",51.0,17357,17251,17037,16822,16700,30776,32644,32370,35020,35931
18,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.3,"Ben Hill County, GA",51.0,17357,17251,17037,16822,16700,30776,32644,32370,35020,35931
21,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,256.0,"Jasper County, GA",42.0,13683,13767,13882,14029,14219,46398,48473,50234,51241,59207
15,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,152.1,"Jasper County, GA",42.0,13683,13767,13882,14029,14219,46398,48473,50234,51241,59207
40,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,255.4,"Stephens County, GA",,25446,25637,25736,26007,25925,38503,37920,40483,45850,45416
33,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.9,"Stephens County, GA",,25446,25637,25736,26007,25925,38503,37920,40483,45850,45416
37,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,255.0,"Decatur County, GA",46.0,27049,26679,26706,26573,26404,37661,36136,37835,38441,40473
27,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.6,"Decatur County, GA",46.0,27049,26679,26706,26573,26404,37661,36136,37835,38441,40473
37,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,254.8,"Bryan County, GA",48.0,34792,35839,36999,38059,39627,69650,77244,73877,79658,79296
30,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,171.5,"Bryan County, GA",48.0,34792,35839,36999,38059,39627,69650,77244,73877,79658,79296
13,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,253.2,"Taylor County, GA",42.0,8243,8189,8110,8020,8020,32041,31637,35608,36310,28234
8,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,116.8,"Taylor County, GA",42.0,8243,8189,8110,8020,8020,32041,31637,35608,36310,28234
10,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,252.8,"Clinch County, GA",30.0,6826,6742,6643,6603,6618,31848,34777,37174,37593,42928
7,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,166.2,"Clinch County, GA",30.0,6826,6742,6643,6603,6618,31848,34777,37174,37593,42928
32,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.6,"Butts County, GA",56.0,23520,23736,24067,24192,24936,44166,46141,46062,48831,47410
26,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,167.9,"Butts County, GA",56.0,23520,23736,24067,24192,24936,44166,46141,46062,48831,47410
14,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,251.3,"Irwin County, GA",47.0,9135,9302,9352,9396,9416,35284,35866,38511,38156,42317
7,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,102.7,"Irwin County, GA",47.0,9135,9302,9352,9396,9416,35284,35866,38511,38156,42317
64,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,250.8,"Thomas County, GA",50.0,44796,44950,44619,44334,44451,40449,40199,43257,41642,47978
52,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.4,"Thomas County, GA",50.0,44796,44950,44619,44334,44451,40449,40199,43257,41642,47978
23,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,250.3,"Brooks County, GA",61.0,15670,15725,15617,15479,15457,36820,33676,36030,36354,39554
17,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.4,"Brooks County, GA",61.0,15670,15725,15617,15479,15457,36820,33676,36030,36354,39554
49,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,249.3,"Ware County, GA",58.0,35327,35648,35668,35587,35734,35270,34643,38412,38357,37642
37,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.7,"Ware County, GA",58.0,35327,35648,35668,35587,35734,35270,34643,38412,38357,37642
32,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.6,"Elbert County, GA",45.0,19302,19136,19102,19095,19194,35814,37131,35452,39681,40962
20,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,120.5,"Elbert County, GA",45.0,19302,19136,19102,19095,19194,35814,37131,35452,39681,40962
29,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,248.4,"McDuffie County, GA",55.0,21462,21456,21511,21532,21312,36346,39642,40814,42768,44473
24,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.5,"McDuffie County, GA",55.0,21462,21456,21511,21532,21312,36346,39642,40814,42768,44473
24,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.9,"Dade County, GA",62.0,16162,16224,16254,16227,16116,43632,36213,45053,48779,45986
19,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.6,"Dade County, GA",62.0,16162,16224,16254,16227,16116,43632,36213,45053,48779,45986
84,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,246.0,"Barrow County, GA",,74979,77000,78899,80834,83240,53789,54893,60028,61413,68924
65,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,149.1,"Barrow County, GA",,74979,77000,78899,80834,83240,53789,54893,60028,61413,68924
23,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.9,"Oglethorpe County, GA",43.0,14732,14712,14874,15080,15259,43428,45319,44718,51105,54346
14,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,121.1,"Oglethorpe County, GA",43.0,14732,14712,14874,15080,15259,43428,45319,44718,51105,54346
29,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,245.2,"Lee County, GA",37.0,29173,29184,29410,29751,29992,68636,62972,68891,66090,72425
24,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.3,"Lee County, GA",37.0,29173,29184,29410,29751,29992,68636,62972,68891,66090,72425
15,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,244.6,"Bacon County, GA",58.0,11231,11275,11205,11132,11164,35431,36873,38417,38775,41807
9,Georgia,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,123.9,"Bacon County, GA",58.0,11231,11275,11205,11132,11164,35431,36873,38417,38775,41807
26,Georgia,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,244.3,"Lamar County, GA",60.0,18236,18484,18600,18961,19077,42177,44575,41060,48323,57402
