average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.7,"Barbour County, AL",61.0,26283,25806,25157,24872,24686,31433,32884,32490,34382,35972
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.8,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,41771,43107,42912,43909,47797
35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.5,"Lawrence County, AL",44.0,33135,33227,33063,32941,32924,41771,43107,42912,43909,47797
65,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,236.0,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,39051,40169,44469,42205,47100
47,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.6,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,39051,40169,44469,42205,47100
58,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,235.0,"Covington County, AL",54.0,37556,37382,37062,36953,37049,36355,35010,39093,40203,44836
49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.2,"Covington County, AL",54.0,37556,37382,37062,36953,37049,36355,35010,39093,40203,44836
112,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,234.6,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,37911,40555,41733,41630,47719
85,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.6,"Talladega County, AL",45.0,81128,80552,80142,80137,79978,37911,40555,41733,41630,47719
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.9,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,36759,37374,38419,39057,43309
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,179.5,"Crenshaw County, AL",58.0,13850,13916,13858,13825,13772,36759,37374,38419,39057,43309
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,233.4,"Henry County, AL",60.0,17101,17072,17115,17173,17205,42501,41426,48094,46027,48597
22,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,147.3,"Henry County, AL",60.0,17101,17072,17115,17173,17205,42501,41426,48094,46027,48597
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.9,"Clay County, AL",60.0,13415,13393,13350,13294,13235,38908,38512,39642,39201,40562
16,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.1,"Clay County, AL",60.0,13415,13393,13350,13294,13235,38908,38512,39642,39201,40562
25,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,232.1,"Washington County, AL",32.0,16832,16621,16522,16402,16326,42658,37575,44249,44424,48864
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.4,"Washington County, AL",32.0,16832,16621,16522,16402,16326,42658,37575,44249,44424,48864
143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,230.3,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,42145,40972,41791,44903,43047
115,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.7,"Etowah County, AL",54.71428571,102998,102855,103007,102611,102268,42145,40972,41791,44903,43047
27,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,229.6,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,35389,34794,37469,37733,38838
26,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,168.3,"Marengo County, AL",54.0,19766,19525,19396,19056,18863,35389,34794,37469,37733,38838
110,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,227.4,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,53558,57856,52755,57284,65403
82,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.4,"St. Clair County, AL",42.0,86546,87306,87926,88654,89512,53558,57856,52755,57284,65403
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.6,"Winston County, AL",58.0,23930,23907,23760,23693,23629,36497,38644,38562,41156,40827
21,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,107.4,"Winston County, AL",58.0,23930,23907,23760,23693,23629,36497,38644,38562,41156,40827
41,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,226.2,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,36289,36976,38561,37823,43089
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,151.0,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,36289,36976,38561,37823,43089
143,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.9,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,42091,41778,45937,45400,47747
126,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,150.2,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,42091,41778,45937,45400,47747
34,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,225.4,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,37317,34061,36719,40741,43822
28,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,139.8,"Clarke County, AL",57.0,24698,24340,24063,23918,23622,37317,34061,36719,40741,43822
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,223.3,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,37085,38403,39394,39254,44212
23,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,176.0,"Fayette County, AL",58.0,16696,16563,16466,16445,16302,37085,38403,39394,39254,44212
489,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,222.3,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
402,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.6,"Mobile County, AL",57.0,414462,414945,414045,413908,413210,42530,45233,45615,43598,49492
29,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,35163,36639,36432,39556,40005
24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,140.3,"Monroe County, AL",61.0,21717,21548,21290,21062,20733,35163,36639,36432,39556,40005
109,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,217.9,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,39290,41543,45925,45796,50897
80,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,132.3,"Cullman County, AL",51.0,81761,82450,82867,83418,83768,39290,41543,45925,45796,50897
45,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.8,"Marion County, AL",50.0,30119,29960,29792,29750,29709,34977,36386,38049,37887,44675
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,157.7,"Marion County, AL",50.0,30119,29960,29792,29750,29709,34977,36386,38049,37887,44675
137,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.1,"Lee County, AL",55.0,156954,159168,161440,163656,164542,46442,47749,51372,48937,54160
112,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,141.9,"Lee County, AL",55.0,156954,159168,161440,163656,164542,46442,47749,51372,48937,54160
117,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,216.0,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,40599,42117,42751,46233,48913
90,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.8,"Marshall County, AL",58.0,94585,95113,95572,96170,96774,40599,42117,42751,46233,48913
88,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,215.8,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,53548,54553,59652,60367,62310
73,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,143.2,"Elmore County, AL",48.0,80872,81204,81422,81011,81209,53548,54553,59652,60367,62310
705,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,213.5,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,48415,50109,50731,55013,54127
662,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,144.0,"Jefferson County, AL",55.42857143,660455,660343,659599,659429,658573,48415,50109,50731,55013,54127
75,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,212.4,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,41171,46572,46100,49055,46683
66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,153.1,"Colbert County, AL",57.0,54417,54497,54695,55004,55241,41171,46572,46100,49055,46683
76,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,211.7,"Blount County, AL",56.0,57526,57494,57787,57771,57826,50487,47213,48253,50412,52902
66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,158.3,"Blount County, AL",56.0,57526,57494,57787,57771,57826,50487,47213,48253,50412,52902
36,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.9,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,38535,37049,41025,39388,44874
32,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.0,"Franklin County, AL",59.0,31515,31611,31542,31298,31362,38535,37049,41025,39388,44874
123,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,210.8,"Houston County, AL",57.0,104260,104218,104378,104770,105882,43568,42910,44753,47993,50138
97,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,127.6,"Houston County, AL",57.0,104260,104218,104378,104770,105882,43568,42910,44753,47993,50138
