average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
26,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,507.5 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,AL,29522,30681,30849,32495,34281
95,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,476.7 ,"Macon County, AL",28.0,19296,19060,18793,18321,18068,AL,29522,30681,30849,32495,34281
23,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,489.0 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
23,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,494.4 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.6 ,"Sumter County, AL",40.0,13206,12967,12749,12634,12427,AL,25931,26814,26495,27859,29209
255,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,485.3 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
252,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,488.0 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,515.5 ,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,AL,56580,54487,58343,59338,58233
566,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.6 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,153.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
563,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,480.9 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
108,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,446.1 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
3,Alabama,All Cancer Sites,Asian / Pacific Islander (includes Hispanic),All Sexes,All Ages,231.3 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,198.2 ,"Calhoun County, AL",61.0,115469,114973,114710,114331,113605,AL,42091,41778,45937,45400,47747
77,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,475.1 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
77,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,476.9 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,404.2 ,"Clay County, AL",60.0,13415,13393,13350,13294,13235,AL,38908,38512,39642,39201,40562
