Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
208.8,492.3,Webster County, Kentucky
208.8,550.3,Bryan County, Georgia
208.7,511.3,Love County, Oklahoma
208.6,509.1,Ashley County, Arkansas
208.3,524.9,Gallatin County, Kentucky
208.2,473.4,McCulloch County, Texas
208.2,476.9,Wilcox County, Alabama
208,481.3,Jackson County, Arkansas
208,449.7,Marlboro County, South Carolina
208,* ,Greeley County, Kansas
207.9,496.6,Marshall County, Mississippi
207.8,575,Carter County, Kentucky
207.7,544.2,Ringgold County, Iowa
207.6,513.7,Mason County, Illinois
207.6,784.2,Richmond County, Virginia
207.5,468.8,Benton County, Missouri
207.3,441.4,Carter County, Missouri
207.3,511.1,Clinton County, Kentucky
207.3,491.7,Monroe County, Tennessee
207.2,461.8,Polk County, Tennessee
207.1,610.9,Taylor County, Kentucky
207.1,523.7,Macon County, Tennessee
206.9,483.4,Mississippi County, Arkansas
206.9,523.3,Hardeman County, Tennessee
206.9,488.8,Bullock County, Alabama
206.7,499.4,Jennings County, Indiana
206.5,471.6,Lawrence County, Illinois
206.4,430.7,Seminole County, Oklahoma
206.4,444.1,Red River Parish, Louisiana
206.3,522.6,Arkansas County, Arkansas
206.1,503.1,Fayette County, West Virginia
206.1,515.7,Rhea County, Tennessee
206.1,487.3,Macon County, Alabama
206,546.6,Morehouse Parish, Louisiana
206,471.9,New Madrid County, Missouri
205.8,508.5,Stephens County, Georgia
205.8,443,Concordia Parish, Louisiana
205.8,499.1,Tipton County, Tennessee
205.6,422.5,Murray County, Oklahoma
205.6,375.1,Motley County, Texas
205.6,485.7,Brown County, Ohio
205.5,560.2,McLean County, Kentucky
205.4,561.9,Grant County, Kentucky
205.3,531.1,Grenada County, Mississippi
205.2,300.4,Tazewell County, Virginia
205.2,420.3,Atkinson County, Georgia
205,523.7,Piscataquis County, Maine
204.9,462,Montmorency County, Michigan
204.8,504,Covington County, Mississippi
204.8,476.3,Dyer County, Tennessee
204.8,397.7,George County, Mississippi
204.7,533.6,Swain County, North Carolina
204.7,532.7,Clay County, West Virginia
204.5,492.5,Jefferson Davis Parish, Louisiana
204.5,505.6,Sharp County, Arkansas
204.4,496.7,Stoddard County, Missouri
204.2,521.4,Metcalfe County, Kentucky
204.2,530.8,Anderson County, Kentucky
204.1,473.5,Muskogee County, Oklahoma
204,525.2,Ford County, Illinois
204,* ,Rush County, Kansas
203.9,455,Ripley County, Missouri
203.9,535.6,Pulaski County, Kentucky
203.9,425.9,Haskell County, Oklahoma
203.8,456.6,Butler County, Missouri
203.8,402.1,Hampton County, South Carolina
203.8,514.5,Monroe County, Iowa
203.8,505.9,Washington County, Kentucky
203.7,439.8,Butte County, South Dakota
203.7,545.6,Onslow County, North Carolina
203.7,534.8,Crenshaw County, Alabama
203.5,353.1,Donley County, Texas
203.3,503.4,Columbia County, Florida
203.2,483.6,Dallas County, Arkansas
203.1,516.5,Crawford County, Missouri
203.1,524.5,Henry County, Kentucky
203.1,452.1,Caddo County, Oklahoma
202.9,492.8,Panola County, Mississippi
202.9,492,Simpson County, Kentucky
202.8,449.2,McCurtain County, Oklahoma
