County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Macon County, GA",GA,30696,31358,32974,32868,34634
"Madison County, GA",GA,40735,47151,47956,51338,52326
"Marion County, GA",GA,35265,38734,39408,39114,41190
"Meriwether County, GA",GA,37866,34508,38442,38886,43571
"Miller County, GA",GA,35357,42771,37878,42483,41769
"Mitchell County, GA",GA,34139,33490,36234,36788,37383
"Monroe County, GA",GA,53070,55626,57038,59362,70488
"Montgomery County, GA",GA,36821,39074,41858,41834,43657
"Morgan County, GA",GA,51081,55347,55251,57978,67089
"Murray County, GA",GA,43142,43203,45975,46810,50061
"Muscogee County, GA",GA,41828,40895,42610,46628,47035
"Newton County, GA",GA,51177,51167,55632,56598,58222
"Oconee County, GA",GA,76371,88570,92216,99497,100878
"Oglethorpe County, GA",GA,43428,45319,44718,51105,54346
"Paulding County, GA",GA,62658,65480,67906,73309,76580
"Peach County, GA",GA,41725,44330,46608,46525,49815
"Pickens County, GA",GA,56289,57637,61145,65062,66183
"Pierce County, GA",GA,39648,42908,42140,44389,46701
"Pike County, GA",GA,56233,56901,62250,66901,74905
"Polk County, GA",GA,39402,42470,43488,43679,47896
"Pulaski County, GA",GA,39209,36611,39743,40582,42274
"Putnam County, GA",GA,44323,44785,47710,51205,62282
"Quitman County, GA",GA,29921,30483,31151,33908,35522
"Rabun County, GA",GA,40834,41913,43042,44213,46639
"Randolph County, GA",GA,30505,31662,30847,28298,33505
"Richmond County, GA",GA,40821,41128,38297,40168,44810
"Rockdale County, GA",GA,51510,56689,59341,59673,60281
"Schley County, GA",GA,41737,43396,43568,45378,51129
"Screven County, GA",GA,35911,36414,38870,39048,42331
"Seminole County, GA",GA,31615,34986,35527,36869,38618
"Spalding County, GA",GA,41250,43065,45121,43510,49237
"Stephens County, GA",GA,38503,37920,40483,45850,45416
"Stewart County, GA",GA,28977,24945,31800,33053,34566
"Sumter County, GA",GA,33802,35764,36611,37562,40250
"Talbot County, GA",GA,33510,36482,36269,37265,41045
"Taliaferro County, GA",GA,28952,30133,30586,34090,37046
"Tattnall County, GA",GA,37163,35567,38672,41440,41457
"Taylor County, GA",GA,32041,31637,35608,36310,28234
"Telfair County, GA",GA,31149,32327,31354,34297,36264
"Terrell County, GA",GA,32342,34018,33939,35290,37122
"Thomas County, GA",GA,40449,40199,43257,41642,47978
"Tift County, GA",GA,39988,39982,41544,45680,47764
"Toombs County, GA",GA,34953,36765,35226,37148,41442
"Towns County, GA",GA,39782,42439,44055,45853,49023
"Treutlen County, GA",GA,32086,32100,34473,35069,37478
"Troup County, GA",GA,41289,42955,43112,45234,47296
"Turner County, GA",GA,35117,31969,33310,33261,35400
"Twiggs County, GA",GA,36086,38507,39639,42054,44079
"Union County, GA",GA,42782,47948,46097,45943,57049
"Upson County, GA",GA,37864,34039,39780,40965,40926
"Walker County, GA",GA,42249,40814,44176,43767,47548
"Walton County, GA",GA,57312,55267,58028,65416,67007
"Ware County, GA",GA,35270,34643,38412,38357,37642
"Warren County, GA",GA,32350,36789,34680,38352,37313
"Washington County, GA",GA,36499,35542,37464,39444,41674
"Wayne County, GA",GA,41466,42017,45814,44607,47382
"Webster County, GA",GA,35770,36329,39266,38187,41547
"Wheeler County, GA",GA,30926,29532,31001,32691,35927
"White County, GA",GA,43598,44980,50194,51579,54786
"Whitfield County, GA",GA,45921,46796,42568,47074,53115
"Wilcox County, GA",GA,32480,33858,35015,35961,38261
"Wilkes County, GA",GA,34031,33735,34897,39361,39716
"Wilkinson County, GA",GA,38103,47309,40906,41036,43902
"Worth County, GA",GA,39560,40122,42913,48708,43142
"Hawaii County, HI",HI,54914,54684,56540,56383,64929
"Honolulu County, HI",HI,76544,80012,80947,83695,86946
"Kauai County, HI",HI,70122,63164,74881,73981,73029
"Maui County, HI",HI,68684,69699,76376,78503,77375
"Ada County, ID",ID,58431,61571,61469,66827,72295
"Adams County, ID",ID,39943,42310,43442,45311,50042
"Bannock County, ID",ID,43298,48453,51093,51300,53306
"Bear Lake County, ID",ID,48309,45875,51343,53780,54550
"Benewah County, ID",ID,41368,45285,43570,48451,49303
"Bingham County, ID",ID,49644,51586,52697,50941,59959
"Blaine County, ID",ID,65272,66210,68101,76113,75778
"Boise County, ID",ID,52728,50123,56067,56837,64443
"Bonner County, ID",ID,44072,48097,47537,51373,56729
"Bonneville County, ID",ID,54008,59293,55744,60444,65165
"Boundary County, ID",ID,41803,42725,43835,47118,50709
"Butte County, ID",ID,43780,41706,45226,50050,51742
"Camas County, ID",ID,46203,49153,51045,53866,56014
"Canyon County, ID",ID,44585,48461,47915,53381,58670
"Caribou County, ID",ID,57017,55152,58739,61219,61518
"Cassia County, ID",ID,47932,48983,51323,51804,53284
"Clark County, ID",ID,40098,42050,42226,48471,48726
"Clearwater County, ID",ID,42630,43626,46214,46417,49816
"Custer County, ID",ID,45801,45591,44100,47682,49055
"Elmore County, ID",ID,44509,45003,45708,49344,47796
"Franklin County, ID",ID,53901,54427,55056,58170,55421
"Fremont County, ID",ID,49555,46465,48581,51155,56162
"Gem County, ID",ID,44017,42027,47481,49857,53733
"Gooding County, ID",ID,48950,46948,46218,51302,50205
"Idaho County, ID",ID,41157,42049,42503,40569,48866
"Jefferson County, ID",ID,53555,61156,59869,61927,63078
"Jerome County, ID",ID,47034,48590,50728,54020,56320
"Kootenai County, ID",ID,48864,52019,56921,56188,62764
"Latah County, ID",ID,46360,43767,49445,49538,54999
"Lemhi County, ID",ID,40087,39934,41153,44248,46062
"Lewis County, ID",ID,41688,41092,44674,44911,45342
"Lincoln County, ID",ID,46168,47754,49207,50464,50608
"Madison County, ID",ID,38065,41199,40666,41827,46177
"Minidoka County, ID",ID,45429,48903,48485,53447,56173
"Nez Perce County, ID",ID,50939,50030,54729,54476,67645
"Oneida County, ID",ID,47037,46596,60264,52602,55833
"Owyhee County, ID",ID,39738,35866,44251,48192,48395
"Payette County, ID",ID,44499,46595,50817,51835,53643
"Power County, ID",ID,44004,45933,45922,51921,50981
"Shoshone County, ID",ID,37497,39285,46793,36085,39239
"Teton County, ID",ID,58013,60745,63168,68749,73637
"Twin Falls County, ID",ID,45799,49415,50909,51594,56141
"Valley County, ID",ID,51774,58738,56532,60285,64041
"Washington County, ID",ID,38592,41647,41757,43402,45813
"Adams County, IL",IL,47264,51130,49088,55174,55942
"Alexander County, IL",IL,32922,33344,33985,35249,37408
"Bond County, IL",IL,50206,53631,54831,54800,53447
"Boone County, IL",IL,62382,62081,69413,74507,72426
"Brown County, IL",IL,53516,51826,53875,55327,60254
"Bureau County, IL",IL,51275,53410,55632,56099,57935
"Calhoun County, IL",IL,51109,50952,55138,56099,63373
"Carroll County, IL",IL,50432,50330,49744,51963,56468
"Cass County, IL",IL,46647,47511,50568,52486,51011
"Champaign County, IL",IL,50813,51032,51466,53251,53485
"Christian County, IL",IL,49041,49324,52817,52936,51573
"Clark County, IL",IL,50700,49937,55205,54092,58323
"Clay County, IL",IL,43577,43478,45028,45427,49377
"Clinton County, IL",IL,64030,61013,65586,66597,67201
"Coles County, IL",IL,42613,42066,46012,47291,50467
"Cook County, IL",IL,56841,60025,61401,63347,69375
"Crawford County, IL",IL,49856,46374,49712,52313,50352
"Cumberland County, IL",IL,51505,49733,55622,60572,53991
"DeKalb County, IL",IL,56874,59586,60856,63274,64676
"De Witt County, IL",IL,54796,54926,56091,55300,59521
"Douglas County, IL",IL,53213,55891,54538,56976,64283
"DuPage County, IL",IL,81616,84999,89536,93540,96354
"Edgar County, IL",IL,50306,47062,46916,51577,51333
"Edwards County, IL",IL,48329,48884,48649,51280,54930
"Effingham County, IL",IL,53077,51809,60061,60773,58943
"Fayette County, IL",IL,41838,46290,45193,47484,48913
"Ford County, IL",IL,53151,51861,55356,55357,55369
"Franklin County, IL",IL,43428,40246,40682,42071,43695
"Fulton County, IL",IL,44649,49503,49315,51258,50461
"Gallatin County, IL",IL,40817,39634,42533,43330,46515
"Greene County, IL",IL,43943,44378,47188,47314,52116
"Grundy County, IL",IL,71928,71969,76214,79348,83135
"Hamilton County, IL",IL,45926,47855,49092,53028,51031
"Hancock County, IL",IL,48213,51721,52625,53553,53724
"Hardin County, IL",IL,39128,39143,40160,41713,44573
"Henderson County, IL",IL,47354,47792,51014,53632,55535
"Henry County, IL",IL,58983,55287,58675,58042,61680
"Iroquois County, IL",IL,49836,47589,50131,55247,51542
"Jackson County, IL",IL,36613,34982,38157,41445,37308
"Jasper County, IL",IL,52608,51120,55240,54552,59980
"Jefferson County, IL",IL,46460,45746,50622,47425,50531
"Jersey County, IL",IL,53864,57243,58928,59117,63351
"Jo Daviess County, IL",IL,51201,54169,51866,56832,62522
"Johnson County, IL",IL,46838,48359,49763,53884,55022
"Kane County, IL",IL,70502,73684,75739,79834,84311
"Kankakee County, IL",IL,53227,54624,57706,53884,60763
"Kendall County, IL",IL,88773,91952,97039,93345,105586
"Knox County, IL",IL,43796,43277,44686,44553,43404
"Lake County, IL",IL,82160,83344,86242,87336,92638
"La Salle County, IL",IL,52316,56543,56854,54063,59528
"Lawrence County, IL",IL,43268,44774,45235,43767,47114
"Lee County, IL",IL,52581,55563,59450,54915,57619
"Livingston County, IL",IL,55474,54339,55003,59323,54422
"Logan County, IL",IL,58191,53052,56838,52959,53806
"McDonough County, IL",IL,42453,44460,44524,42887,49048
"McHenry County, IL",IL,80513,81570,86450,86268,89379
"McLean County, IL",IL,65766,64271,68895,67087,69230
"Macon County, IL",IL,48302,47786,51828,50684,52259
"Macoupin County, IL",IL,50460,52483,51756,53409,54174
"Madison County, IL",IL,52969,56297,58077,60121,66591
"Marion County, IL",IL,43018,45698,45126,46096,52291
"Marshall County, IL",IL,53610,54807,55337,57422,63628
"Mason County, IL",IL,43743,46962,51731,48764,51967
"Massac County, IL",IL,41548,42833,47646,43783,54159
"Menard County, IL",IL,64706,62966,65367,74872,77306
"Mercer County, IL",IL,57934,56661,52846,58384,62241
"Monroe County, IL",IL,79686,83139,83767,88481,90904
"Montgomery County, IL",IL,46006,46997,51206,53138,51665
"Morgan County, IL",IL,45259,48600,52357,48976,55937
"Moultrie County, IL",IL,58975,57447,60496,59901,65472
"Ogle County, IL",IL,57268,58812,60656,61794,63565
"Peoria County, IL",IL,53781,52380,54195,56478,57717
"Perry County, IL",IL,46598,48423,50553,49965,56880
"Piatt County, IL",IL,65122,65797,67173,67460,72265
"Pike County, IL",IL,45106,41671,43301,47815,54309
"Pope County, IL",IL,41150,42917,43119,43053,46478
"Pulaski County, IL",IL,35135,35875,38846,38400,38506
"Putnam County, IL",IL,60590,65902,64000,66319,74367
"Randolph County, IL",IL,50129,50681,52749,53607,58444
"Richland County, IL",IL,43332,46497,48489,48152,49775
"Rock Island County, IL",IL,50419,50952,51805,52642,57772
"St. Clair County, IL",IL,50416,50598,51937,58222,57726
"Saline County, IL",IL,40873,40690,41394,40761,48547
"Sangamon County, IL",IL,57591,55090,61519,62242,61768
"Schuyler County, IL",IL,50720,49566,52946,52018,56015
"Scott County, IL",IL,50474,52386,49745,55198,61231
"Shelby County, IL",IL,49633,51069,51873,56509,61376
"Stark County, IL",IL,50083,56414,51446,52651,54804
"Stephenson County, IL",IL,46430,45863,48237,47357,51786
"Tazewell County, IL",IL,57747,60590,61086,61508,66206
"Union County, IL",IL,44221,45476,45847,49716,51575
"Vermilion County, IL",IL,44705,45247,43649,44638,46295
"Wabash County, IL",IL,51224,50195,52535,53414,54249
"Warren County, IL",IL,46189,48346,54023,53532,53621
"Washington County, IL",IL,57019,58587,56118,66937,64297
"Wayne County, IL",IL,47995,45583,46339,50471,51829
"White County, IL",IL,46588,44874,48202,49507,51388
"Whiteside County, IL",IL,45463,51567,54284,57197,50880
"Will County, IL",IL,76293,81640,82477,86108,90249
"Williamson County, IL",IL,47678,48112,49993,46187,56958
"Winnebago County, IL",IL,50024,50296,53490,53795,59510
"Woodford County, IL",IL,68233,73055,75733,72247,77117
"Adams County, IN",IN,49251,51517,51488,56693,53532
"Allen County, IN",IN,50017,51329,52661,54473,56838
"Bartholomew County, IN",IN,55580,59765,61943,63067,71181
"Benton County, IN",IN,50754,47218,52841,51649,55016
"Blackford County, IN",IN,39611,42588,42636,45161,46811
"Boone County, IN",IN,75163,80634,82670,85876,84137
"Brown County, IN",IN,53801,56323,56979,60944,59617
"Carroll County, IN",IN,52550,55708,55471,57092,58965
"Cass County, IN",IN,45575,46287,47727,48598,51777
"Clark County, IN",IN,51614,51837,52746,56774,59441
"Clay County, IN",IN,48947,50185,50746,52699,54349
"Clinton County, IN",IN,50342,53862,51540,51730,55336
"Crawford County, IN",IN,41331,46210,42555,44152,44332
"Daviess County, IN",IN,47019,49237,46292,55434,56611
"Dearborn County, IN",IN,64093,63876,65005,66502,71351
"Decatur County, IN",IN,51625,51999,55808,57441,60891
"De Kalb County, IN",IN,52382,52599,54289,58987,59714
"Delaware County, IN",IN,40633,41404,41874,43096,45912
"Dubois County, IN",IN,57336,62852,63033,62126,63869
"Elkhart County, IN",IN,50117,54582,58781,59251,55782
"Fayette County, IN",IN,42538,44673,44970,47737,48499
"Floyd County, IN",IN,57367,58703,61009,64992,64614
"Fountain County, IN",IN,51108,43571,50817,53493,55337
"Franklin County, IN",IN,53263,57674,62467,62251,67315
"Fulton County, IN",IN,51660,46662,51088,52798,55011
"Gibson County, IN",IN,53483,54690,53714,56960,61872
"Grant County, IN",IN,39984,40177,44790,45138,47509
"Greene County, IN",IN,47952,46019,59347,46835,51918
"Hamilton County, IN",IN,91844,92406,95080,101740,107710
"Hancock County, IN",IN,70277,70655,73294,73831,77905
"Harrison County, IN",IN,53719,57573,57136,60379,64270
"Hendricks County, IN",IN,73478,78464,75647,80834,85827
"Henry County, IN",IN,47954,45356,48915,50183,49293
"Howard County, IN",IN,47390,49204,51035,55365,54048
"Huntington County, IN",IN,49103,50138,53635,53809,54565
"Jackson County, IN",IN,45504,51871,48789,55518,59472
"Jasper County, IN",IN,60195,56034,58891,66720,65352
"Jay County, IN",IN,42646,46949,46740,48392,49447
"Jefferson County, IN",IN,47841,51534,51163,51031,53378
"Jennings County, IN",IN,46047,50425,48961,51560,55022
"Johnson County, IN",IN,68256,67215,70690,69880,74427
"Knox County, IN",IN,42818,43897,44044,48606,48760
"Kosciusko County, IN",IN,54147,56010,62666,57367,64677
"Lagrange County, IN",IN,56662,60402,63291,67498,70746
"Lake County, IN",IN,50613,53600,54929,55280,57280
"La Porte County, IN",IN,47401,52763,51532,52095,56427
"Lawrence County, IN",IN,46890,47997,49112,53187,56261
"Madison County, IN",IN,45065,45853,44987,49522,54145
"Marion County, IN",IN,41407,45300,47642,48409,50707
"Marshall County, IN",IN,49714,53767,53387,55766,53695
"Martin County, IN",IN,47717,51008,50203,55444,56735
"Miami County, IN",IN,46968,47650,47225,47624,53658
"Monroe County, IN",IN,45341,44442,49180,48883,53113
"Montgomery County, IN",IN,49425,51527,53720,53700,54366
"Morgan County, IN",IN,58376,60482,61068,66151,63414
"Newton County, IN",IN,48316,51183,58384,53060,61457
"Noble County, IN",IN,51876,52318,52764,61341,60980
"Ohio County, IN",IN,53177,54422,56915,58022,58294
"Orange County, IN",IN,40918,41077,43061,44968,47931
"Owen County, IN",IN,43731,46069,49044,49731,53387
"Parke County, IN",IN,43637,47599,48537,49639,51554
"Perry County, IN",IN,47192,48905,50670,52332,53908
"Pike County, IN",IN,47324,49578,49844,54265,52378
"Porter County, IN",IN,66070,67302,67525,69298,74064
"Posey County, IN",IN,58298,61619,65617,68162,68435
"Pulaski County, IN",IN,47455,47243,50022,49730,52432
"Putnam County, IN",IN,53910,50896,57402,54718,64098
"Randolph County, IN",IN,41315,46750,46016,46441,50496
"Ripley County, IN",IN,51553,55129,52562,57436,61219
"Rush County, IN",IN,48970,50412,51113,53271,54371
"St. Joseph County, IN",IN,46881,48960,52188,54674,53881
"Scott County, IN",IN,43104,47738,48615,44913,50571
"Shelby County, IN",IN,54639,53019,61327,57193,59798
"Spencer County, IN",IN,56451,58217,56646,56862,59183
"Starke County, IN",IN,48106,46602,46940,49972,54001
"Steuben County, IN",IN,53191,54071,55184,58295,59444
"Sullivan County, IN",IN,44939,46706,46810,47554,53375
"Switzerland County, IN",IN,46344,45337,47478,47713,52482
"Tippecanoe County, IN",IN,50170,51385,52858,52269,51228
"Tipton County, IN",IN,56292,60756,55503,60896,69960
"Union County, IN",IN,45050,46862,48206,50300,53866
"Vanderburgh County, IN",IN,43823,46750,47456,50500,51603
"Vermillion County, IN",IN,44376,51425,46330,49287,50723
"Vigo County, IN",IN,39635,43560,42497,48335,48082
"Wabash County, IN",IN,48223,51561,50177,51487,59874
"Warren County, IN",IN,57768,55466,58045,60596,64109
"Warrick County, IN",IN,66461,65809,75727,75534,79644
"Washington County, IN",IN,43498,48939,47686,44534,51948
"Wayne County, IN",IN,41849,42983,44179,45130,47885
"Wells County, IN",IN,55987,56054,55221,60010,61636
"White County, IN",IN,50370,47439,52377,58380,58295
"Whitley County, IN",IN,56142,54873,60126,67758,67347
"Adair County, IA",IA,51531,53416,52155,54282,57977
"Adams County, IA",IA,48162,46939,48191,51577,53385
"Allamakee County, IA",IA,47756,49439,49445,53359,56240
"Appanoose County, IA",IA,41018,39124,42274,44298,41672
"Audubon County, IA",IA,50948,49560,51484,51210,53197
"Benton County, IA",IA,65127,63069,67946,62799,70023
"Black Hawk County, IA",IA,50335,50887,50426,52320,60010
"Boone County, IA",IA,58010,60421,60558,63099,63975
"Bremer County, IA",IA,65295,65733,64213,74646,67229
"Buchanan County, IA",IA,55848,57228,62294,59724,67906
"Buena Vista County, IA",IA,51991,52344,53230,52683,57048
"Butler County, IA",IA,54947,54970,58386,57971,57080
"Calhoun County, IA",IA,49206,50767,51754,54865,57007
"Carroll County, IA",IA,58575,56292,55084,60531,61379
"Cass County, IA",IA,45915,47897,49281,50356,53692
"Cedar County, IA",IA,60120,63672,63430,67597,71029
"Cerro Gordo County, IA",IA,50208,53109,54454,51939,54589
"Cherokee County, IA",IA,52879,53534,56343,56312,59901
"Chickasaw County, IA",IA,57559,49197,56819,64190,60111
"Clarke County, IA",IA,49424,47753,49889,52541,57708
"Clay County, IA",IA,52584,53549,53615,56338,57174
"Clayton County, IA",IA,48598,53809,54740,53968,53223
"Clinton County, IA",IA,52945,49850,50729,51317,56865
"Crawford County, IA",IA,51834,51473,53806,54828,58077
"Dallas County, IA",IA,81381,82123,90133,87267,97535
"Davis County, IA",IA,49851,49636,51477,54830,57150
"Decatur County, IA",IA,39424,36808,41843,41101,44873
"Delaware County, IA",IA,59260,56747,60458,61342,70091
"Des Moines County, IA",IA,50125,48991,50773,51805,53547
"Dickinson County, IA",IA,56869,58019,56496,55603,66211
"Dubuque County, IA",IA,57862,59403,60936,60367,62481
"Emmet County, IA",IA,46092,48035,49353,51497,55635
"Fayette County, IA",IA,47615,52192,46389,50893,53142
"Floyd County, IA",IA,49111,49771,51901,53811,55369
"Franklin County, IA",IA,52975,52860,53157,59367,55847
"Fremont County, IA",IA,55421,53861,52616,54658,60498
"Greene County, IA",IA,51002,48769,52459,51861,55562
"Grundy County, IA",IA,62423,64146,72184,65060,73683
"Guthrie County, IA",IA,54719,55531,57635,60306,64965
"Hamilton County, IA",IA,54042,58920,57106,56738,63234
"Hancock County, IA",IA,56746,57222,56542,60859,62030
"Hardin County, IA",IA,50947,50616,52662,55303,57103
"Harrison County, IA",IA,57244,55325,55835,60044,63901
"Henry County, IA",IA,50241,50684,53670,55856,57747
"Howard County, IA",IA,50602,49916,53046,53500,58028
"Humboldt County, IA",IA,52702,54315,57197,60166,56695
"Ida County, IA",IA,53804,53300,55732,60312,58249
"Iowa County, IA",IA,63185,57771,64091,64188,66861
"Jackson County, IA",IA,49956,49769,53539,54663,57687
"Jasper County, IA",IA,53765,53829,56134,60378,67317
"Jefferson County, IA",IA,43495,46617,47907,46715,51741
"Johnson County, IA",IA,57706,58904,61395,64387,67295
"Jones County, IA",IA,55789,55210,58689,55405,63399
"Keokuk County, IA",IA,50054,49898,50980,52122,54937
"Kossuth County, IA",IA,52433,55129,55491,55486,59568
"Lee County, IA",IA,45428,49654,50481,48241,51089
"Linn County, IA",IA,58142,64625,63754,64878,64783
"Louisa County, IA",IA,53197,52271,56067,49585,60544
"Lucas County, IA",IA,46933,55871,46169,49956,53085
"Lyon County, IA",IA,64057,62496,61749,69048,66139
"Madison County, IA",IA,65294,64776,66012,74794,72578
"Mahaska County, IA",IA,50335,51839,55947,56492,59242
"Marion County, IA",IA,57411,61098,61175,63491,66381
"Marshall County, IA",IA,53980,53645,50495,59552,55631
"Mills County, IA",IA,62507,75550,67016,64271,72679
"Mitchell County, IA",IA,61352,55129,54451,59558,61247
"Monona County, IA",IA,43991,47371,49236,50530,53104
"Monroe County, IA",IA,48181,49402,52047,56541,56397
"Montgomery County, IA",IA,43210,47197,51317,49966,52715
"Muscatine County, IA",IA,53401,57583,59042,58465,61767
"O'Brien County, IA",IA,53907,50607,60375,53147,60298
"Osceola County, IA",IA,54415,55375,56459,60627,60702
"Page County, IA",IA,46870,49507,47994,54313,52179
"Palo Alto County, IA",IA,48992,50642,52311,55322,55074
"Plymouth County, IA",IA,61929,66070,67056,66360,69165
"Pocahontas County, IA",IA,47872,51260,47919,55865,56146
"Polk County, IA",IA,60436,64169,66112,68479,67331
"Pottawattamie County, IA",IA,52927,55442,57867,56337,60322
"Poweshiek County, IA",IA,52861,52408,55766,56170,57741
"Ringgold County, IA",IA,45870,47638,45259,48754,50890
"Sac County, IA",IA,52506,54660,54328,56698,59392
"Scott County, IA",IA,58160,56208,59461,59865,65724
"Shelby County, IA",IA,54614,59121,56373,58862,60498
"Sioux County, IA",IA,62875,66605,70601,70162,71566
"Story County, IA",IA,51706,55561,61381,57464,64151
"Tama County, IA",IA,59226,50468,52685,56954,56281
"Taylor County, IA",IA,46466,50695,47383,47781,51510
"Union County, IA",IA,45010,47422,47814,49887,52914
"Van Buren County, IA",IA,43653,44875,47667,47905,50425
"Wapello County, IA",IA,44738,41312,46981,48226,50533
"Warren County, IA",IA,67728,74031,76146,78192,79557
"Washington County, IA",IA,55283,57315,59903,65849,63230
"Wayne County, IA",IA,44381,41118,45384,46725,49962
"Webster County, IA",IA,44922,48013,48712,52093,53344
"Winnebago County, IA",IA,48408,52953,54045,54433,50258
"Winneshiek County, IA",IA,59096,62115,59365,61807,65482
"Woodbury County, IA",IA,50774,51877,54528,60059,58419
"Worth County, IA",IA,50761,54628,55404,58587,60139
"Wright County, IA",IA,49882,47815,52803,54802,54251
"Allen County, KS",KS,41604,41950,42957,44423,46690
"Anderson County, KS",KS,47267,49215,46595,50646,51352
"Atchison County, KS",KS,46110,49826,45941,49332,51860
"Barber County, KS",KS,54176,47540,47948,47634,50660
"Barton County, KS",KS,50558,47194,46934,49991,50754
"Bourbon County, KS",KS,39609,44424,41847,41807,47452
"Brown County, KS",KS,46884,43960,45637,47529,47558
"Butler County, KS",KS,61473,60836,65561,65953,66199
"Chase County, KS",KS,48911,44940,47436,50981,51022
"Chautauqua County, KS",KS,42324,40859,41890,41129,43664
"Cherokee County, KS",KS,39842,41140,42469,44475,47682
"Cheyenne County, KS",KS,44111,42649,42247,43274,47323
"Clark County, KS",KS,50392,51280,51621,51235,59085
"Clay County, KS",KS,51351,50291,50634,52681,52781
"Cloud County, KS",KS,42730,42431,46241,44467,46299
"Coffey County, KS",KS,57160,57224,57021,58371,62715
"Comanche County, KS",KS,43809,44898,46636,46818,47854
"Cowley County, KS",KS,47851,45907,46703,47864,51537
"Crawford County, KS",KS,38139,39521,39461,43852,42723
"Decatur County, KS",KS,43919,41095,42077,44774,46878
"Dickinson County, KS",KS,47570,50268,52562,50605,58066
"Doniphan County, KS",KS,47000,47320,48553,50949,52596
"Douglas County, KS",KS,52447,55446,56007,57120,62559
"Edwards County, KS",KS,46380,46825,47725,46962,49047
"Elk County, KS",KS,39147,40227,39556,37360,41930
"Ellis County, KS",KS,49192,52265,49715,53840,51237
"Ellsworth County, KS",KS,49986,50403,51355,50261,56988
"Finney County, KS",KS,53245,51812,54534,56206,57412
"Ford County, KS",KS,47915,47175,50080,56052,54604
"Franklin County, KS",KS,51484,50155,55330,58033,55984
"Geary County, KS",KS,45590,46326,52012,50856,58978
"Gove County, KS",KS,46580,51445,47029,49626,52986
"Graham County, KS",KS,45018,42224,41138,41906,48912
"Grant County, KS",KS,59218,58620,59534,61614,65178
"Gray County, KS",KS,64284,64274,67671,65771,69077
"Greeley County, KS",KS,44667,47620,48647,51606,58492
"Greenwood County, KS",KS,41168,40518,40741,43083,44876
"Hamilton County, KS",KS,50056,49932,47454,51559,55857
"Harper County, KS",KS,46869,42023,44594,45570,47540
"Harvey County, KS",KS,55470,56848,55470,57934,62961
"Haskell County, KS",KS,59356,50514,54145,60808,62477
"Hodgeman County, KS",KS,54513,51244,51962,54058,58360
"Jackson County, KS",KS,51662,57869,49779,56330,60615
"Jefferson County, KS",KS,59080,62285,66044,69246,68549
"Jewell County, KS",KS,43201,40940,43234,44271,46017
"Johnson County, KS",KS,83007,80872,83516,87087,91913
"Kearny County, KS",KS,59134,59254,50526,63248,67301
"Kingman County, KS",KS,52907,59721,50081,56005,56907
"Kiowa County, KS",KS,46381,42976,44374,64399,49588
"Labette County, KS",KS,42323,41103,46819,44571,44170
"Lane County, KS",KS,57388,56677,55083,59240,60315
"Leavenworth County, KS",KS,61465,67558,70740,70807,75840
"Lincoln County, KS",KS,42277,42092,43865,44439,47557
"Linn County, KS",KS,46065,44391,47300,47153,62876
"Logan County, KS",KS,48399,48453,48024,50267,53538
"Lyon County, KS",KS,39562,43600,47279,47982,49840
"McPherson County, KS",KS,61356,56488,55686,58017,65834
"Marion County, KS",KS,51196,51569,49980,51712,51771
"Marshall County, KS",KS,49270,48687,49466,51066,55858
"Meade County, KS",KS,56325,57187,56397,67220,64640
"Miami County, KS",KS,62375,67651,69327,71770,74428
"Mitchell County, KS",KS,48310,49552,43743,51514,51979
"Montgomery County, KS",KS,43289,41281,45808,42479,44240
"Morris County, KS",KS,49720,48093,49561,49287,54775
"Morton County, KS",KS,53443,49717,50698,53785,56175
"Nemaha County, KS",KS,54486,55324,58729,59567,63373
"Neosho County, KS",KS,40744,42441,44073,46176,49533
"Ness County, KS",KS,53456,46439,49258,51757,54727
"Norton County, KS",KS,45096,45845,47697,47252,49739
"Osage County, KS",KS,48364,54760,53537,53864,55655
"Osborne County, KS",KS,43518,41967,42832,46101,46351
"Ottawa County, KS",KS,50302,52808,46585,56451,58729
"Pawnee County, KS",KS,47359,46961,47677,47039,65141
"Phillips County, KS",KS,46984,49386,47196,47405,51546
"Pottawatomie County, KS",KS,60601,64704,65956,69975,73685
"Pratt County, KS",KS,52634,51419,56540,52567,53980
"Rawlins County, KS",KS,47448,47377,44596,46638,50768
"Reno County, KS",KS,47178,46208,48588,49341,53371
"Republic County, KS",KS,44593,43921,44247,48566,47082
"Rice County, KS",KS,52400,47737,51102,51686,56350
"Riley County, KS",KS,46690,49901,50212,47057,51996
"Rooks County, KS",KS,45309,45268,44086,47365,49485
"Rush County, KS",KS,43895,45281,44203,44121,53189
"Russell County, KS",KS,42625,43857,43139,45879,46112
"Saline County, KS",KS,47052,48748,50072,53961,56741
"Scott County, KS",KS,56267,60540,59798,63790,62914
"Sedgwick County, KS",KS,50995,52612,54176,56381,60014
"Seward County, KS",KS,45807,48648,46541,50671,55727
"Shawnee County, KS",KS,51316,55387,56810,53612,59451
"Sheridan County, KS",KS,51221,49860,51363,50553,54627
"Sherman County, KS",KS,42491,48456,45991,45966,54000
"Smith County, KS",KS,43872,40006,41047,41899,45915
"Stafford County, KS",KS,47129,46104,46396,47835,51007
"Stanton County, KS",KS,55341,58135,57769,60136,63401
