County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Pima County, AZ",AZ,47107,47644,51392,53395,56150
"Pinal County, AZ",AZ,50888,52642,53114,58848,62067
"Santa Cruz County, AZ",AZ,34893,39090,39265,40545,47779
"Yavapai County, AZ",AZ,47220,49824,49860,48758,54242
"Yuma County, AZ",AZ,40426,42998,46013,44116,47024
"Arkansas County, AR",AR,41179,39726,43752,43887,52539
"Ashley County, AR",AR,39871,41277,40495,41127,47744
"Baxter County, AR",AR,36902,40147,43011,39686,41950
"Benton County, AR",AR,60294,64072,64728,68978,70775
"Boone County, AR",AR,40909,39881,41770,44482,50083
"Bradley County, AR",AR,37331,34114,35950,37729,39982
"Calhoun County, AR",AR,40526,33507,42484,44969,48415
"Carroll County, AR",AR,37587,37145,38297,45023,43841
"Chicot County, AR",AR,29968,29527,31810,31787,37014
"Clark County, AR",AR,37856,37247,40536,45408,44105
"Clay County, AR",AR,35324,36037,35164,37687,40686
"Cleburne County, AR",AR,43913,42397,43170,44902,46214
"Cleveland County, AR",AR,44123,45256,47812,47600,53773
"Columbia County, AR",AR,38057,35322,38488,40909,42964
"Conway County, AR",AR,43702,41892,43519,44565,46924
"Craighead County, AR",AR,42460,44091,49355,45615,47766
"Crawford County, AR",AR,46545,42941,44850,47363,44600
"Crittenden County, AR",AR,37371,37627,39272,42606,41976
"Cross County, AR",AR,39132,40970,41661,41214,45273
"Dallas County, AR",AR,33352,33679,33739,37259,41314
"Desha County, AR",AR,30987,32392,33228,36132,37005
"Drew County, AR",AR,39339,40441,41339,42494,44162
"Faulkner County, AR",AR,51157,50909,51535,53882,58482
"Franklin County, AR",AR,41933,40091,41140,43696,45670
"Fulton County, AR",AR,34717,33451,35723,35630,32926
"Garland County, AR",AR,37723,42087,44662,43610,45786
"Grant County, AR",AR,47652,54411,54819,52050,58566
"Greene County, AR",AR,43996,45208,46029,46512,47098
"Hempstead County, AR",AR,34560,38769,39505,38682,40867
"Hot Spring County, AR",AR,39851,46313,42329,47205,45860
"Howard County, AR",AR,33199,36166,36744,40199,41427
"Independence County, AR",AR,38241,42520,42332,45596,47903
"Izard County, AR",AR,35355,36987,37958,37828,40233
"Jackson County, AR",AR,32571,35098,36235,36573,38636
"Jefferson County, AR",AR,36990,38485,38677,38596,40555
"Johnson County, AR",AR,35877,37205,39798,39381,40396
"Lafayette County, AR",AR,33864,32288,33378,35527,37164
"Lawrence County, AR",AR,34808,39015,40777,40308,39604
"Lee County, AR",AR,28481,26912,28875,28080,30421
"Lincoln County, AR",AR,40216,35419,43821,44951,44272
"Little River County, AR",AR,39265,43567,42063,43559,43257
"Logan County, AR",AR,37924,39361,37676,41471,42249
"Lonoke County, AR",AR,56240,56247,54378,56651,62782
"Madison County, AR",AR,41007,39059,40568,42674,48016
"Marion County, AR",AR,34946,33950,39539,36581,38760
"Miller County, AR",AR,39005,38412,44325,42162,50905
"Mississippi County, AR",AR,34888,35846,39678,36718,39990
"Monroe County, AR",AR,30801,32906,32427,32922,34289
"Montgomery County, AR",AR,37813,36435,35500,38318,39591
"Nevada County, AR",AR,35914,37612,46687,37626,36528
"Newton County, AR",AR,33679,33107,34036,36078,37648
"Ouachita County, AR",AR,37987,36016,39576,37624,46393
"Perry County, AR",AR,43020,43819,44118,45342,50560
"Phillips County, AR",AR,28224,29073,27663,29945,31521
"Pike County, AR",AR,36266,34821,37493,41534,44426
"Poinsett County, AR",AR,32756,36125,39778,37370,40536
"Polk County, AR",AR,34723,32941,35678,39048,39722
"Pope County, AR",AR,41074,42916,45803,45788,47519
"Prairie County, AR",AR,39518,40340,43139,43245,46205
"Pulaski County, AR",AR,46473,47966,52361,49957,52684
"Randolph County, AR",AR,34730,38647,35989,37799,42875
"St. Francis County, AR",AR,31625,39675,31561,33257,34389
"Saline County, AR",AR,56926,63618,61384,63677,66944
"Scott County, AR",AR,36028,34245,33354,35826,38065
"Searcy County, AR",AR,30427,29747,30640,31659,34712
"Sebastian County, AR",AR,41452,42559,44058,46843,48945
"Sevier County, AR",AR,41848,38697,41649,44100,43493
"Sharp County, AR",AR,32095,32379,34266,36032,37591
"Stone County, AR",AR,32023,31955,32778,34009,36930
"Union County, AR",AR,42195,41546,43827,45335,46602
"Van Buren County, AR",AR,38306,38166,36244,40486,38096
"Washington County, AR",AR,46418,46367,50400,50893,52158
"White County, AR",AR,42508,44329,44088,44811,46388
"Woodruff County, AR",AR,31013,30400,32271,34306,36568
"Yell County, AR",AR,37415,38658,40325,41729,44469
"Alameda County, CA",CA,81462,89472,95550,101744,107589
"Alpine County, CA",CA,50882,57481,55755,55384,58112
"Amador County, CA",CA,55879,59789,60588,58515,62640
"Butte County, CA",CA,45369,45097,48634,50945,58394
"Calaveras County, CA",CA,52471,57990,58536,62984,68248
"Colusa County, CA",CA,51118,54861,53595,57249,59048
"Contra Costa County, CA",CA,83036,90920,95062,101463,106555
"Del Norte County, CA",CA,38963,39458,39996,48518,48979
"El Dorado County, CA",CA,75575,75100,78464,81869,86202
"Fresno County, CA",CA,46608,48323,51452,52318,56926
"Glenn County, CA",CA,43584,46141,49979,47365,55682
"Humboldt County, CA",CA,40739,43164,46123,49471,51134
"Imperial County, CA",CA,39925,43327,43413,46633,48102
"Inyo County, CA",CA,51697,53350,53528,53793,59605
"Kern County, CA",CA,51150,49812,49904,51586,53245
"Kings County, CA",CA,46440,51320,55076,58255,57297
"Lake County, CA",CA,37993,40818,45797,45086,46897
"Lassen County, CA",CA,54670,49793,58776,57705,53613
"Los Angeles County, CA",CA,59045,61308,64912,67986,72721
"Madera County, CA",CA,46593,49467,50783,53632,61105
"Marin County, CA",CA,99868,103488,112735,122933,112069
"Mariposa County, CA",CA,44595,51233,52387,51402,52760
"Mendocino County, CA",CA,43237,45247,50453,51386,52309
"Merced County, CA",CA,42879,47442,48036,56169,59733
"Modoc County, CA",CA,38402,42890,40970,45227,45311
"Mono County, CA",CA,53992,56574,60318,66499,66226
"Monterey County, CA",CA,60047,62999,70294,69665,76509
"Napa County, CA",CA,72683,73112,83881,85624,90230
"Nevada County, CA",CA,57627,60501,64901,66681,69550
"Orange County, CA",CA,78002,81642,86031,89373,95761
"Placer County, CA",CA,76203,85326,81366,89175,97688
"Plumas County, CA",CA,46813,53646,51756,55079,59376
"Riverside County, CA",CA,57895,59951,63776,66793,72905
"Sacramento County, CA",CA,58735,59728,62959,69475,71891
"San Benito County, CA",CA,76521,73298,77200,80063,84209
"San Bernardino County, CA",CA,53526,56194,60270,63310,67398
"San Diego County, CA",CA,67053,70693,76048,78777,83576
"San Francisco County, CA",CA,90527,101873,109601,110601,121795
"San Joaquin County, CA",CA,53341,59038,60950,63567,68458
"San Luis Obispo County, CA",CA,61761,69517,70634,70626,76599
"San Mateo County, CA",CA,101133,107075,115908,122930,135234
"Santa Barbara County, CA",CA,63049,66360,70651,75646,74530
"Santa Clara County, CA",CA,102191,110843,118468,125933,132444
"Santa Cruz County, CA",CA,64841,75929,76633,84213,85770
"Shasta County, CA",CA,45943,46663,51207,53908,61464
"Sierra County, CA",CA,47535,48099,49495,52308,55862
"Siskiyou County, CA",CA,37447,40875,44013,47560,45954
"Solano County, CA",CA,67202,73200,75931,82808,85704
"Sonoma County, CA",CA,66463,73496,79511,81002,87084
"Stanislaus County, CA",CA,51949,54060,58925,59616,62761
"Sutter County, CA",CA,50810,51283,54102,57879,60910
"Tehama County, CA",CA,40292,40585,41819,47572,51672
"Trinity County, CA",CA,37669,38727,40676,40680,43881
"Tulare County, CA",CA,42637,45768,46377,48763,56776
"Tuolumne County, CA",CA,53136,50431,58776,56500,64729
"Ventura County, CA",CA,79285,79470,82436,84170,91446
"Yolo County, CA",CA,58766,63645,64900,67804,70951
"Yuba County, CA",CA,46500,46054,53822,47504,56607
"Adams County, CO",CO,62991,65442,65977,70199,75341
"Alamosa County, CO",CO,40067,37057,43121,42897,38213
"Arapahoe County, CO",CO,67062,70866,75196,76665,82364
"Archuleta County, CO",CO,50361,51998,52481,53337,57604
"Baca County, CO",CO,35405,34070,35725,38294,38945
"Bent County, CO",CO,36630,33951,37307,37659,35764
"Boulder County, CO",CO,72392,74772,80701,83591,88341
"Broomfield County, CO",CO,86548,86870,91968,96924,106892
"Chaffee County, CO",CO,50947,49877,53545,56168,60331
"Cheyenne County, CO",CO,50620,50558,50571,54504,52337
"Clear Creek County, CO",CO,67262,68699,71850,74019,79900
"Conejos County, CO",CO,37102,34390,36852,38777,40944
"Costilla County, CO",CO,27944,27211,30486,31557,34731
"Crowley County, CO",CO,35405,35873,38112,35880,38224
"Custer County, CO",CO,43995,52021,54080,55242,57381
"Delta County, CO",CO,42586,41798,43528,46786,51525
"Denver County, CO",CO,57886,61038,64974,68069,75456
"Dolores County, CO",CO,44829,46791,44882,47482,50232
"Douglas County, CO",CO,109926,112399,112386,120670,123697
"Eagle County, CO",CO,75191,79556,88913,86896,89268
"Elbert County, CO",CO,90270,86693,102731,98247,101733
"El Paso County, CO",CO,60050,63610,65260,67923,72675
"Fremont County, CO",CO,41967,46372,48820,47885,52239
"Garfield County, CO",CO,64487,69161,71897,74421,73788
"Gilpin County, CO",CO,67389,65472,79636,72949,74806
"Grand County, CO",CO,59885,63875,61241,69214,71029
"Gunnison County, CO",CO,47619,53753,53480,61268,60408
"Hinsdale County, CO",CO,58613,51717,59157,62149,61391
"Huerfano County, CO",CO,33098,34626,37424,38242,39955
"Jackson County, CO",CO,46905,46671,48785,51457,53577
"Jefferson County, CO",CO,71209,74342,80562,85550,89696
"Kiowa County, CO",CO,42108,43951,43845,44704,46901
"Kit Carson County, CO",CO,44090,48272,44028,48342,42951
"Lake County, CO",CO,45913,49064,49799,51802,56850
"La Plata County, CO",CO,60732,58499,61974,66219,77829
"Larimer County, CO",CO,64935,66561,69443,71306,75332
"Las Animas County, CO",CO,38858,38224,39552,41485,43452
"Lincoln County, CO",CO,43188,42969,45308,46690,43077
"Logan County, CO",CO,46306,49407,50246,53168,58429
"Mesa County, CO",CO,51449,49825,52623,51132,60249
"Mineral County, CO",CO,50481,52641,55906,60210,63015
"Moffat County, CO",CO,59173,54151,57680,59500,63232
"Montezuma County, CO",CO,42975,40679,48692,50180,52641
"Montrose County, CO",CO,46860,43285,51031,52576,50707
"Morgan County, CO",CO,49087,49129,50453,55387,57535
"Otero County, CO",CO,34970,36773,37907,40064,43723
