,STNAME,CTYNAME,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
804,Iowa,Iowa,3120960,3131371,3141550,3148618,3155070
805,Iowa,Adair County,7145,7005,7051,7074,7152
806,Iowa,Adams County,3754,3692,3657,3644,3602
807,Iowa,Allamakee County,13874,13851,13803,13852,13687
808,Iowa,Appanoose County,12577,12505,12353,12401,12426
809,Iowa,Audubon County,5711,5626,5550,5471,5496
810,Iowa,Benton County,25608,25644,25656,25625,25645
811,Iowa,Black Hawk County,133701,133077,132238,131723,131228
812,Iowa,Boone County,26443,26416,26443,26312,26234
813,Iowa,Bremer County,24746,24747,24823,24941,25062
814,Iowa,Buchanan County,21105,21007,21126,21178,21175
815,Iowa,Buena Vista County,20374,20325,20144,19826,19620
816,Iowa,Butler County,14881,14702,14592,14525,14439
817,Iowa,Calhoun County,9801,9811,9729,9711,9668
818,Iowa,Carroll County,20423,20388,20274,20153,20165
819,Iowa,Cass County,13351,13176,13144,12948,12836
820,Iowa,Cedar County,18254,18348,18490,18564,18627
821,Iowa,Cerro Gordo County,42983,43096,42999,42642,42450
822,Iowa,Cherokee County,11483,11394,11307,11295,11235
823,Iowa,Chickasaw County,12151,12094,12002,11952,11933
824,Iowa,Clarke County,9219,9288,9396,9502,9395
825,Iowa,Clay County,16498,16295,16141,16106,16016
826,Iowa,Clayton County,17726,17661,17648,17540,17549
827,Iowa,Clinton County,47558,47248,46874,46437,46429
828,Iowa,Crawford County,17082,17103,17076,17089,16820
829,Iowa,Dallas County,80631,84248,87208,89953,93453
830,Iowa,Davis County,8777,8884,8969,8972,9000
831,Iowa,Decatur County,8137,8053,7947,7890,7870
832,Iowa,Delaware County,17393,17288,17143,17081,17011
833,Iowa,Des Moines County,39874,39613,39326,39149,38967
834,Iowa,Dickinson County,17004,17109,17141,17121,17258
835,Iowa,Dubuque County,96850,96763,97066,96922,97311
836,Iowa,Emmet County,9702,9581,9422,9277,9208
837,Iowa,Fayette County,20142,19858,19687,19679,19650
838,Iowa,Floyd County,15910,15857,15767,15752,15642
839,Iowa,Franklin County,10319,10177,10160,10085,10070
840,Iowa,Fremont County,6912,6947,6930,6981,6960
841,Iowa,Greene County,8944,9001,8954,8965,8888
842,Iowa,Grundy County,12405,12286,12298,12272,12232
843,Iowa,Guthrie County,10649,10642,10645,10720,10689
844,Iowa,Hamilton County,15218,15075,15032,14886,14773
845,Iowa,Hancock County,11028,10887,10756,10710,10630
846,Iowa,Hardin County,17253,17196,17073,16937,16846
847,Iowa,Harrison County,14139,14046,14107,14105,14049
848,Iowa,Henry County,19843,19833,20044,20033,19954
849,Iowa,Howard County,9313,9257,9229,9172,9158
850,Iowa,Humboldt County,9556,9530,9569,9559,9558
851,Iowa,Ida County,6968,6961,6869,6846,6860
852,Iowa,Iowa County,16282,16192,16133,16155,16184
853,Iowa,Jackson County,19366,19393,19382,19427,19439
854,Iowa,Jasper County,36750,36736,36995,37189,37185
855,Iowa,Jefferson County,17906,18063,18219,18256,18295
856,Iowa,Johnson County,144943,146928,149325,150549,151140
857,Iowa,Jones County,20433,20392,20618,20673,20681
858,Iowa,Keokuk County,10171,10170,10141,10213,10246
859,Iowa,Kossuth County,15158,15104,14939,14878,14813
860,Iowa,Lee County,34894,34458,34216,33909,33657
861,Iowa,Linn County,220271,222188,224379,225763,226706
862,Iowa,Louisa County,11285,11221,11195,11153,11035
863,Iowa,Lucas County,8610,8555,8533,8617,8600
864,Iowa,Lyon County,11747,11780,11785,11815,11755
865,Iowa,Madison County,15720,15796,16000,16206,16338
866,Iowa,Mahaska County,22312,22186,22211,22018,22095
867,Iowa,Marion County,33109,33146,33091,33259,33253
868,Iowa,Marshall County,40352,40135,40078,39888,39369
869,Iowa,Mills County,14882,15053,15060,15068,15109
870,Iowa,Mitchell County,10676,10644,10563,10571,10586
871,Iowa,Monona County,8866,8786,8724,8659,8615
872,Iowa,Monroe County,7924,7836,7798,7768,7707
873,Iowa,Montgomery County,10149,10124,10112,9961,9917
874,Iowa,Muscatine County,43068,42968,42872,42874,42664
875,Iowa,O'Brien County,13926,13926,13774,13798,13753
876,Iowa,Osceola County,6160,6095,6021,6028,5958
877,Iowa,Page County,15462,15329,15213,15229,15107
878,Iowa,Palo Alto County,9140,9034,9052,8903,8886
879,Iowa,Plymouth County,24899,25180,25060,25024,25177
880,Iowa,Pocahontas County,6967,6854,6833,6714,6619
881,Iowa,Polk County,467304,474277,480487,485833,490161
882,Iowa,Pottawattamie County,93563,93518,93416,93264,93206
883,Iowa,Poweshiek County,18358,18279,18334,18467,18504
884,Iowa,Ringgold County,4977,4985,5024,4940,4894
885,Iowa,Sac County,9966,9816,9803,9705,9721
886,Iowa,Scott County,171903,172135,172448,172803,172943
887,Iowa,Shelby County,11789,11655,11574,11559,11454
888,Iowa,Sioux County,34754,34944,34781,34802,34855
889,Iowa,Story County,96636,96893,97278,96781,97117
890,Iowa,Tama County,17217,17192,17029,16869,16854
891,Iowa,Taylor County,6246,6213,6095,6160,6121
892,Iowa,Union County,12430,12360,12459,12298,12241
893,Iowa,Van Buren County,7296,7241,7155,7013,7044
894,Iowa,Wapello County,35456,35265,35022,34991,34969
895,Iowa,Warren County,48468,49356,50078,51014,51466
896,Iowa,Washington County,22145,22126,22204,22058,21965
897,Iowa,Wayne County,6359,6447,6492,6405,6441
898,Iowa,Webster County,37066,36781,36637,36339,35904
899,Iowa,Winnebago County,10603,10602,10573,10539,10354
900,Iowa,Winneshiek County,20745,20427,20129,20017,19991
901,Iowa,Woodbury County,102492,102686,102132,102515,103107
902,Iowa,Worth County,7503,7471,7455,7413,7381
903,Iowa,Wright County,12841,12839,12765,12690,12562
904,Kansas,Kansas,2909011,2910844,2908718,2911359,2913314
905,Kansas,Allen County,12683,12670,12555,12501,12369
906,Kansas,Anderson County,7816,7812,7833,7848,7858
907,Kansas,Atchison County,16418,16376,16298,16173,16073
908,Kansas,Barber County,4824,4673,4570,4465,4427
909,Kansas,Barton County,27159,26878,26394,26057,25779
910,Kansas,Bourbon County,14733,14624,14609,14542,14534
911,Kansas,Brown County,9708,9641,9609,9610,9564
912,Kansas,Butler County,66249,66652,66845,66833,66911
913,Kansas,Chase County,2656,2632,2651,2600,2648
914,Kansas,Chautauqua County,3387,3360,3315,3304,3250
915,Kansas,Cherokee County,20535,20256,20129,20035,19939
916,Kansas,Cheyenne County,2674,2667,2684,2645,2657
917,Kansas,Clark County,2081,2065,1995,1994,1994
918,Kansas,Clay County,8293,8105,8006,8003,8002
919,Kansas,Cloud County,9188,9070,8912,8734,8786
920,Kansas,Coffey County,8291,8339,8228,8232,8179
921,Kansas,Comanche County,1827,1838,1759,1736,1700
922,Kansas,Cowley County,35752,35650,35297,35149,34908
923,Kansas,Crawford County,39139,39046,38925,38911,38818
924,Kansas,Decatur County,2923,2828,2863,2860,2827
925,Kansas,Dickinson County,19206,18956,18829,18682,18466
926,Kansas,Doniphan County,7788,7718,7657,7658,7600
927,Kansas,Douglas County,118141,119662,120281,121109,122259
928,Kansas,Edwards County,2955,2899,2873,2820,2798
929,Kansas,Elk County,2574,2511,2514,2484,2530
930,Kansas,Ellis County,28999,28942,28735,28646,28553
931,Kansas,Ellsworth County,6302,6302,6284,6163,6102
932,Kansas,Finney County,37148,36885,36720,36528,36467
933,Kansas,Ford County,34629,34552,34218,33877,33619
934,Kansas,Franklin County,25469,25523,25631,25625,25544
935,Kansas,Geary County,36681,35223,33774,32777,31670
936,Kansas,Gove County,2698,2622,2622,2611,2636
937,Kansas,Graham County,2591,2562,2485,2475,2482
938,Kansas,Grant County,7724,7675,7490,7294,7150
939,Kansas,Gray County,6082,6031,6018,6076,5988
940,Kansas,Greeley County,1302,1277,1226,1229,1232
941,Kansas,Greenwood County,6233,6112,6067,6011,5982
942,Kansas,Hamilton County,2568,2634,2616,2600,2539
943,Kansas,Harper County,5781,5667,5580,5508,5436
944,Kansas,Harvey County,34802,34726,34373,34183,34429
945,Kansas,Haskell County,4089,4026,4019,3990,3968
946,Kansas,Hodgeman County,1869,1851,1863,1822,1794
947,Kansas,Jackson County,13285,13270,13332,13270,13171
948,Kansas,Jefferson County,18794,18824,18932,18856,19043
949,Kansas,Jewell County,2963,2880,2857,2845,2879
950,Kansas,Johnson County,579684,586015,591305,598127,602401
951,Kansas,Kearny County,3929,3890,3935,3941,3838
952,Kansas,Kingman County,7636,7417,7275,7220,7152
953,Kansas,Kiowa County,2570,2507,2486,2489,2475
954,Kansas,Labette County,20628,20313,20129,19906,19618
955,Kansas,Lane County,1630,1593,1548,1546,1535
956,Kansas,Leavenworth County,79119,80244,81109,81497,81758
957,Kansas,Lincoln County,3142,3077,3043,2998,2962
958,Kansas,Linn County,9580,9606,9697,9771,9703
959,Kansas,Logan County,2787,2818,2814,2812,2794
960,Kansas,Lyon County,33133,33369,33257,33300,33195
961,Kansas,McPherson County,28648,28429,28687,28528,28542
962,Kansas,Marion County,12053,12017,11945,11923,11884
963,Kansas,Marshall County,9845,9789,9687,9715,9707
964,Kansas,Meade County,4301,4236,4230,4098,4033
965,Kansas,Miami County,32758,32923,33429,33737,34237
966,Kansas,Mitchell County,6294,6207,6137,6110,5979
967,Kansas,Montgomery County,33436,32859,32390,32091,31829
968,Kansas,Morris County,5628,5558,5467,5557,5620
969,Kansas,Morton County,2953,2790,2747,2693,2587
970,Kansas,Nemaha County,10094,10089,10060,10125,10231
971,Kansas,Neosho County,16287,16127,16094,16025,16007
972,Kansas,Ness County,3020,2957,2856,2796,2750
973,Kansas,Norton County,5536,5491,5421,5419,5361
974,Kansas,Osage County,15865,15811,15842,15938,15949
975,Kansas,Osborne County,3641,3588,3539,3459,3421
976,Kansas,Ottawa County,5934,5905,5817,5752,5704
977,Kansas,Pawnee County,6769,6719,6665,6573,6414
978,Kansas,Phillips County,5420,5402,5370,5276,5234
979,Kansas,Pottawatomie County,23123,23605,23916,24209,24383
980,Kansas,Pratt County,9697,9557,9500,9340,9164
981,Kansas,Rawlins County,2506,2500,2473,2502,2530
982,Kansas,Reno County,63596,63184,62714,62331,61998
983,Kansas,Republic County,4688,4659,4654,4652,4636
984,Kansas,Rice County,9925,9782,9563,9483,9537
985,Kansas,Riley County,77185,75172,73977,74712,74232
986,Kansas,Rooks County,5179,5118,5055,4995,4920
987,Kansas,Rush County,3098,3054,3048,3056,3036
988,Kansas,Russell County,7044,7007,6930,6902,6856
989,Kansas,Saline County,55429,54955,54508,54387,54224
990,Kansas,Scott County,4948,4979,4928,4909,4823
991,Kansas,Sedgwick County,511083,513092,513176,513484,516042
992,Kansas,Seward County,23273,22897,22245,21902,21428
993,Kansas,Shawnee County,178689,178350,178056,177290,176875
994,Kansas,Sheridan County,2475,2485,2526,2522,2521
995,Kansas,Sherman County,5964,5955,5936,5917,5917
996,Kansas,Smith County,3689,3656,3615,3590,3583
997,Kansas,Stafford County,4215,4186,4186,4162,4156
998,Kansas,Stanton County,2070,2105,2055,2025,2006
999,Kansas,Stevens County,5789,5653,5551,5536,5485
1000,Kansas,Sumner County,23417,23183,23117,23019,22836
1001,Kansas,Thomas County,7895,7847,7821,7710,7777
1002,Kansas,Trego County,2907,2852,2843,2797,2803
1003,Kansas,Wabaunsee County,6887,6884,6832,6912,6931
1004,Kansas,Wallace County,1505,1502,1515,1489,1518
1005,Kansas,Washington County,5568,5564,5479,5450,5406
1006,Kansas,Wichita County,2167,2131,2121,2112,2119
1007,Kansas,Wilson County,8845,8698,8707,8666,8525
1008,Kansas,Woodson County,3144,3189,3130,3184,3138
1009,Kansas,Wyandotte County,163682,164785,165087,165321,165429
1010,Kentucky,Kentucky,4425976,4438182,4452268,4461153,4467673
1011,Kentucky,Adair County,19162,19259,19287,19199,19202
1012,Kentucky,Allen County,20660,20721,20903,21122,21315
1013,Kentucky,Anderson County,21920,22191,22545,22641,22747
1014,Kentucky,Ballard County,8216,8046,8018,7992,7888
1015,Kentucky,Barren County,43546,43763,43746,44115,44249
1016,Kentucky,Bath County,12203,12246,12381,12444,12500
1017,Kentucky,Bell County,27370,27204,26863,26487,26032
1018,Kentucky,Boone County,128161,129503,130952,131901,133581
1019,Kentucky,Bourbon County,20166,20130,20092,20116,19788
1020,Kentucky,Boyd County,48471,48121,47808,47292,46718
1021,Kentucky,Boyle County,29782,29965,29972,30082,30060
1022,Kentucky,Bracken County,8290,8368,8285,8278,8303
1023,Kentucky,Breathitt County,13363,13177,12929,12787,12630
1024,Kentucky,Breckinridge County,19979,19982,20131,20309,20477
1025,Kentucky,Bullitt County,78677,79222,80269,81009,81676
1026,Kentucky,Butler County,12734,12686,12778,12743,12879
1027,Kentucky,Caldwell County,12748,12634,12666,12716,12747
1028,Kentucky,Calloway County,38656,38733,38832,38964,39001
1029,Kentucky,Campbell County,92124,92257,92878,93464,93584
1030,Kentucky,Carlisle County,4852,4783,4788,4739,4760
1031,Kentucky,Carroll County,10682,10614,10714,10712,10631
1032,Kentucky,Carter County,27439,27304,27214,27040,26797
1033,Kentucky,Casey County,15749,15775,15818,15926,16159
1034,Kentucky,Christian County,73075,71796,71024,70712,70461
1035,Kentucky,Clark County,35660,35851,35899,36180,36263
1036,Kentucky,Clay County,20974,20626,20251,20088,19901
1037,Kentucky,Clinton County,10183,10200,10212,10152,10218
1038,Kentucky,Crittenden County,9168,9131,8999,8896,8806
1039,Kentucky,Cumberland County,6737,6731,6710,6693,6614
1040,Kentucky,Daviess County,99485,100032,100461,100883,101511
1041,Kentucky,Edmonson County,11991,12076,12226,12249,12150
1042,Kentucky,Elliott County,7548,7491,7493,7499,7517
1043,Kentucky,Estill County,14373,14315,14178,14150,14106
1044,Kentucky,Fayette County,315819,319644,321964,322426,323152
1045,Kentucky,Fleming County,14578,14481,14439,14485,14581
1046,Kentucky,Floyd County,37531,36968,36296,35896,35589
1047,Kentucky,Franklin County,50070,50292,50492,50801,50991
1048,Kentucky,Fulton County,6266,6185,6163,6066,5969
1049,Kentucky,Gallatin County,8613,8719,8720,8766,8869
1050,Kentucky,Garrard County,17207,17382,17449,17519,17666
1051,Kentucky,Grant County,24736,24910,24973,25065,25069
1052,Kentucky,Graves County,37248,37217,37190,37319,37266
1053,Kentucky,Grayson County,26138,26093,26286,26293,26427
1054,Kentucky,Green County,10951,10969,11036,10998,10941
1055,Kentucky,Greenup County,36006,35824,35514,35332,35098
1056,Kentucky,Hancock County,8641,8723,8778,8738,8722
1057,Kentucky,Hardin County,106272,106964,108161,110279,110958
1058,Kentucky,Harlan County,27506,26996,26676,26309,26010
1059,Kentucky,Harrison County,18641,18569,18735,18780,18886
1060,Kentucky,Hart County,18421,18541,18745,18902,19035
1061,Kentucky,Henderson County,46344,46212,45867,45512,45210
1062,Kentucky,Henry County,15563,15834,15972,16061,16126
1063,Kentucky,Hickman County,4612,4607,4518,4431,4380
1064,Kentucky,Hopkins County,46055,45598,45293,45024,44686
1065,Kentucky,Jackson County,13325,13364,13422,13403,13329
1066,Kentucky,Jefferson County,764946,767464,769828,768101,766757
1067,Kentucky,Jessamine County,51809,52219,53259,53757,54115
1068,Kentucky,Johnson County,23128,22858,22606,22391,22188
1069,Kentucky,Kenton County,164478,164962,165608,166292,166998
1070,Kentucky,Knott County,15680,15492,15244,15076,14806
1071,Kentucky,Knox County,31465,31471,31444,31300,31145
1072,Kentucky,Larue County,14110,14018,14196,14299,14398
1073,Kentucky,Laurel County,59919,60078,60317,60660,60813
1074,Kentucky,Lawrence County,15861,15839,15756,15583,15317
1075,Kentucky,Lee County,6746,6604,6602,7052,7403
1076,Kentucky,Leslie County,10644,10431,10310,10151,9877
1077,Kentucky,Letcher County,23049,22759,22303,21813,21553
1078,Kentucky,Lewis County,13663,13516,13363,13268,13275
1079,Kentucky,Lincoln County,24342,24382,24495,24612,24549
1080,Kentucky,Livingston County,9289,9198,9249,9244,9194
1081,Kentucky,Logan County,26746,26678,27003,26983,27102
1082,Kentucky,Lyon County,8474,8238,8261,8171,8210
1083,Kentucky,McCracken County,64948,65304,65364,65307,65418
1084,Kentucky,McCreary County,17883,17548,17372,17290,17231
1085,Kentucky,McLean County,9395,9337,9216,9258,9207
1086,Kentucky,Madison County,88212,89532,91170,92107,92987
1087,Kentucky,Magoffin County,12784,12668,12519,12323,12161
1088,Kentucky,Marion County,19212,19135,19276,19326,19273
1089,Kentucky,Marshall County,31059,31280,31318,31202,31100
1090,Kentucky,Martin County,12285,11945,11492,11325,11195
1091,Kentucky,Mason County,17050,17167,17192,17080,17070
1092,Kentucky,Meade County,27725,27959,28033,28623,28572
1093,Kentucky,Menifee County,6373,6449,6465,6437,6489
1094,Kentucky,Mercer County,21377,21405,21542,21702,21933
1095,Kentucky,Metcalfe County,9925,10020,10093,10070,10071
1096,Kentucky,Monroe County,10618,10539,10597,10732,10650
1097,Kentucky,Montgomery County,27576,27666,27913,28109,28157
1098,Kentucky,Morgan County,13267,13260,13230,13372,13309
1099,Kentucky,Muhlenberg County,31245,31150,30925,30811,30622
1100,Kentucky,Nelson County,45114,45497,45591,45813,46233
1101,Kentucky,Nicholas County,7059,7083,7160,7195,7269
1102,Kentucky,Ohio County,24021,24158,24116,24064,23994
1103,Kentucky,Oldham County,64556,65410,66557,66512,66799
1104,Kentucky,Owen County,10736,10668,10794,10881,10901
1105,Kentucky,Owsley County,4445,4472,4402,4474,4415
1106,Kentucky,Pendleton County,14487,14595,14602,14588,14590
1107,Kentucky,Perry County,27373,27197,26586,26208,25758
1108,Kentucky,Pike County,61781,60431,58905,58492,57876
1109,Kentucky,Powell County,12226,12266,12297,12371,12359
1110,Kentucky,Pulaski County,63862,64013,64314,64584,64979
1111,Kentucky,Robertson County,2134,2125,2120,2130,2108
1112,Kentucky,Rockcastle County,16932,16872,16778,16823,16695
1113,Kentucky,Rowan County,24642,24416,24514,24503,24460
1114,Kentucky,Russell County,17685,17769,17723,17790,17923
1115,Kentucky,Scott County,52155,53425,54782,55968,57004
1116,Kentucky,Shelby County,45787,46548,47209,48059,49024
1117,Kentucky,Simpson County,17901,17992,18046,18403,18572
1118,Kentucky,Spencer County,18072,18336,18619,19021,19351
1119,Kentucky,Taylor County,25586,25441,25544,25514,25769
1120,Kentucky,Todd County,12447,12357,12177,12306,12294
1121,Kentucky,Trigg County,14218,14302,14418,14658,14651
1122,Kentucky,Trimble County,8733,8596,8521,8468,8471
1123,Kentucky,Union County,14951,14765,14620,14471,14381
1124,Kentucky,Warren County,124122,126419,129074,130750,132896
1125,Kentucky,Washington County,12007,12109,11880,12023,12095
1126,Kentucky,Wayne County,20609,20728,20628,20430,20333
1127,Kentucky,Webster County,13155,13181,13012,13051,12942
1128,Kentucky,Whitley County,36109,36108,36074,36101,36264
1129,Kentucky,Wolfe County,7241,7189,7248,7199,7157
1130,Kentucky,Woodford County,25860,26118,26385,26491,26734
1131,Louisiana,Louisiana,4664628,4678135,4670560,4659690,4648794
1132,Louisiana,Acadia Parish,62679,62786,62559,62214,62045
1133,Louisiana,Allen Parish,25631,25680,25583,25567,25627
1134,Louisiana,Ascension Parish,119374,121558,123177,124858,126604
1135,Louisiana,Assumption Parish,22898,22756,22568,22279,21891
1136,Louisiana,Avoyelles Parish,40979,40983,40836,40402,40144
1137,Louisiana,Beauregard Parish,36531,36973,36847,37369,37497
1138,Louisiana,Bienville Parish,13823,13780,13631,13343,13241
1139,Louisiana,Bossier Parish,125554,125920,126959,127022,127039
1140,Louisiana,Caddo Parish,251345,248837,245935,242833,240204
1141,Louisiana,Calcasieu Parish,198450,200568,202466,203177,203436
1142,Louisiana,Caldwell Parish,10045,10074,9959,9964,9918
1143,Louisiana,Cameron Parish,6825,6896,6944,7013,6973
1144,Louisiana,Catahoula Parish,10029,9869,9830,9606,9494
1145,Louisiana,Claiborne Parish,16261,16146,15953,15895,15670
1146,Louisiana,Concordia Parish,20228,19970,19846,19586,19259
1147,Louisiana,De Soto Parish,27101,27190,27267,27426,27463
1148,Louisiana,East Baton Rouge Parish,445512,446677,444511,442058,440059
1149,Louisiana,East Carroll Parish,7277,7235,7111,6994,6861
1150,Louisiana,East Feliciana Parish,19540,19513,19380,19286,19135
1151,Louisiana,Evangeline Parish,33724,33667,33663,33496,33395
1152,Louisiana,Franklin Parish,20386,20370,20256,20164,20015
1153,Louisiana,Grant Parish,22302,22279,22296,22436,22389
1154,Louisiana,Iberia Parish,73747,72971,71982,70905,69830
1155,Louisiana,Iberville Parish,33136,32864,32906,32693,32511
1156,Louisiana,Jackson Parish,15947,15895,15898,15912,15744
1157,Louisiana,Jefferson Parish,435175,436572,436126,433884,432493
1158,Louisiana,Jefferson Davis Parish,31431,31388,31480,31537,31368
1159,Louisiana,Lafayette Parish,239332,241275,241756,243113,244390
1160,Louisiana,Lafourche Parish,98314,98506,98123,97981,97614
1161,Louisiana,LaSalle Parish,14979,15022,14887,14901,14892
1162,Louisiana,Lincoln Parish,47434,47473,47471,47112,46742
1163,Louisiana,Livingston Parish,137116,139627,137712,139394,140789
1164,Louisiana,Madison Parish,11554,11486,11342,11196,10951
1165,Louisiana,Morehouse Parish,26301,25894,25655,25324,24874
1166,Louisiana,Natchitoches Parish,39004,39024,39042,38616,38158
1167,Louisiana,Orleans Parish,389742,391843,391493,391004,390144
1168,Louisiana,Ouachita Parish,156880,156897,155841,154571,153279
1169,Louisiana,Plaquemines Parish,23437,23323,23348,23385,23197
1170,Louisiana,Pointe Coupee Parish,22197,22111,22164,21879,21730
1171,Louisiana,Rapides Parish,131780,131845,131253,130326,129648
1172,Louisiana,Red River Parish,8711,8621,8527,8526,8442
1173,Louisiana,Richland Parish,20546,20446,20413,20223,20122
1174,Louisiana,Sabine Parish,24205,24055,23909,23901,23884
1175,Louisiana,St. Bernard Parish,45421,45777,46110,46780,47244
1176,Louisiana,St. Charles Parish,52572,52796,52620,52775,53100
1177,Louisiana,St. Helena Parish,10457,10389,10322,10187,10132
1178,Louisiana,St. James Parish,21481,21433,21380,21151,21096
1179,Louisiana,St. John the Baptist Parish,43523,43401,43328,43119,42837
1180,Louisiana,St. Landry Parish,83649,83768,83535,82782,82124
1181,Louisiana,St. Martin Parish,53831,53771,54066,53562,53431
1182,Louisiana,St. Mary Parish,52876,52069,50708,49841,49348
1183,Louisiana,St. Tammany Parish,248930,252468,255921,258035,260419
1184,Louisiana,Tangipahoa Parish,128716,130619,132353,133837,134758
1185,Louisiana,Tensas Parish,4772,4656,4574,4470,4334
1186,Louisiana,Terrebonne Parish,113817,113006,111823,111163,110461
1187,Louisiana,Union Parish,22487,22528,22398,22243,22108
1188,Louisiana,Vermilion Parish,59918,60074,59936,59886,59511
1189,Louisiana,Vernon Parish,51431,51481,49789,48101,47429
1190,Louisiana,Washington Parish,46358,46387,46649,46588,46194
1191,Louisiana,Webster Parish,40061,39751,39264,38792,38340
1192,Louisiana,West Baton Rouge Parish,25554,25901,26184,26400,26465
1193,Louisiana,West Carroll Parish,11287,11136,10974,10977,10830
1194,Louisiana,West Feliciana Parish,15383,15327,15371,15492,15568
1195,Louisiana,Winn Parish,14642,14532,14350,14138,13904
1196,Maine,Maine,1328262,1331317,1334612,1339057,1344212
1197,Maine,Androscoggin County,107124,107296,107399,107914,108277
1198,Maine,Aroostook County,68818,68243,67609,67318,67055
1199,Maine,Cumberland County,289488,291191,292181,293673,295003
1200,Maine,Franklin County,30017,29982,29799,29915,30199
1201,Maine,Hancock County,54237,54509,54539,54734,54987
1202,Maine,Kennebec County,121010,121497,121913,122044,122302
1203,Maine,Knox County,39786,39761,39759,39717,39772
1204,Maine,Lincoln County,33784,33974,34215,34399,34634
1205,Maine,Oxford County,57164,57322,57534,57754,57975
1206,Maine,Penobscot County,151929,151333,151645,151817,152148
1207,Maine,Piscataquis County,16937,16910,16804,16746,16785
1208,Maine,Sagadahoc County,35120,35156,35436,35690,35856
1209,Maine,Somerset County,50729,50546,50351,50489,50484
1210,Maine,Waldo County,39120,39429,39772,39657,39715
1211,Maine,Washington County,31776,31603,31374,31321,31379
1212,Maine,York County,201223,202565,204282,205869,207641
1213,Maryland,Maryland,5985562,6003323,6023868,6035802,6045680
1214,Maryland,Allegany County,72462,72053,71352,70941,70416
1215,Maryland,Anne Arundel County,563027,567254,571339,575523,579234
1216,Maryland,Baltimore County,827533,828682,828645,827859,827370
1217,Maryland,Calvert County,90477,91052,91435,92065,92525
1218,Maryland,Caroline County,32595,32840,33096,33306,33406
1219,Maryland,Carroll County,167132,167100,167547,168267,168447
1220,Maryland,Cecil County,102382,102487,102394,102644,102855
1221,Maryland,Charles County,155665,157292,159450,161476,163257
1222,Maryland,Dorchester County,32419,32276,32105,31960,31929
1223,Maryland,Frederick County,245001,246999,250622,254943,259547
1224,Maryland,Garrett County,29426,29358,29242,29133,29014
1225,Maryland,Harford County,249558,250370,251858,253882,255441
1226,Maryland,Howard County,311297,315416,319251,322621,325690
1227,Maryland,Kent County,19715,19666,19442,19434,19422
1228,Maryland,Montgomery County,1032814,1038846,1046822,1048478,1050688
1229,Maryland,Prince George's County,906197,908501,909705,909619,909327
1230,Maryland,Queen Anne's County,48984,49063,49586,50148,50381
1231,Maryland,St. Mary's County,110985,111750,112487,112720,113510
1232,Maryland,Somerset County,25687,25839,25896,25606,25616
1233,Maryland,Talbot County,37413,37135,37033,37074,37181
1234,Maryland,Washington County,149068,149602,150169,150656,151049
1235,Maryland,Wicomico County,101747,102041,102252,103044,103609
1236,Maryland,Worcester County,51456,51475,51659,51960,52276
1237,Maryland,Baltimore city,622522,616226,610481,602443,593490
1238,Massachusetts,Massachusetts,6794228,6823608,6859789,6882635,6892503
1239,Massachusetts,Barnstable County,213877,213559,213581,213471,212990
1240,Massachusetts,Berkshire County,127858,127067,126353,125901,124944
1241,Massachusetts,Bristol County,556863,558070,560941,564092,565217
1242,Massachusetts,Dukes County,17274,17315,17311,17329,17332
1243,Massachusetts,Essex County,776865,779847,784453,788183,789034
1244,Massachusetts,Franklin County,70866,70622,70605,70611,70180
1245,Massachusetts,Hampden County,469113,467778,467705,468388,466372
1246,Massachusetts,Hampshire County,160709,161404,161077,161139,160830
1247,Massachusetts,Middlesex County,1585432,1594664,1603943,1608470,1611699
1248,Massachusetts,Nantucket County,10940,11100,11205,11198,11399
1249,Massachusetts,Norfolk County,694502,697079,700599,703230,706775
1250,Massachusetts,Plymouth County,509221,512207,515461,518422,521202
1251,Massachusetts,Suffolk County,782591,792576,800806,803147,803907
1252,Massachusetts,Worcester County,818117,820320,825749,829054,830622
1253,Michigan,Michigan,9931715,9950571,9973114,9984072,9986857
1254,Michigan,Alcona County,10330,10360,10309,10360,10405
1255,Michigan,Alger County,9255,9129,9144,9118,9108
1256,Michigan,Allegan County,114112,114979,116368,117173,118081
1257,Michigan,Alpena County,28722,28663,28428,28384,28405
1258,Michigan,Antrim County,23035,23079,23270,23323,23324
1259,Michigan,Arenac County,15307,15138,15014,15008,14883
1260,Michigan,Baraga County,8585,8546,8441,8324,8209
1261,Michigan,Barry County,59426,59810,60682,61231,61550
1262,Michigan,Bay County,105237,104411,104045,103702,103126
1263,Michigan,Benzie County,17390,17534,17624,17761,17766
1264,Michigan,Berrien County,155022,154325,154128,153790,153401
1265,Michigan,Branch County,43639,43466,43375,43566,43517
1266,Michigan,Calhoun County,134327,134344,134180,134049,134159
1267,Michigan,Cass County,51342,51282,51481,51725,51787
1268,Michigan,Charlevoix County,26210,26190,26212,26187,26143
1269,Michigan,Cheboygan County,25399,25455,25454,25504,25276
1270,Michigan,Chippewa County,37973,37683,37679,37461,37349
1271,Michigan,Clare County,30616,30387,30565,30735,30950
1272,Michigan,Clinton County,77009,77617,78506,79219,79595
1273,Michigan,Crawford County,13853,13768,13906,13905,14029
1274,Michigan,Delta County,36415,36196,35890,35843,35784
1275,Michigan,Dickinson County,25661,25499,25424,25371,25239
