,STNAME,CTYNAME,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
106,Arizona,Maricopa County,4172905,4256143,4327184,4402403,4485414
107,Arizona,Mohave County,204574,205412,207017,209292,212181
108,Arizona,Navajo County,107638,108467,109079,110242,110924
109,Arizona,Pima County,1009103,1016707,1026391,1036554,1047279
110,Arizona,Pinal County,405614,417193,431564,446806,462789
111,Arizona,Santa Cruz County,46542,46400,46566,46395,46498
112,Arizona,Yavapai County,220805,224575,228082,231772,235099
113,Arizona,Yuma County,205186,207247,209507,211612,213787
114,Arkansas,Arkansas,2978048,2989918,3001345,3009733,3017804
115,Arkansas,Arkansas County,18330,18154,17872,17726,17486
116,Arkansas,Ashley County,20838,20530,20311,20012,19657
117,Arkansas,Baxter County,41138,41131,41308,41624,41932
118,Arkansas,Benton County,251591,259212,266585,272266,279141
119,Arkansas,Boone County,37119,37259,37459,37385,37432
120,Arkansas,Bradley County,10999,10959,10813,10838,10763
121,Arkansas,Calhoun County,5200,5143,5201,5227,5189
122,Arkansas,Carroll County,27755,27728,27865,28097,28380
123,Arkansas,Chicot County,10970,10899,10647,10442,10118
124,Arkansas,Clark County,22513,22602,22184,22313,22320
125,Arkansas,Clay County,15206,15060,14865,14763,14551
126,Arkansas,Cleburne County,25355,25173,25059,24994,24919
127,Arkansas,Cleveland County,8284,8245,8162,7995,7956
128,Arkansas,Columbia County,24115,24026,23695,23586,23457
129,Arkansas,Conway County,20936,20874,20810,20825,20846
130,Arkansas,Craighead County,104457,105932,107188,108816,110332
131,Arkansas,Crawford County,61904,62263,62894,63379,63257
132,Arkansas,Crittenden County,49019,49306,48716,48363,47955
133,Arkansas,Cross County,17255,17025,16792,16630,16419
134,Arkansas,Dallas County,7530,7399,7307,7152,7009
135,Arkansas,Desha County,12029,11905,11743,11507,11361
136,Arkansas,Drew County,18613,18553,18370,18328,18219
137,Arkansas,Faulkner County,121241,122206,123530,125138,126007
138,Arkansas,Franklin County,17749,17655,17809,17764,17715
139,Arkansas,Fulton County,12138,12099,12131,12308,12477
140,Arkansas,Garland County,97814,98282,98327,98966,99386
141,Arkansas,Grant County,18016,18064,18103,18180,18265
142,Arkansas,Greene County,44300,44730,44993,45339,45325
143,Arkansas,Hempstead County,22085,22032,21876,21685,21532
144,Arkansas,Hot Spring County,33497,33438,33606,33672,33771
145,Arkansas,Howard County,13336,13350,13365,13302,13202
146,Arkansas,Independence County,37035,37117,37391,37768,37825
147,Arkansas,Izard County,13487,13488,13666,13582,13629
148,Arkansas,Jackson County,17365,17282,17017,16753,16719
149,Arkansas,Jefferson County,71872,70407,69238,68067,66824
150,Arkansas,Johnson County,26094,26127,26401,26659,26578
151,Arkansas,Lafayette County,7010,6888,6797,6679,6624
152,Arkansas,Lawrence County,16696,16639,16571,16432,16406
153,Arkansas,Lee County,9672,9337,9127,8976,8857
154,Arkansas,Lincoln County,13866,13728,13475,13184,13024
155,Arkansas,Little River County,12402,12406,12373,12297,12259
156,Arkansas,Logan County,21729,21732,21739,21673,21466
157,Arkansas,Lonoke County,71359,71803,72778,73391,73309
158,Arkansas,Madison County,15705,16112,16299,16362,16576
159,Arkansas,Marion County,16215,16376,16429,16665,16694
160,Arkansas,Miller County,43792,43713,43736,43362,43257
161,Arkansas,Mississippi County,43729,42900,42112,41236,40651
162,Arkansas,Monroe County,7452,7205,7013,6880,6701
163,Arkansas,Montgomery County,9027,8936,8890,8910,8986
164,Arkansas,Nevada County,8508,8378,8309,8308,8252
165,Arkansas,Newton County,7846,7848,7815,7800,7753
166,Arkansas,Ouachita County,24316,24013,23817,23620,23382
167,Arkansas,Perry County,10307,10286,10346,10380,10455
168,Arkansas,Phillips County,19546,19050,18599,18054,17782
169,Arkansas,Pike County,10837,10826,10735,10666,10718
170,Arkansas,Poinsett County,24002,23974,24071,23903,23528
171,Arkansas,Polk County,20194,20145,20147,20019,19964
172,Arkansas,Pope County,63608,63897,63634,63594,64072
173,Arkansas,Prairie County,8299,8252,8248,8082,8062
174,Arkansas,Pulaski County,393576,394151,393280,391918,391911
175,Arkansas,Randolph County,17437,17444,17665,17970,17958
176,Arkansas,St. Francis County,26651,26347,25997,25509,24994
177,Arkansas,Saline County,116390,117656,119520,121074,122437
178,Arkansas,Scott County,10561,10332,10369,10339,10281
179,Arkansas,Searcy County,7835,7968,7927,7930,7881
180,Arkansas,Sebastian County,127385,127385,127786,127570,127827
181,Arkansas,Sevier County,17262,16971,17103,17061,17007
182,Arkansas,Sharp County,16808,17007,17147,17290,17442
183,Arkansas,Stone County,12386,12509,12520,12454,12506
184,Arkansas,Union County,40086,39879,39460,39139,38682
185,Arkansas,Van Buren County,16808,16669,16552,16635,16545
186,Arkansas,Washington County,224434,228482,232732,236611,239187
187,Arkansas,White County,78915,78917,78844,78381,78753
188,Arkansas,Woodruff County,6706,6600,6575,6466,6320
189,Arkansas,Yell County,21506,21502,21509,21462,21341
190,California,California,38918045,39167117,39358497,39461588,39512223
191,California,Alameda County,1634538,1650950,1660196,1666756,1671329
192,California,Alpine County,1077,1047,1111,1089,1129
193,California,Amador County,37031,37429,38529,39405,39752
194,California,Butte County,224631,226231,228696,230339,219186
195,California,Calaveras County,44965,45322,45681,45698,45905
196,California,Colusa County,21231,21496,21579,21418,21547
197,California,Contra Costa County,1124405,1137268,1145535,1150519,1153526
198,California,Del Norte County,27190,27382,27351,27740,27812
199,California,El Dorado County,184569,185976,188679,190746,192843
200,California,Fresno County,969488,976830,985238,991950,999101
201,California,Glenn County,27753,27840,27926,27967,28393
202,California,Humboldt County,135102,136290,136507,136244,135558
203,California,Imperial County,178937,180179,181649,181523,181215
204,California,Inyo County,18108,17922,17868,17946,18039
205,California,Kern County,876031,880856,887356,893758,900202
206,California,Kings County,150085,149382,149665,151382,152940
207,California,Lake County,64260,63903,64111,64317,64386
208,California,Lassen County,31256,30721,30920,30618,30573
209,California,Los Angeles County,10085416,10105708,10103711,10073906,10039107
210,California,Madera County,153576,153956,155423,156882,157327
211,California,Marin County,260916,260562,259749,259662,258826
212,California,Mariposa County,17622,17456,17414,17405,17203
213,California,Mendocino County,87107,87285,87576,87401,86749
214,California,Merced County,266353,267628,271096,274151,277680
215,California,Modoc County,9056,8961,8876,8800,8841
216,California,Mono County,14077,14273,14354,14403,14444
217,California,Monterey County,430552,433953,434534,433950,434061
218,California,Napa County,140862,140840,139878,138789,137744
219,California,Nevada County,98676,98913,99367,99508,99755
220,California,Orange County,3149280,3164986,3174289,3175973,3175692
221,California,Placer County,372841,378943,385115,392330,398329
222,California,Plumas County,18427,18665,18660,18741,18807
223,California,Riverside County,2345816,2380081,2414964,2445789,2470546
224,California,Sacramento County,1493674,1510987,1527301,1538746,1552058
225,California,San Benito County,58216,59225,60164,61467,62808
226,California,San Bernardino County,2115411,2131960,2150945,2166753,2180085
227,California,San Diego County,3280850,3306089,3321237,3333861,3338330
228,California,San Francisco County,863010,871512,878040,880696,881549
229,California,San Joaquin County,722271,732809,743296,752491,762148
230,California,San Luis Obispo County,280077,281803,282481,283354,283111
231,California,San Mateo County,765055,767906,768901,768681,766573
232,California,Santa Barbara County,442229,444340,445298,445780,446499
233,California,Santa Clara County,1916285,1928368,1932510,1932337,1927852
234,California,Santa Cruz County,273503,274396,274856,273841,273213
235,California,Shasta County,178314,178571,179384,179709,180080
236,California,Sierra County,2985,2951,3002,2997,3005
237,California,Siskiyou County,43254,43376,43622,43550,43539
238,California,Solano County,433409,438858,443511,445725,447643
239,California,Sonoma County,500863,502547,502469,498643,494336
240,California,Stanislaus County,533211,539255,544717,548126,550660
241,California,Sutter County,95282,95742,96204,96348,96971
242,California,Tehama County,63158,63453,63847,64018,65084
243,California,Trinity County,13094,12828,12726,12567,12285
244,California,Tulare County,457161,459235,462308,464589,466195
245,California,Tuolumne County,53615,53770,53976,54387,54478
246,California,Ventura County,845802,847323,849044,848142,846006
247,California,Yolo County,212037,215627,218477,220118,220500
248,California,Yuba County,74045,74952,76578,77557,78668
249,Colorado,Colorado,5450623,5539215,5611885,5691287,5758736
250,Colorado,Adams County,490443,497734,503590,511354,517421
251,Colorado,Alamosa County,15894,16053,16108,16248,16233
252,Colorado,Arapahoe County,630984,638950,644478,651797,656590
253,Colorado,Archuleta County,12387,12825,13295,13730,14029
254,Colorado,Baca County,3555,3530,3554,3584,3581
255,Colorado,Bent County,5889,5833,5827,5808,5577
256,Colorado,Boulder County,318027,321250,322441,324636,326196
257,Colorado,Broomfield County,64866,66513,68263,69324,70465
258,Colorado,Chaffee County,18612,19110,19666,20041,20356
259,Colorado,Cheyenne County,1827,1850,1853,1859,1831
260,Colorado,Clear Creek County,9244,9353,9574,9604,9700
261,Colorado,Conejos County,8065,8050,8139,8181,8205
262,Colorado,Costilla County,3576,3693,3756,3812,3887
263,Colorado,Crowley County,5628,5285,5840,5957,6061
264,Colorado,Custer County,4434,4588,4857,4934,5068
265,Colorado,Delta County,29913,30346,30519,30884,31162
266,Colorado,Denver County,683285,696159,704961,716265,727211
267,Colorado,Dolores County,1981,2056,2045,2060,2055
268,Colorado,Douglas County,322025,328219,335816,342989,351154
269,Colorado,Eagle County,53865,54541,54929,54943,55127
270,Colorado,Elbert County,24630,25157,25765,26303,26729
271,Colorado,El Paso County,674001,688277,700099,712089,720403
272,Colorado,Fremont County,46282,46976,47548,47959,47839
273,Colorado,Garfield County,57698,58785,59032,59701,60061
274,Colorado,Gilpin County,5805,5914,6018,6112,6243
275,Colorado,Grand County,14726,15179,15364,15511,15734
276,Colorado,Gunnison County,16104,16414,16863,17167,17462
277,Colorado,Hinsdale County,764,788,791,808,820
278,Colorado,Huerfano County,6404,6580,6628,6887,6897
279,Colorado,Jackson County,1353,1358,1375,1395,1392
280,Colorado,Jefferson County,564888,571413,575417,579392,582881
281,Colorado,Kiowa County,1384,1342,1365,1379,1406
282,Colorado,Kit Carson County,8215,7626,7137,7159,7097
283,Colorado,Lake County,7442,7590,7750,7846,8127
284,Colorado,La Plata County,54687,55316,55563,56299,56221
285,Colorado,Larimer County,333303,338984,344084,350660,356899
286,Colorado,Las Animas County,14043,14073,14201,14508,14506
287,Colorado,Lincoln County,5543,5551,5523,5606,5701
288,Colorado,Logan County,22472,22435,22317,22268,22409
289,Colorado,Mesa County,148025,149736,151170,152951,154210
290,Colorado,Mineral County,744,756,753,772,769
291,Colorado,Moffat County,12939,13144,13088,13183,13283
292,Colorado,Montezuma County,25716,25994,26112,26152,26183
293,Colorado,Montrose County,40562,41151,41753,42206,42758
294,Colorado,Morgan County,28252,28199,28295,28769,29068
295,Colorado,Otero County,18182,18266,18345,18338,18278
296,Colorado,Ouray County,4608,4789,4813,4822,4952
297,Colorado,Park County,16726,17343,17894,18525,18845
298,Colorado,Phillips County,4327,4280,4288,4285,4265
299,Colorado,Pitkin County,17940,17975,17973,17976,17767
300,Colorado,Prowers County,11936,11926,11998,12079,12172
301,Colorado,Pueblo County,163006,164774,166283,167422,168424
302,Colorado,Rio Blanco County,6478,6436,6352,6330,6324
303,Colorado,Rio Grande County,11352,11337,11297,11271,11267
304,Colorado,Routt County,24360,24682,25171,25507,25638
305,Colorado,Saguache County,6253,6412,6633,6840,6824
306,Colorado,San Juan County,689,691,712,764,728
307,Colorado,San Miguel County,7836,8017,8034,8180,8179
308,Colorado,Sedgwick County,2373,2400,2311,2276,2248
309,Colorado,Summit County,30045,30552,30820,30817,31011
310,Colorado,Teller County,23388,24058,24674,25113,25388
311,Colorado,Washington County,4786,4834,4921,4888,4908
312,Colorado,Weld County,285819,295712,305885,314815,324492
313,Colorado,Yuma County,10037,10055,9959,9947,10019
314,Connecticut,Connecticut,3587122,3578141,3573297,3571520,3565287
315,Connecticut,Fairfield County,944943,944347,943038,943971,943332
316,Connecticut,Hartford County,896290,894141,893076,892580,891720
317,Connecticut,Litchfield County,184122,182793,181667,181095,180333
318,Connecticut,Middlesex County,163724,163292,162942,162870,162436
319,Connecticut,New Haven County,860186,857901,857748,856971,854757
320,Connecticut,New London County,269636,268403,267419,266285,265206
321,Connecticut,Tolland County,151734,151162,151009,150689,150721
322,Connecticut,Windham County,116487,116102,116398,117059,116782
323,Delaware,Delaware,941252,948921,956823,965479,973764
324,Delaware,Kent County,173128,174542,176499,178540,180786
325,Delaware,New Castle County,553488,555058,555976,557550,558753
326,Delaware,Sussex County,214636,219321,224348,229389,234225
327,District of Columbia,District of Columbia,675400,685815,694906,701547,705749
328,District of Columbia,District of Columbia,675400,685815,694906,701547,705749
329,Florida,Florida,20209042,20613477,20963613,21244317,21477737
330,Florida,Alachua County,259052,263959,266309,268851,269043
331,Florida,Baker County,27355,27884,28254,28353,29210
332,Florida,Bay County,181488,183634,184736,186240,174705
333,Florida,Bradford County,26748,26740,27142,27752,28201
334,Florida,Brevard County,565746,576874,587769,595203,601942
335,Florida,Broward County,1885040,1912583,1934516,1946107,1952778
336,Florida,Calhoun County,14406,14330,14428,14543,14105
337,Florida,Charlotte County,172382,177671,181522,184849,188910
338,Florida,Citrus County,140287,142804,145415,147682,149657
339,Florida,Clay County,202392,207246,212228,215908,219252
340,Florida,Collier County,356041,365445,372678,378201,384902
341,Florida,Columbia County,68222,69265,69999,70668,71686
342,Florida,DeSoto County,35648,36255,37241,37368,38001
343,Florida,Dixie County,16353,16465,16615,16685,16826
344,Florida,Duval County,910578,926010,937933,948652,957755
345,Florida,Escambia County,309311,311473,313249,315104,318316
346,Florida,Flagler County,104436,107406,109999,112085,115081
347,Florida,Franklin County,11707,11823,11724,11676,12125
348,Florida,Gadsden County,46060,46086,45993,45927,45660
349,Florida,Gilchrist County,17378,17622,17900,18284,18582
350,Florida,Glades County,13099,13406,13580,13686,13811
351,Florida,Gulf County,15929,16062,16105,16146,13639
352,Florida,Hamilton County,14272,14303,14364,14262,14428
353,Florida,Hardee County,27177,27219,27154,27168,26937
354,Florida,Hendry County,39248,40037,41018,41336,42022
355,Florida,Hernando County,177900,182459,186704,190582,193920
356,Florida,Highlands County,100137,102041,103852,104933,106221
357,Florida,Hillsborough County,1364073,1396693,1426736,1451919,1471968
358,Florida,Holmes County,19273,19398,19427,19443,19617
359,Florida,Indian River County,147434,151159,154241,157187,159923
360,Florida,Jackson County,48609,48299,48289,48112,46414
361,Florida,Jefferson County,14115,13960,14165,14321,14246
362,Florida,Lafayette County,8724,8747,8602,8691,8422
363,Florida,Lake County,325154,334913,345432,356720,367118
364,Florida,Lee County,699644,722649,740000,754470,770577
365,Florida,Leon County,285904,286744,290965,291657,293582
366,Florida,Levy County,39601,39837,40276,40798,41503
367,Florida,Liberty County,8409,8300,8236,8427,8354
368,Florida,Madison County,18478,18316,18474,18540,18493
369,Florida,Manatee County,362548,375373,385506,394387,403253
370,Florida,Marion County,342182,347469,353339,359062,365579
371,Florida,Martin County,155559,158325,159701,160742,161000
372,Florida,Miami-Dade County,2659839,2692213,2713295,2714854,2716940
373,Florida,Monroe County,76648,76872,76483,74757,74228
374,Florida,Nassau County,77951,80055,82925,85936,88625
375,Florida,Okaloosa County,197748,200071,203478,206934,210738
376,Florida,Okeechobee County,39854,40769,41275,41654,42168
377,Florida,Orange County,1291301,1326516,1355921,1381540,1393452
378,Florida,Osceola County,323736,338209,353623,368456,375751
379,Florida,Palm Beach County,1424256,1450890,1470344,1482876,1496770
380,Florida,Pasco County,494895,509937,525141,539090,553947
381,Florida,Pinellas County,947060,959874,968341,973058,974996
382,Florida,Polk County,648523,665823,685368,706597,724777
383,Florida,Putnam County,71939,72373,73384,74043,74521
384,Florida,St. Johns County,226362,234828,243693,253814,264672
385,Florida,St. Lucie County,297282,305566,313163,320425,328297
386,Florida,Santa Rosa County,166226,169894,174049,179295,184313
387,Florida,Sarasota County,404761,412968,419680,426329,433742
388,Florida,Seminole County,448318,455945,462801,468122,471826
389,Florida,Sumter County,117076,122009,124995,128719,132420
390,Florida,Suwannee County,43677,43834,44124,44179,44417
391,Florida,Taylor County,22355,22099,21781,21545,21569
392,Florida,Union County,15265,15238,15448,15328,15237
393,Florida,Volusia County,516730,528453,537868,546101,553284
394,Florida,Wakulla County,31523,31882,32050,32413,33739
395,Florida,Walton County,63066,65421,68021,70732,74071
396,Florida,Washington County,24552,24454,24546,24793,25473
397,Georgia,Georgia,10178447,10301890,10410330,10511131,10617423
398,Georgia,Appling County,18423,18428,18438,18526,18386
399,Georgia,Atkinson County,8340,8244,8182,8262,8165
400,Georgia,Bacon County,11231,11275,11205,11132,11164
401,Georgia,Baker County,3194,3183,3159,3086,3038
402,Georgia,Baldwin County,45549,45259,44963,44893,44890
403,Georgia,Banks County,18381,18325,18628,18972,19234
404,Georgia,Barrow County,74979,77000,78899,80834,83240
405,Georgia,Bartow County,102043,103338,105098,106378,107738
406,Georgia,Ben Hill County,17357,17251,17037,16822,16700
407,Georgia,Berrien County,18991,18996,19108,19266,19397
408,Georgia,Bibb County,153945,153152,152840,152903,153159
409,Georgia,Bleckley County,12714,12864,12764,12821,12873
410,Georgia,Brantley County,18437,18415,18832,18985,19109
411,Georgia,Brooks County,15670,15725,15617,15479,15457
412,Georgia,Bryan County,34792,35839,36999,38059,39627
413,Georgia,Bulloch County,73116,74642,75991,77242,79608
414,Georgia,Burke County,22632,22601,22545,22439,22383
415,Georgia,Butts County,23520,23736,24067,24192,24936
416,Georgia,Calhoun County,6534,6359,6389,6353,6189
417,Georgia,Camden County,52439,52394,53005,53651,54666
418,Georgia,Candler County,10873,10849,10706,10827,10803
419,Georgia,Carroll County,114461,116077,117390,117997,119992
420,Georgia,Catoosa County,65778,66265,66495,67380,67580
421,Georgia,Charlton County,13239,12842,12810,12919,13392
422,Georgia,Chatham County,285959,288615,289309,289166,289430
423,Georgia,Chattahoochee County,11042,10047,10205,10600,10907
424,Georgia,Chattooga County,24905,24836,24746,24782,24789
425,Georgia,Cherokee County,235329,241795,247763,253914,258773
426,Georgia,Clarke County,123561,124905,126815,127268,128331
427,Georgia,Clay County,3077,3005,2955,2884,2834
428,Georgia,Clayton County,272720,279333,284184,289197,292256
429,Georgia,Clinch County,6826,6742,6643,6603,6618
430,Georgia,Cobb County,739052,748178,752649,756070,760141
431,Georgia,Coffee County,42987,42908,42880,43055,43273
432,Georgia,Colquitt County,45466,45429,45480,45455,45600
433,Georgia,Columbia County,143837,147370,151529,154077,156714
434,Georgia,Cook County,17070,17162,17213,17171,17270
435,Georgia,Coweta County,138145,140497,143153,145998,148509
436,Georgia,Crawford County,12354,12268,12263,12334,12404
437,Georgia,Crisp County,22959,22905,22710,22617,22372
438,Georgia,Dade County,16162,16224,16254,16227,16116
439,Georgia,Dawson County,23369,23668,24406,25127,26108
440,Georgia,Decatur County,27049,26679,26706,26573,26404
441,Georgia,DeKalb County,734434,746802,751176,754906,759297
442,Georgia,Dodge County,21142,20854,20749,20793,20605
443,Georgia,Dooly County,14034,13853,13691,13709,13390
444,Georgia,Dougherty County,91513,90389,89457,89200,87956
445,Georgia,Douglas County,140173,141664,143376,145024,146343
446,Georgia,Early County,10462,10306,10317,10286,10190
447,Georgia,Echols County,4030,3956,3914,4000,4006
448,Georgia,Effingham County,57076,58699,60086,62228,64296
449,Georgia,Elbert County,19302,19136,19102,19095,19194
450,Georgia,Emanuel County,22471,22406,22533,22607,22646
451,Georgia,Evans County,10690,10648,10741,10702,10654
452,Georgia,Fannin County,24442,25032,25332,25981,26188
453,Georgia,Fayette County,110141,111218,112553,113181,114421
454,Georgia,Floyd County,96186,96698,97500,97964,98498
455,Georgia,Forsyth County,211250,220481,228940,236993,244252
456,Georgia,Franklin County,22267,22316,22864,23034,23349
457,Georgia,Fulton County,1005127,1022866,1038938,1050131,1063937
458,Georgia,Gilmer County,29514,29911,30443,30835,31369
459,Georgia,Glascock County,3020,2978,3032,2977,2971
460,Georgia,Glynn County,83311,84099,84675,84975,85292
461,Georgia,Gordon County,56324,56933,57164,57628,57963
