County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Cherokee County  6,84,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,425.2 
DeKalb County  6,176,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,419.8 
Coosa County  6,32,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,389.8 
Lowndes County  6,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 
Pickens County  6,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,504.8 
Crenshaw County  6,48,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,497.5 
Bullock County  6,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,475.1 
Walker County  6,212,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,469.2 
Greene County  6,29,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,463.6 
Clay County  6,43,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,458.3 
Lamar County  6,46,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,445.4 
Tallapoosa County  6,128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,440.0 
Lawrence County  6,100,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.8 
Elmore County  6,219,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,439.7 
St. Clair County  6,243,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,438.2 
Chambers County  6,107,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,437.8 
Madison County  6,952,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,433.1 
Conecuh County  6,39,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,431.8 
Autauga County  6,145,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,430.3 
Morgan County  6,334,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.4 
Dallas County  6,117,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.3 
Etowah County  6,307,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,426.0 
Dale County  6,133,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,425.2 
Marion County  6,94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,424.6 
Calhoun County  6,329,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.9 
Covington County  6,118,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,423.4 
Jackson County  6,154,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,421.1 
Macon County  6,56,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,419.6 
Limestone County  6,233,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.3 
Baldwin County  6,610,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,415.2 
Wilcox County  6,31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,412.1 
Marshall County  6,249,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,410.7 
Clarke County  6,72,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,408.1 
Geneva County  6,78,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,403.2 
Talladega County  6,217,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.8 
Cullman County  6,221,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.5 
Bibb County  6,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,402.1 
Jefferson County  6,1705,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.5 
Butler County  6,57,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.3 
Sumter County  6,34,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.1 
Barbour County  6,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,398.0 
Lauderdale County  6,259,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.4 
Montgomery County  6,558,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,397.2 
Colbert County  6,156,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.3 
Mobile County  6,1042,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,394.0 
Blount County  6,152,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.2 
Marengo County  6,54,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.1 
Fayette County  6,49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,391.5 
Henry County  6,50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,390.1 
Cleburne County  6,41,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,387.5 
Escambia County  6,96,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.7 
Tuscaloosa County  6,433,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,385.4 
Houston County  6,270,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,382.0 
Coffee County  6,127,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.7 
DeKalb County  6,173,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,380.2 
Monroe County  6,58,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,379.9 
Franklin County  6,75,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,377.3 
Choctaw County  6,38,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,372.2 
Randolph County  6,61,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.4 
Pike County  6,70,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.2 
Chilton County  6,101,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,368.3 
Shelby County  6,465,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,367.3 
Russell County  6,128,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,366.6 
Perry County  6,24,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,357.3 
Washington County  6,40,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,353.4 
Cherokee County  6,68,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,352.5 
Lee County  6,262,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 
Coosa County  6,27,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,331.2 
Winston County  6,55,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,326.8 
Hale County  6,35,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,324.6 
Mohave County  6,869,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,447.6 
Yavapai County  6,912,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,436.3 
Pima County  6,2663,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,423.4 
Cochise County  6,377,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,422.4 
Maricopa County  6,9131,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,414.4 
Yuma County  6,500,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,399.5 
Greenlee County  6,18,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,385.2 
Coconino County  6,245,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,382.7 
Pinal County  6,1039,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,375.1 
Graham County  6,69,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,363.8 
Navajo County  6,227,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,359.9 
Santa Cruz County  6,94,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,358.6 
Gila County  6,157,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,333.3 
La Paz County  6,76,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,328.7 
Apache County  6,108,Arizona,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,287.4 
Greenlee County  6,19,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,399.5 
Mohave County  6,696,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,392.3 
Yavapai County  6,793,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,384.3 
Graham County  6,74,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,381.4 
Maricopa County  6,9272,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,376.7 
Pima County  6,2545,Arizona,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,370.5 
